"cell_line"	"prey_accession"	"CompPASS_ID"	"bait_symbol"	"bait_geneid"	"db_protein_id"	"symbol"	"prot_description"	"gene_id"	"ave_apsm"	"nwdscore"	"zscore"	"plate_zscore"	"entropy"	"uPeps"	"ratio"	"total_psms"	"ratioTotalPSMs"	"UtoTratio"	"pWrongID"	"pNoInt"	"pInt"	""
"293T"	"P27348"	"112629"	"LNP1"	"348801"	"sp|P27348|1433T_HUMAN"	"YWHAQ"	" 14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1"	"10971"	"51"	"0.1"	"9.29"	"7.99219"	"0.909992"	"24"	"0.987954"	"111825"	"0.00091"	"0.235294"	"0."	"0.11455"	"0.88545"	""
"293T"	"P31946-2"	"112629"	"LNP1"	"348801"	"sp|P31946-2|1433B_HUMAN"	"YWHAB"	" Isoform Short of 14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB"	"7529"	"81"	"0.13"	"12.69"	"8.16393"	"0.899924"	"32"	"0.970615"	"136479"	"0.00119"	"0.197531"	"0."	"0.06147"	"0.93853"	""
"293T"	"P61981"	"112629"	"LNP1"	"348801"	"sp|P61981|1433G_HUMAN"	"YWHAG"	" 14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2"	"7532"	"79"	"0.14"	"14.17"	"8.2299"	"0.896936"	"32"	"0.946523"	"98011"	"0.00161"	"0.202532"	"0."	"0.00869"	"0.99131"	""
"293T"	"P62258-2"	"112629"	"LNP1"	"348801"	"sp|P62258-2|1433E_HUMAN"	"YWHAE"	" Isoform SV of 14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE"	"7531"	"193"	"0.23"	"14.1"	"12.0282"	"0.894748"	"34"	"0.997719"	"338367"	"0.00114"	"0.0880829"	"0."	"0.0007"	"0.9993"	""
"293T"	"P62258"	"112629"	"LNP1"	"348801"	"sp|P62258|1433E_HUMAN"	"YWHAE"	" 14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1"	"7531"	"248"	"0.23"	"14.1"	"12.0282"	"0.884707"	"54"	"0.997719"	"338367"	"0.00147"	"0.108871"	"0."	"0.00088"	"0.99912"	""
"293T"	"P63104"	"112629"	"LNP1"	"348801"	"sp|P63104|1433Z_HUMAN"	"YWHAZ"	" 14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1"	"7534"	"85"	"0.12"	"9.72"	"8.15163"	"0.846484"	"26"	"0.998722"	"186141"	"0.00091"	"0.152941"	"0."	"0.02501"	"0.97499"	""
"293T"	"Q04917"	"112629"	"LNP1"	"348801"	"sp|Q04917|1433F_HUMAN"	"YWHAH"	" 14-3-3 protein eta OS=Homo sapiens GN=YWHAH PE=1 SV=4"	"7533"	"77"	"0.13"	"14.19"	"8.17155"	"0.896496"	"31"	"0.926538"	"101489"	"0.00152"	"0.201299"	"0."	"0.08353"	"0.91647"	""
"HCT116"	"P27348"	"121421"	"LNP1"	"348801"	"sp|P27348|1433T_HUMAN"	"YWHAQ"	" 14-3-3 protein theta OS=Homo sapiens GN=YWHAQ PE=1 SV=1"	"10971"	"45"	"0.15"	"12.9"	"7.32621"	"0.999198"	"26"	"0.987532"	"73716"	"0.00122"	"0.288889"	"0."	"0.15845"	"0.84155"	""
"HCT116"	"P31946-2"	"121421"	"LNP1"	"348801"	"sp|P31946-2|1433B_HUMAN"	"YWHAB"	" Isoform Short of 14-3-3 protein beta/alpha OS=Homo sapiens GN=YWHAB"	"7529"	"67"	"0.18"	"16.11"	"7.45853"	"0.980758"	"38"	"0.992656"	"92071"	"0.00146"	"0.283582"	"0."	"0.03762"	"0.96238"	""
"HCT116"	"P61981"	"121421"	"LNP1"	"348801"	"sp|P61981|1433G_HUMAN"	"YWHAG"	" 14-3-3 protein gamma OS=Homo sapiens GN=YWHAG PE=1 SV=2"	"7532"	"62"	"0.17"	"15.51"	"7.51104"	"0.999815"	"37"	"0.993339"	"77714"	"0.0016"	"0.298387"	"0."	"0.01087"	"0.98913"	""
"HCT116"	"P62258"	"121421"	"LNP1"	"348801"	"sp|P62258|1433E_HUMAN"	"YWHAE"	" 14-3-3 protein epsilon OS=Homo sapiens GN=YWHAE PE=1 SV=1"	"7531"	"179"	"0.29"	"20.95"	"7.57247"	"0.996479"	"52"	"0.999488"	"167781"	"0.00213"	"0.145251"	"0."	"0.00304"	"0.99696"	""
"HCT116"	"P63104"	"121421"	"LNP1"	"348801"	"sp|P63104|1433Z_HUMAN"	"YWHAZ"	" 14-3-3 protein zeta/delta OS=Homo sapiens GN=YWHAZ PE=1 SV=1"	"7534"	"113"	"0.23"	"21.07"	"10.0836"	"0.999873"	"37"	"1."	"149240"	"0.00151"	"0.163717"	"0."	"0.00046"	"0.99954"	""
"HCT116"	"Q04917"	"121421"	"LNP1"	"348801"	"sp|Q04917|1433F_HUMAN"	"YWHAH"	" 14-3-3 protein eta OS=Homo sapiens GN=YWHAH PE=1 SV=4"	"7533"	"66"	"0.19"	"17.98"	"7.53208"	"0.999959"	"34"	"0.951665"	"63479"	"0.00208"	"0.257576"	"0."	"0.01456"	"0.98544"	""
"HCT116"	"E7ESK7"	"121421"	"LNP1"	"348801"	"tr|E7ESK7|E7ESK7_HUMAN"	"YWHAZ"	" Uncharacterized protein OS=Homo sapiens GN=YWHAZ PE=4 SV=1"	"7534"	"36"	"0.23"	"21.07"	"10.0836"	"0.986421"	"19"	"1."	"149240"	"0.00048"	"0.263889"	"0."	"0.00077"	"0.99923"	""
