"identifier"	"gene"	"description"	"stoichiometry"
"Q7Z401"	"DENND4A"	"C-myc promoter-binding protein"	""
"Q5PRF9"	"SAMD4B"	"Protein Smaug homolog 2"	""
"Q9UPU9"	"SAMD4A"	"Protein Smaug homolog 1"	""
"P26045"	"PTPN3"	"Tyrosine-protein phosphatase non-receptor type 3"	""
"Q13009"	"TIAM1"	"Rho guanine nucleotide exchange factor TIAM1"	""
"P30305"	"CDC25B"	"M-phase inducer phosphatase 2"	""
"Q6ICG6"	"KIAA0930"	"Uncharacterized protein KIAA0930"	""
"Q08AE8"	"SPIRE1"	"Protein spire homolog 1"	""
"Q12778"	"FOXO1"	"Forkhead box protein O1"	""
"A1A4G5"	"LNP1"	"Leukemia NUP98 fusion partner 1"	""
"Q96N96"	"SPATA13"	"Spermatogenesis-associated protein 13"	""
"Q6UUV9"	"CRTC1"	"CREB-regulated transcription coactivator 1"	""
"Q5VT97"	"SYDE2"	"Rho GTPase-activating protein SYDE2"	""
"Q6IQ23"	"PLEKHA7"	"Pleckstrin homology domain-containing family A member 7"	""
"P19484"	"TFEB"	"Transcription factor EB"	""
"Q04917"	"YWHAH"	"14-3-3 protein eta"	""
"P63104"	"YWHAZ"	"14-3-3 protein zeta/delta"	""
"P62258"	"YWHAE"	"14-3-3 protein epsilon"	""
"P31946"	"YWHAB"	"14-3-3 protein beta/alpha"	""
"P61981"	"YWHAG"	"14-3-3 protein gamma"	""
"P27348"	"YWHAQ"	"14-3-3 protein theta"	""
"P31947"	"SFN"	"14-3-3 protein sigma"	""
"P27448"	"MARK3"	"MAP/microtubule affinity-regulating kinase 3"	""
"Q9UQL6"	"HDAC5"	"Histone deacetylase 5"	""
"Q9UPQ3"	"AGAP1"	"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1"	""
"Q14153"	"FAM53B"	"Protein FAM53B"	""
"O60825"	"PFKFB2"	"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2"	""
"Q9P0L2"	"MARK1"	"Serine/threonine-protein kinase MARK1"	""
