AC	Gene name	PTHR 	Family name	Notes	Action annotation reviewer	GO term added 	PAINT 	Pascale/Li/Marc comments	Lost in Panther 19
P15941	MUC1	PTHR10006	mucin-1-related pthr10006		Data not relevant for PAINT		No relevant data	Human sequence too divergent anyway to propagate to other species	#N/A
O60763	USO1	PTHR10013	general vesicular transport factor p115 pthr10013	adaptor? See PMID:37249218	May have data				#N/A
P05496	ATP5MC1	PTHR10031	atp synthase lipid-binding protein, mitochondrial pthr10031	rat has 'ligand-gated channel activity' IDA	May have data				#N/A
P48201	ATP5MC3	PTHR10031	atp synthase lipid-binding protein, mitochondrial pthr10031	rat has 'ligand-gated channel activity' IDA	May have data				#N/A
Q06055	ATP5MC2	PTHR10031	atp synthase lipid-binding protein, mitochondrial pthr10031	rat has 'ligand-gated channel activity' IDA	May have data				#N/A
P20963	CD247	PTHR10035	t-cell surface glycoprotein cd3 zeta chain pthr10035	signaling receptor activity 	May have data				#N/A
Q6UXB3	LYPD2	PTHR10036	cd59 glycoprotein pthr10036						#N/A
A6NCL2	LRCOL1	PTHR10041	colipase pthr10041		IGNORE - Lost in Panther19		Will be done by Marc		PTHR10041
P04118	CLPS	PTHR10041	colipase pthr10041	rat has 'enzyme activator activity'          PMID:8203536 	IGNORE - Lost in Panther19		Will be done by Marc		PTHR10041
Q6UWE3	CLPSL2	PTHR10041	colipase pthr10041		IGNORE - Lost in Panther19		Will be done by Marc		PTHR10041
A2RUU4	CLPSL1	PTHR10041	colipase pthr10041		IGNORE - Lost in Panther19		Will be done by Marc		PTHR10041
Q86WA8	LONP2	PTHR10046	atp dependent lon protease family member pthr10046	PMID: 22733816 Penicillium chrysogenum; Protease and Chaperone	May have data				#N/A
Q9Y6A1	POMT1	PTHR10050	dolichyl-phosphate-mannose--protein mannosyltransferase pthr10050	mannosyltransferase activity. IMP	Already had a valid annotation		DONE	Was removed; see https://github.com/geneontology/go-annotation/issues/3375	#N/A
Q02543	RPL18A	PTHR10052	60s ribosomal protein l18a pthr10052	structural constituent of ribosome IDA	Already had a valid annotation		DONE		#N/A
Q9Y2Y8	PRG3	PTHR10068	bone marrow proteoglycan pthr10068	extracellular matrix structural constituent conferring compression resistance, HDA	Data not relevant for PAINT		No relevant data	Evidence is from a HTP paper; not sufficient. Some other papers point to other roles, see https://pubmed.ncbi.nlm.nih.gov/31722215/ for example	#N/A
P13727	PRG2	PTHR10068	bone marrow proteoglycan pthr10068		Data not relevant for PAINT		No relevant data		#N/A
Q9UBH0	IL36RN	PTHR10078	interleukin-1 family member pthr10078		skip				#N/A
Q9UJQ7	SCP2D1	PTHR10094	sterol carrier protein 2  scp-2  family protein pthr10094		IGNORE - Lost in Panther19		Will be done by Marc		PTHR10094
Q96AY4	TTC28	PTHR10098	rapsyn-related pthr10098						#N/A
P08493	MGP	PTHR10109	matrix gla protein pthr10109						#N/A
P48444	ARCN1	PTHR10121	coatomer subunit delta pthr10121						#N/A
P10606	COX5B	PTHR10122	cytochrome c oxidase subunit 5b, mitochondrial pthr10122	yeast COX4 has cytochrome-c oxidase activity IDA	May have data			Non catalytic subunit; need a propoer annotation - see ticket here: https://github.com/geneontology/go-annotation/issues/4450	#N/A
Q16586	SGCA	PTHR10132	alpha-/epsilon-sarcoglycan family member pthr10132	fly ISS to human annotation deleted after annotation dispute 	No data found			Adaptor ?? see PMID:12189167	#N/A
O43556	SGCE	PTHR10132	alpha-/epsilon-sarcoglycan family member pthr10132	fly ISS to human annotation deleted after annotation dispute 	No data found			Adaptor ?? see PMID:12189167	#N/A
P11684	SCGB1A1	PTHR10136	secretoglobin family 1 member pthr10136	rat polychlorinated biphenyl binding IPI	Only binding annotation				#N/A
P0DMR2	SCGB1C2	PTHR10136	secretoglobin family 1 member pthr10136		Only binding annotation				#N/A
Q8TD33	SCGB1C1	PTHR10136	secretoglobin family 1 member pthr10136		Only binding annotation				#N/A
Q6UWV6	ENPP7	PTHR10151	ectonucleotide pyrophosphatase/phosphodiesterase pthr10151	sphingomyelin phosphodiesterase activity IDA	Already had a valid annotation		DONE		#N/A
Q9Y6X5	ENPP4	PTHR10151	ectonucleotide pyrophosphatase/phosphodiesterase pthr10151	phosphatase activity. IDA	Already had a valid annotation		DONE		#N/A
