accession,member_index_panther
A0A3B6GK97,
A0A3B6RKV1,
F4JLB7,
F6LAX4,
Q9KZ33,
G1TUN6,
E1BL04,
A0A8C9H4D2,
A0A8I3PI07,
A0A2R9CAF4,
C6T1A2,
A0A8B8L1Z3,
Q6YYC5,
B8BAB0,
A0A1S3Y076,
Q9L243,
D3VIU4,
Q9RSY6,
Q8P365,
A0A8C5FPT8,
A0A674PKV4,
A0A8M9QG43,
A0A8C2TBA7,
A0A2I0M3K7,
A0A6I8W8A2,
A0A6I8TLE4,
S0EDH7,
Q2U1U6,
A0A8J0SCI2,
A0A2G9RZF1,
A0A061AL94,
A0A8B6GS20,
A0BFB4,
B7FXQ8,
A2FPI7,
A0A1S3BTE3,
A0A804UIX9,
A0A2I4G8T1,
Q7NUH2,
Q7VZI5,
A0A2K5UJ34,
A0A2U1PS28,
A0A3B6NKR6,
A0A8B8WEG2,
B4MAQ2,
A0A8B6BFL6,
A0A8J1IYX6,
A0A444Z7V7,
F6WPT1,
A0A4W3GVU1,
A0A3Q2H1L9,
A0A3Q2I3U9,
A0A9L0TJE1,
A0A9L0SR44,
F7A4N8,
A0A9L0RWM8,
A0A9L0RRL6,
F6QF00,
A0A5F5PM72,
F6Z587,
A0A9L0T1D1,
A0A9L0SB67,
A0A9L0TTC1,
A0A9L0S5Z5,
A0A9L0SQG9,
A0A9L0T3C1,
A0A9L0T4W6,
A0A9L0T837,
A0A3Q2HDT6,
A0A9L0S961,
A0A9L0R074,
A0A9L0SHX8,
A0A9L0T4E4,
F6T000,
A0A9L0TSN4,
F6S899,
A0A9L0T7K6,
A0A9L0R9P8,
A0A9L0S4L8,
A0A5F5PZM5,
A0A9L0RGD6,
A0A9L0R5P7,
A0A9L0RQI4,
A0A9L0SKW1,
A0A5F5PJ44,
A0A3Q2KRK8,
F7BIV4,
F6TY09,
A0A9L0SWY1,
A0A9L0TK01,
Q9P0L0,
Q8WWF8,
Q9BUA6,
O00522,
O14595,
Q15121,
P49419,PTHR43521:SF5
Q92847,
Q9Y673,PTHR10859:SF91
P10809,
P49682,
Q6PI48,
Q9HCL2,PTHR12563:SF16
P34932,
Q9NRD9,
Q96QG7,
Q92932,
Q9UJW3,
Q9Y616,
Q6NUP7,
P50613,
P36507,
Q8IYP9,
O95992,PTHR11863:SF213
O15382,PTHR11825:SF39
Q9NXA8,
P40818,
Q96E52,
Q14156,
P54284,
Q86V20,
Q8TEQ6,
Q8N4X5,
Q68BL7,
Q9P2K1,
O95876,
Q12933,PTHR10131:SF21
P30291,
Q8WW35,
Q9Y6K1,
A0A0B4K7P3,
A0A0B4KEF3,
A0A0B4KHM2,
A0A0B4LFV5,
A0A0B4LHX6,
A1Z8G0,
A4UZ54,
A8Y5A1,
D5SHU8,
E8NH57,
M9NFK2,
M9NFR3,
Q0E9F2,
Q3KN55,
Q8IMT2,
Q8IMZ2,
Q8IP30,
Q8IPG8,
Q8IPI4,
Q8IRM9,
Q8MST5,
Q9V3Y8,
Q9V4C9,
Q9VAS1,
Q9VB17,
Q9VEC5,
Q9VF20,
Q9VIU4,
Q9VKV0,
Q9VQ04,
Q9VQD1,
Q9VSD6,
Q9VV60,
Q9VVS1,
Q9VX63,
Q9W255,
Q9W288,
Q9XTP7,
X2J5X6,
X2JE45,
X2JEK1,
A0A0B4KF19,
A0A0B4KFF2,
A0A0B4LGP2,
A0A1W5PXH3,
B7Z0B2,
C0P8M6,
H0RNN8,
M9NF85,
M9PBB3,
M9PFV8,
O76268,
Q0E9B5,
Q0KI97,
Q5U0V7,
Q7KVQ7,
Q8INJ6,
Q8IRK6,
Q8MLV8,
Q8MZA7,
Q8T0V2,
Q9VFA8,
Q9VGC0,
Q9VHA8,
Q9VK03,
Q9VLR2,
Q9VN74,
Q9VSK1,
Q9W281,
Q9XYY9,
P53624,
Q9W4S9,
Q95T10,
Q9VU95,
Q9VCR7,
Q9VBC7,
Q9VDT6,
Q9VVV2,
E1JIT1,
Q9VGF3,
Q9VGJ8,
M9PCT1,
Q9VC41,
Q7K5M0,
O13769,
O13993,
O14003,
O14086,
O14423,
O42996,
O59772,
O74801,
O94267,
O94297,
O94400,
Q09683,
Q10222,
Q7LKV3,
Q7LL15,
Q9P6P2,
Q9P7B5,
Q9P7N2,
Q9UUB6,
Q9UUI1,
C6Y4C2,
O13935,
O94380,
Q1MTQ9,
Q9HGQ3,
Q9P7F2,
Q9UTA9,
Q9Y7T6,
A7UX10,
Q1K4S3,
Q1K6K5,
Q1K772,
Q7RWZ3,
Q7RYZ6,
Q7S234,
Q7S2F2,
Q7S2Q5,
Q7S2X9,
Q7S3B9,
Q7S3T0,
Q7S7W0,
Q7SAD4,
Q7SCN3,
Q7SCX0,
Q7SGY4,
Q7SHS5,
V5ILC0,
V5IQW8,
F8WDQ9,
J3KS48,
A0A2R8YCT7,
A0A7P0T7Z1,
G3V4H1,
A0A140LHW5,
A0A494B8X4,
A0A3B2WCZ5,
B4F7D2,
A0A8I5ZMD5,
A0A8I6ALM9,
U4PF58,
S6FN32,
Q18287,
A0A1P8ARD2,
Q9SAI7,
Q0WW53,
Q567K5,
Q6P0J1,
Q6DCZ6,
