cohort,role,accession,species,gene_symbol,gene_review,cohort_source
ARGO50,prediction_target,A0A3B6GK97,WHEAT,A0A3B6GK97,genes/WHEAT/A0A3B6GK97/A0A3B6GK97-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,A0A3B6RKV1,WHEAT,A0A3B6RKV1,genes/WHEAT/A0A3B6RKV1/A0A3B6RKV1-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,F4JLB7,ARATH,F4JLB7,genes/ARATH/F4JLB7/F4JLB7-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,F6LAX4,WHEAT,F6LAX4,genes/WHEAT/F6LAX4/F6LAX4-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,Q9KZ33,STRCO,Q9KZ33,genes/STRCO/Q9KZ33/Q9KZ33-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,G1TUN6,RABIT,G1TUN6,genes/RABIT/G1TUN6/G1TUN6-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,E1BL04,BOVIN,E1BL04,genes/BOVIN/E1BL04/E1BL04-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,A0A8C9H4D2,9PRIM,A0A8C9H4D2,genes/9PRIM/A0A8C9H4D2/A0A8C9H4D2-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,A0A8I3PI07,CANLF,A0A8I3PI07,genes/CANLF/A0A8I3PI07/A0A8I3PI07-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,A0A2R9CAF4,PANPA,A0A2R9CAF4,genes/PANPA/A0A2R9CAF4/A0A2R9CAF4-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,C6T1A2,SOYBN,C6T1A2,genes/SOYBN/C6T1A2/C6T1A2-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,A0A8B8L1Z3,ABRPR,A0A8B8L1Z3,genes/ABRPR/A0A8B8L1Z3/A0A8B8L1Z3-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,Q6YYC5,ORYSJ,Q6YYC5,genes/ORYSJ/Q6YYC5/Q6YYC5-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,B8BAB0,ORYSI,B8BAB0,genes/ORYSI/B8BAB0/B8BAB0-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,A0A1S3Y076,TOBAC,A0A1S3Y076,genes/TOBAC/A0A1S3Y076/A0A1S3Y076-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,Q9L243,STRCO,Q9L243,genes/STRCO/Q9L243/Q9L243-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,D3VIU4,XENNA,D3VIU4,genes/XENNA/D3VIU4/D3VIU4-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,Q9RSY6,DEIRA,Q9RSY6,genes/DEIRA/Q9RSY6/Q9RSY6-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,Q8P365,XANCP,Q8P365,genes/XANCP/Q8P365/Q8P365-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
ARGO50,prediction_target,A0A8C5FPT8,GADMO,A0A8C5FPT8,genes/GADMO/A0A8C5FPT8/A0A8C5FPT8-ai-review.yaml,projects/PROTNLM_EVALUATION/argo_protnlm_50.csv
