repeat_1	repeat_2	matches	aligned_length	identity_fraction
1	2	48	118	0.406780
1	3	35	120	0.291667
1	4	35	119	0.294118
1	5	47	121	0.388430
1	6	46	121	0.380165
1	7	54	123	0.439024
1	8	49	120	0.408333
1	9	46	126	0.365079
1	10	44	122	0.360656
1	11	40	121	0.330579
1	12	39	118	0.330508
1	13	53	120	0.441667
1	14	35	126	0.277778
1	15	53	119	0.445378
2	3	40	117	0.341880
2	4	46	118	0.389831
2	5	50	122	0.409836
2	6	46	122	0.377049
2	7	56	121	0.462810
2	8	50	120	0.416667
2	9	52	127	0.409449
2	10	49	119	0.411765
2	11	35	119	0.294118
2	12	33	116	0.284483
2	13	50	119	0.420168
2	14	30	125	0.240000
2	15	50	118	0.423729
3	4	31	117	0.264957
3	5	40	122	0.327869
3	6	43	121	0.355372
3	7	45	124	0.362903
3	8	40	120	0.333333
3	9	41	126	0.325397
3	10	43	120	0.358333
3	11	32	121	0.264463
3	12	33	118	0.279661
3	13	33	119	0.277311
3	14	25	124	0.201613
3	15	44	119	0.369748
4	5	42	121	0.347107
4	6	35	120	0.291667
4	7	45	122	0.368852
4	8	40	120	0.333333
4	9	43	126	0.341270
4	10	41	120	0.341667
4	11	39	119	0.327731
4	12	37	116	0.318966
4	13	36	119	0.302521
4	14	26	125	0.208000
4	15	36	117	0.307692
5	6	51	122	0.418033
5	7	49	124	0.395161
5	8	48	121	0.396694
5	9	42	127	0.330709
5	10	49	121	0.404959
5	11	32	122	0.262295
5	12	40	121	0.330579
5	13	45	122	0.368852
5	14	33	127	0.259843
5	15	51	121	0.421488
6	7	42	121	0.347107
6	8	47	120	0.391667
6	9	44	126	0.349206
6	10	43	120	0.358333
6	11	39	120	0.325000
6	12	36	120	0.300000
6	13	36	121	0.297521
6	14	28	126	0.222222
6	15	44	121	0.363636
7	8	45	121	0.371901
7	9	46	127	0.362205
7	10	51	122	0.418033
7	11	29	122	0.237705
7	12	48	122	0.393443
7	13	48	123	0.390244
7	14	36	126	0.285714
7	15	44	122	0.360656
8	9	50	126	0.396825
8	10	50	121	0.413223
8	11	40	120	0.333333
8	12	35	120	0.291667
8	13	54	121	0.446281
8	14	30	126	0.238095
8	15	59	119	0.495798
9	10	45	127	0.354331
9	11	40	126	0.317460
9	12	43	127	0.338583
9	13	46	126	0.365079
9	14	28	130	0.215385
9	15	45	127	0.354331
10	11	33	119	0.277311
10	12	41	119	0.344538
10	13	51	122	0.418033
10	14	32	125	0.256000
10	15	59	120	0.491667
11	12	29	119	0.243697
11	13	35	121	0.289256
11	14	32	127	0.251969
11	15	42	119	0.352941
12	13	39	120	0.325000
12	14	38	126	0.301587
12	15	43	118	0.364407
13	14	34	126	0.269841
13	15	56	119	0.470588
14	15	33	126	0.261905
