Citation,Evidence type,Direction,Claim tested,Key finding,Context,Confidence
PMID:31271352,direct assay (in vitro),supports (core function),ATG2A molecular function,Human ATG2A extracts and transfers lipids between vesicles; tether-enhanced; WIPI4/WIPI1-recruited,Human ATG2A recombinant protein + liposomes,High (in vitro)
PMID:33850023,review/model + in vitro,supports (core function),ATG2 transfers ER lipids for autophagosome biogenesis,ATG2 works with scramblases (TMEM41B/VMP1/ATG9) to expand phagophore membrane,Human/biochemical,High
PMID:38622126,mutant phenotype + interaction,supports (core function),ATG2A lipid source and phagophore growth,ANKFY1 recruits ATG2A to PI3P endosomes; ATG2A/B depletion impairs autophagosome growth,Human cells,High
UniProt:Q2TAZ0,database,qualifies,Evidence class of GO:0034727 on ATG2A,PMN annotation is IBA-only; all EXP/IDA/IMP terms describe macroautophagy,Human,High (record-level)
QuickGO:GO:0034727,database/computational,refutes (in mammals),Taxonomic scope of experimental PMN,44/44 experimental (ECO:0000269) PMN annotations are S. cerevisiae; all non-yeast are IEA/IBA,Cross-species,High (computed)
PMID:18701704,mutant phenotype,qualifies/competing,PMN mechanism and ATG requirement,PMN occurs at yeast NV junctions; core ATG genes (incl. yeast ATG2) required for vesicle release into vacuole,S. cerevisiae,High
PMID:28533415,structural + mutant,refutes (mammalian relevance),PMN requires Nvj1-Vac8,Nvj1p-Vac8p crystal structure; disrupting junction abolishes PMN; machinery fungal-specific,S. cerevisiae,High
PMID:20943953,mutant phenotype/imaging,qualifies,PMN is microautophagic at the vacuole,NV-junction invagination releases nuclear vesicles directly INTO the vacuole (microautophagy),S. cerevisiae,High
PMID:33292048,direct + interaction,competing (alternative route),Mammalian nucleophagy is macroautophagic,LMNB1/lamin B1 and SIRT1 degraded via LC3-dependent MACROautophagy (not microautophagy),Human primary cells,High
QuickGO:Q2TAZ0,database/computational,refutes/qualifies,Source of the ATG2A PMN annotation,GO:0034727 on ATG2A is IBA (GO_REF:0000033/PAINT) withFrom PANTHER:PTN000324023 + SGD:S000005186 (yeast ATG2) - pure phylogenetic propagation,Human,High (computed)
PANTHER v19,structural/evolutionary (computational),refutes (lineage restriction),Conservation of PMN-defining machinery,Yeast ATG2->ATG2A/B (validated positive control) but NVJ1 (P38881) and VAC8 (P39968) have NO human ortholog,Yeast->human orthology,High (positive-control validated)
