citation,evidence_type,stance,claim_tested,key_finding,context,confidence_limitation
UniProt C6Y4B6,database,refutes,Direct export evidence in S. pombe?,58-aa 1-TM peptide; PE=2 transcript-only; FUNCTION 100% By-similarity,S. pombe,No experimental function
PomBase SPAC12G12.17,database,refutes,Is nce101 characterized?,status='conserved unknown'; family-level product name,S. pombe,Authoritative; no exp GO
QuickGO C6Y4B6,database,refutes,What does PomBase assert?,MF/BP/CC all ND (GO_REF:0000015); 'protein secretion' only IEA+IBA,S. pombe,Definitive provenance
PomBase FYPO,mutant(HTP),qualifies,Deletion phenotypes show export?,Only generic drug/stress hits; none export-specific,S. pombe,Pleiotropic
UniProt Q02820,database,qualifies,Founder annotation strength,53aa PE=3; hedged 'machinery OR substrate',S. cerevisiae,No MF evidence
SGD YJL205C,localization,refutes/qualifies,Founder located?,Verified but 'unknown function'; GFP/mCherry -> CYTOSOL,S. cerevisiae,GFP artifact risk
PMID 8655575,direct assay(screen),competing,Origin of NCE label,Galectin-1 over-expression screen,S. cerevisiae,Over-expression risk
PMID 35758748,localization/mech,competing,Is NCE a function family?,NCE102=sphingolipid sensor,S. cerevisiae,PF01284
PMID 25109265,structural review,competing,Is NCE a function family?,NCE103=carbonic anhydrase,fungal,Different family
UniProt PF11654,evolutionary,qualifies,Experimental anchor in family?,All PE3/4; fungi-only; none characterized,pan-fungal,Homology-only
Q12207 vs Q02820,structural,qualifies,NCE101/NCE102 confusion?,PF11654 vs PF01284 MARVEL: unrelated,cross-species,Rules out conflation
