EntryID	ECNumber	Organism	UniprotID	Substrate	parameter.name	parameter.type	parameter.associatedSpecies	parameter.startValue	parameter.endValue	parameter.standardDeviation	parameter.unit	PubMedID
75858	4.2.3.134	Homo sapiens	Q8IUZ5	H2O;5-Phosphonooxy-L-lysine	Vmax	Vmax		4.266667E-6		2.5E-7	mol*s^(-1)*g^(-1)	22241472
75858	4.2.3.134	Homo sapiens	Q8IUZ5	H2O;5-Phosphonooxy-L-lysine	E	concentration	Enzyme	0.09		-	mg/ml	22241472
75858	4.2.3.134	Homo sapiens	Q8IUZ5	H2O;5-Phosphonooxy-L-lysine	Km	Km	5-Phosphonooxy-L-lysine	1.69E-5		4.5E-6	M	22241472
75858	4.2.3.134	Homo sapiens	Q8IUZ5	H2O;5-Phosphonooxy-L-lysine	S	concentration	5-Phosphonooxy-L-lysine	0.0	4.0E-4	-	M	22241472
75858	4.2.3.134	Homo sapiens	Q8IUZ5	H2O;5-Phosphonooxy-L-lysine	C	concentration	Pyridoxal phosphate	5.0E-6		-	M	22241472
75859	4.2.3.134	Homo sapiens	Q8IUZ5	H2O;5-Phosphonooxy-L-lysine	S	concentration	5-Phosphonooxy-L-lysine	5.0E-4		-	M	22241472
75859	4.2.3.134	Homo sapiens	Q8IUZ5	H2O;5-Phosphonooxy-L-lysine	E	concentration	Enzyme	0.09		-	mg/ml	22241472
75859	4.2.3.134	Homo sapiens	Q8IUZ5	H2O;5-Phosphonooxy-L-lysine	C	concentration	Pyridoxal phosphate	5.0E-6		-	M	22241472
75859	4.2.3.134	Homo sapiens	Q8IUZ5	H2O;5-Phosphonooxy-L-lysine	I	concentration	Phosphate	0.002	0.01	-	M	22241472
75859	4.2.3.134	Homo sapiens	Q8IUZ5	H2O;5-Phosphonooxy-L-lysine	IC50	IC50	Phosphate	0.01		-	M	22241472
