poptr	poptr_code	poptr_acc	best_arath	arath_code	arath_acc	pct_identity	reciprocal	same_group	same_code
POPTR_CASPL1F3_B9GFG6	1F3	B9GFG6	ARATH_CASPL1E2_O23413	1E2	O23413	29.3	False	True	False
POPTR_CASPL3A2_B9GGL4	3A2	B9GGL4	ARATH_CASPL3A2_Q1PFB8	3A2	Q1PFB8	44.3	True	True	True
POPTR_CASPL2A2_B9GHX8	2A2	B9GHX8	ARATH_CASPL2A1_Q8VZQ3	2A1	Q8VZQ3	50.9	True	True	False
POPTR_CASPL1B2_B9GIE4	1B2	B9GIE4	ARATH_CASPL1B2_Q9SUP0	1B2	Q9SUP0	59.8	True	True	True
POPTR_CASPL3A1_B9GXD6	3A1	B9GXD6	ARATH_CASPL3A1_Q3EB59	3A1	Q3EB59	42.7	False	True	True
POPTR_CASPL1C3_B9H2V1	1C3	B9H2V1	ARATH_CASPL1C1_Q9ZT81	1C1	Q9ZT81	49.4	False	True	False
POPTR_CASPL2B2_B9HD38	2B2	B9HD38	ARATH_CASPL2B2_Q8L924	2B2	Q8L924	69.8	True	True	True
POPTR_CASPL4C1_B9HMF8	4C1	B9HMF8	ARATH_CASPL4C1_Q9M2U0	4C1	Q9M2U0	66.0	False	True	True
POPTR_CASPL1D1_B9HMP5	1D1	B9HMP5	ARATH_CASPL1D1_Q9FE29	1D1	Q9FE29	51.5	True	True	True
POPTR_CASPL1E1_B9HMP6	1E1	B9HMP6	ARATH_CASPL1E1_Q8L8Z1	1E1	Q8L8Z1	50.3	True	True	True
POPTR_CASPL4C2_B9HTK2	4C2	B9HTK2	ARATH_CASPL4C1_Q9M2U0	4C1	Q9M2U0	68.0	True	True	False
POPTR_CASPL2D1_B9HTL5	2D1	B9HTL5	ARATH_CASPL2D1_Q9FFT2	2D1	Q9FFT2	44.7	True	True	True
POPTR_CASPL1B1_B9I0U9	1B1	B9I0U9	ARATH_CASPL1B2_Q9SUP0	1B2	Q9SUP0	57.4	False	True	False
POPTR_CASPL1F2_B9I3X5	1F2	B9I3X5	ARATH_CASPL1F1_Q9M0L3	1F1	Q9M0L3	34.3	True	True	False
POPTR_CASPL1F1_B9IFI5	1F1	B9IFI5	ARATH_CASPL1F1_Q9M0L3	1F1	Q9M0L3	33.7	False	True	True
POPTR_CASPL2B1_B9IH36	2B1	B9IH36	ARATH_CASPL2B2_Q8L924	2B2	Q8L924	69.3	False	True	False
POPTR_CASPL1C1_B9IK21	1C1	B9IK21	ARATH_CASPL1C1_Q9ZT81	1C1	Q9ZT81	37.5	False	True	True
POPTR_CASPL2C1_B9IM09	2C1	B9IM09	ARATH_CASPL2C1_Q8L8U9	2C1	Q8L8U9	48.9	True	True	True
POPTR_CASPL1C2_B9N2D0	1C2	B9N2D0	ARATH_CASPL1C1_Q9ZT81	1C1	Q9ZT81	62.8	True	True	False
POPTR_CASPL4D1_B9NBE5	4D1	B9NBE5	ARATH_CASPL4D1_Q8GWD5	4D1	Q8GWD5	46.0	True	True	True
