level	id	name	n_annotations	n_genes	n_downgraded	downgrade_pct	n_accept	top_downgraded_terms	example_genes
family	PTHR10543	BETA-CAROTENE DIOXYGENASE	8	4	8	100	0	GO:0010436 carotenoid dioxygenase activity (4); GO:0016121 carotene catabolic process (4)	Q53353, Saro_0802, Saro_2809, lsdB
family	PTHR30443	INNER MEMBRANE PROTEIN	8	4	8	100	0	GO:0009244 lipopolysaccharide core region biosynthetic process (4); GO:0016776 phosphotransferase activity, phosphate group as acceptor (4)	mcr-1, mcr-3, mcr-4, mcr2
graft_node	PTN000830280		8	4	8	100	0	GO:0010436 carotenoid dioxygenase activity (4); GO:0016121 carotene catabolic process (4)	Q53353, Saro_0802, Saro_2809, lsdB
subfamily	PTHR10543:SF89	CAROTENOID 9,10(9',10')-CLEAVAGE DIOXYGENASE 1	8	4	8	100	0	GO:0010436 carotenoid dioxygenase activity (4); GO:0016121 carotene catabolic process (4)	Q53353, Saro_0802, Saro_2809, lsdB
subfamily	PTHR30443:SF0	PHOSPHOETHANOLAMINE TRANSFERASE EPTA	8	4	8	100	0	GO:0009244 lipopolysaccharide core region biosynthetic process (4); GO:0016776 phosphotransferase activity, phosphate group as acceptor (4)	mcr-1, mcr-3, mcr-4, mcr2
family	PTHR11556	FRUCTOSE-1,6-BISPHOSPHATASE-RELATED	11	2	7	64	1	GO:0005986 sucrose biosynthetic process (2); GO:0006000 fructose metabolic process (1); GO:0006002 fructose 6-phosphate metabolic process (1)	NCGR_LOCUS1270, fbp
family	PTHR44169	NADPH-DEPENDENT 1-ACYLDIHYDROXYACETONE PHOSPHATE REDUCTASE	6	1	6	100	0	GO:0000140 acylglycerone-phosphate reductase (NADP+) activity (1); GO:0004806 triacylglycerol lipase activity (1); GO:0005783 endoplasmic reticulum (1)	fogD
family	PTHR48078	THREONINE DEHYDRATASE, MITOCHONDRIAL-RELATED	6	2	6	100	0	GO:0003941 L-serine ammonia-lyase activity (2); GO:0006565 L-serine catabolic process (2); GO:0006567 L-threonine catabolic process (2)	ilvA-I, ilvA-II
graft_node	PTN001211783		6	1	6	100	0	GO:0000140 acylglycerone-phosphate reductase (NADP+) activity (1); GO:0004806 triacylglycerol lipase activity (1); GO:0005783 endoplasmic reticulum (1)	fogD
graft_node	PTN004269459		6	1	6	100	0	GO:0005986 sucrose biosynthetic process (1); GO:0006000 fructose metabolic process (1); GO:0006002 fructose 6-phosphate metabolic process (1)	NCGR_LOCUS1270
