metric	value
total_review_files	4975
genes_with_treegrafter	541
treegrafter_annotations (GO_REF:0000118, IEA)	969
paint_iba_annotations (GO_REF:0000033, IBA; contrast only)	11069

TreeGrafter action	count
ACCEPT	466
KEEP_AS_NON_CORE	229
REMOVE	88
MODIFY	76
UNDECIDED	62
MARK_AS_OVER_ANNOTATED	48

PAINT/IBA action (contrast, NOT TreeGrafter)	count
ACCEPT	8087
KEEP_AS_NON_CORE	1754
MODIFY	458
MARK_AS_OVER_ANNOTATED	329
UNDECIDED	217
REMOVE	191
NEW	31
PENDING	2

top_problematic_treegrafter_terms (REMOVE/MODIFY/OVER)	count
GO:0003954 NADH dehydrogenase activity	6
GO:0000271 polysaccharide biosynthetic process	5
GO:0009244 lipopolysaccharide core region biosynthetic process	4
GO:0016776 phosphotransferase activity, phosphate group as acceptor	4
GO:0004312 fatty acid synthase activity	4
GO:0010436 carotenoid dioxygenase activity	4
GO:0016121 carotene catabolic process	4
GO:0016020 membrane	4
GO:0019631 quinate catabolic process	4
GO:0004766 spermidine synthase activity	3
GO:0008295 spermidine biosynthetic process	3
GO:0042277 peptide binding	3
GO:0061799 cyclic pyranopterin monophosphate synthase activity	3
GO:0006281 DNA repair	3
GO:0047545 (S)-2-hydroxyglutarate dehydrogenase activity	3
GO:0006635 fatty acid beta-oxidation	3
GO:0005886 plasma membrane	2
GO:0005634 nucleus	2
GO:0009061 anaerobic respiration	2
GO:0006526 L-arginine biosynthetic process	2
GO:0008777 acetylornithine deacetylase activity	2
GO:0004459 L-lactate dehydrogenase (NAD+) activity	2
GO:0006089 lactate metabolic process	2
GO:0004364 glutathione transferase activity	2
GO:0006749 glutathione metabolic process	2
