citation,evidence_type,stance,claim_tested,key_finding,context,confidence_limitations
InterPro/UniProt O74763,computational domain/family,supports,Dca7 is a DCAF7/WDR68-family WD40 protein,IPR045159 DCAF7-like; 7x WD40 (PF00400); beta-propeller,S. pombe,High for classification; family != pombe function
PomBase SPBC17D11.08,database orthology,supports,Orthology to DCAF7/WDR68,1:1 orthologs human DCAF7 (HGNC:30915) and Sc YPL247C; conserved single-copy,S. pombe,High orthology; status conserved unknown
PMID 26771498 (Vo 2016 Cell),interaction binary Y2H,supports (direct in-organism),Dca7 binds a DYRK/Yak kinase in pombe,Verified binary Y2H dca7-ppk15,S. pombe interactome,Moderate; single HT method no co-IP/function
PomBase SPAC823.03 / CDD,computational domain/orthology,supports,ppk15 is a Yak/DYRK kinase,catalytic domain cd14212 PKc_YAK1; orthologs DYRK1A/DYRK1B/Yak1,S. pombe,High for family assignment
PMID 21777625 (Miyata 2011),direct assay co-IP/mapping,supports,DCAF7/WDR68 is a conserved DYRK scaffold,WDR68 binds DYRK1A and DYRK1B via DYRK N-terminus,Human cells,High; conservation argument (other organism)
PMID 23349862 (Wang 2013),mutant/localization in vivo,supports,WDR68 acts as scaffold with Dyrk1,highly conserved scaffolding protein; Ras-Map3k-Wdr68-Dyrk1 relay,Zebrafish/C2C12,High for scaffold concept
PMID 25342745 (Miyata 2014),direct assay proteomics/structure,supports+qualifies,WDR68 binding repertoire & fold,Binds DYRK1A MEKK1 and CUL4-DDB1; 7-bladed beta-propeller,Human cells,High; shows CUL4-DDB1 also real in metazoa
STRING v12 (aggregated experiments),interaction multi-dataset,supports (independent),DCAF7 ortholog binds Yak/DYRK in yeast,Sc Yak1-YPL247C combined 0.996 exp 0.979; Sp dca7-ppk15 combined 0.933 exp 0.873,S. cerevisiae & S. pombe,High exp subscores; specific primary paper not individually confirmed
This run: NW/BLOSUM62 alignment,computational structural/evolutionary,supports,Dca7 conserved with DCAF7 family,Dca7 vs DCAF7 44.2% id (328 cols); vs YPL247C 37.5%; DCAF7 vs YPL247C 42.7%,3-species,Genuine computation; global alignment approximation
QuickGO O74763,database annotation state,qualifies (over-annotation flag),Current GO annotations,MF & BP = ND; GO:0080008 Cul4-RING = ISS from human DCAF7; nucleus IBA; cyto/Golgi IEA,S. pombe,Authoritative snapshot; scaffold role unannotated
PomBase phenotypes,mutant phenotype HT,qualifies,Cellular role of dca7,Delta dca7: loss of viability in G0/stationary; decreased growth in glucose starvation; stress resistances,S. pombe,Downstream/pleiotropic not direct MF
