id,name,entry_type,source_tax_id,source_tax_name,full_tax_name,gene,length,subfamily,subfamily_name,in_alphafold
A5GFW8,"Probable beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7",protein,9823,Sus scrofa,Sus scrofa (Pig),GCNT7,429,PTHR19297:SF178,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE 7",True
E9Q649,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4",protein,10090,Mus musculus,Mus musculus (Mouse),Gcnt4,455,PTHR19297:SF7,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE 4",True
O95395,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3",protein,9606,Homo sapiens,Homo sapiens (Human),GCNT3,438,PTHR19297:SF81,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE 3",True
P97402,"N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase",protein,10090,Mus musculus,Mus musculus (Mouse),Gcnt2,401,PTHR19297:SF183,"N-ACETYLLACTOSAMINIDE BETA-1,6-N-ACETYLGLUCOSAMINYL-TRANSFERASE",True
Q02742,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",protein,9606,Homo sapiens,Homo sapiens (Human),GCNT1,428,PTHR19297:SF96,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE",True
Q09324,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",protein,10090,Mus musculus,Mus musculus (Mouse),Gcnt1,428,PTHR19297:SF96,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE",True
Q1M0V6,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3",protein,89462,Bubalus bubalis,Bubalus bubalis (Domestic water buffalo),GCNT3,440,PTHR19297:SF81,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE 3",True
Q3V3K7,"Probable beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7",protein,10090,Mus musculus,Mus musculus (Mouse),Gcnt7,433,PTHR19297:SF178,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE 7",True
Q5JCT0,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3",protein,10090,Mus musculus,Mus musculus (Mouse),Gcnt3,437,PTHR19297:SF81,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE 3",True
Q5U258,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3",protein,8355,Xenopus laevis,Xenopus laevis (African clawed frog),gcnt3,443,PTHR19297:SF189,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE 3",True
Q6ZNI0,"Probable beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7",protein,9606,Homo sapiens,Homo sapiens (Human),GCNT7,430,PTHR19297:SF178,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE 7",True
Q71SG7,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4",protein,7955,Danio rerio,Danio rerio (Zebrafish),gcnt4,428,PTHR19297:SF7,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE 4",True
Q7YQE1,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3",protein,9913,Bos taurus,Bos taurus (Bovine),GCNT3,440,PTHR19297:SF81,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE 3",True
Q805R1,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",protein,436506,Bovine herpesvirus 4 (strain LVR140),Bovine herpesvirus 4 (strain LVR140) (BoHV-4),Bo17,440,PTHR19297:SF81,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE 3",True
Q80RC7,"Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase",protein,10385,Bovine herpesvirus 4,Bovine herpesvirus 4 (BoHV-4),Bo17,439,PTHR19297:SF81,"BETA-1,3-GALACTOSYL-O-GLYCOSYL-GLYCOPROTEIN BETA-1,6-N-ACETYLGLUCOSAMINYLTRANSFERASE 3",True
