token	kind	accession	entry_name	gene	protein	organism	reviewed	length	n_hits
AGI_LocusCode:AT1G13980	mod-id	Q42510	GNOM_ARATH	GN	ARF guanine-nucleotide exchange factor GNOM	Arabidopsis thaliana	Swiss-Prot	1451	1
ARBA:ARBA00026889	arba								
ARBA:ARBA00027178	arba								
ARBA:ARBA00028188	arba								
ARBA:ARBA00028708	arba								
ARBA:ARBA00090632	arba								
FB:FBgn0028538	mod-id	Q9VJW1	Q9VJW1_DROME	Sec71	Secretory 71	Drosophila melanogaster	TrEMBL	1653	1
FB:FBgn0264560	mod-id	A1Z8W8	A1Z8W8_DROME	garz	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	Drosophila melanogaster	TrEMBL	1983	4
InterPro:IPR000904	interpro								
InterPro:IPR035999	interpro								
MGI:MGI:1334257	mod-id	Q9QX11	CYH1_MOUSE	Cyth1	Cytohesin-1	Mus musculus	Swiss-Prot	398	5
MGI:MGI:1918215	mod-id	Q2PFD7	PSD3_MOUSE	Psd3	PH and SEC7 domain-containing protein 3	Mus musculus	Swiss-Prot	1037	5
PANTHER:PTN002240728	panther-node				PAINT ancestral node				
PANTHER:PTN002580165	panther-node				PAINT ancestral node				
PANTHER:PTN008950430	panther-node				PAINT ancestral node				
PomBase:SPAC11E3.11c	mod-id	O13690	YDYB_SCHPO		PH and SEC7 domain-containing protein C11E3.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Swiss-Prot	942	1
RGD:1560793	mod-id	D4A631	BIG1_RAT	Arfgef1	Brefeldin A-inhibited guanine nucleotide-exchange protein 1	Rattus norvegicus	Swiss-Prot	1846	3
RGD:631430	mod-id	Q7TSU1	BIG2_RAT	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Rattus norvegicus	Swiss-Prot	1791	2
SGD:S000000748	mod-id	P39993	GEA2_YEAST	GEA2	ARF guanine-nucleotide exchange factor 2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	1459	1
SGD:S000002577	mod-id	P11075	SEC7_YEAST	SEC7	ADP-ribosylation factor guanine nucleotide-exchange factor SEC7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	2009	1
SGD:S000003792	mod-id	P47102	GEA1_YEAST	GEA1	ARF guanine-nucleotide exchange factor 1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	1408	1
SGD:S000005241	mod-id	P48563	MON2_YEAST	MON2	Protein MON2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	1636	1
SGD:S000006299	mod-id	Q06836	SYT1_YEAST	SYT1	Arf guanine nucleotide exchange factor SYT1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	1226	1
UniProtKB-SubCell:SL-0048	uniprotkb-subcell								
UniProtKB-SubCell:SL-0086	uniprotkb-subcell								
UniProtKB-SubCell:SL-0088	uniprotkb-subcell								
UniProtKB-SubCell:SL-0090	uniprotkb-subcell								
UniProtKB-SubCell:SL-0101	uniprotkb-subcell								
UniProtKB-SubCell:SL-0132	uniprotkb-subcell								
UniProtKB-SubCell:SL-0162	uniprotkb-subcell								
UniProtKB-SubCell:SL-0198	uniprotkb-subcell								
UniProtKB-SubCell:SL-0258	uniprotkb-subcell								
UniProtKB-SubCell:SL-0283	uniprotkb-subcell								
UniProtKB:A5PKW4	protein	A5PKW4	PSD1_HUMAN	PSD	PH and SEC7 domain-containing protein 1	Homo sapiens	Swiss-Prot	1024	1
UniProtKB:O43739	protein	O43739	CYH3_HUMAN	CYTH3	Cytohesin-3	Homo sapiens	Swiss-Prot	400	1
UniProtKB:Q14432	protein	Q14432	PDE3A_HUMAN	PDE3A	cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A	Homo sapiens	Swiss-Prot	1141	1
UniProtKB:Q15438	protein	Q15438	CYH1_HUMAN	CYTH1	Cytohesin-1	Homo sapiens	Swiss-Prot	398	1
UniProtKB:Q5JU85	protein	Q5JU85	IQEC2_HUMAN	IQSEC2	IQ motif and SEC7 domain-containing protein 2	Homo sapiens	Swiss-Prot	1488	1
UniProtKB:Q7TSU1	protein	Q7TSU1	BIG2_RAT	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Rattus norvegicus	Swiss-Prot	1791	1
UniProtKB:Q99417	protein	Q99417	MYCBP_HUMAN	MYCBP	c-Myc-binding protein	Homo sapiens	Swiss-Prot	103	1
UniProtKB:Q9UIA0	protein	Q9UIA0	CYH4_HUMAN	CYTH4	Cytohesin-4	Homo sapiens	Swiss-Prot	394	1
UniProtKB:Q9UPT5-1	protein	Q9UPT5	EXOC7_HUMAN	EXOC7	Exocyst complex component 7	Homo sapiens	Swiss-Prot	735	1
UniProtKB:Q9Y6D5	protein	Q9Y6D5	BIG2_HUMAN	ARFGEF2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Homo sapiens	Swiss-Prot	1785	1
UniProtKB:Q9Y6D6	protein	Q9Y6D6	BIG1_HUMAN	ARFGEF1	Brefeldin A-inhibited guanine nucleotide-exchange protein 1	Homo sapiens	Swiss-Prot	1849	1
ensembl:ENSRNOP00000010054	ensembl								
