protein	database	entry	name	start	end	length	cysteine_count
Q88E30	cdd	cd00537	MTHFR	15	268	254	4
Q88E30	cathgene3d	G3DSA:3.20.20.220		3	296	294	4
Q88E30	interpro	IPR003171	Methylenetetrahydrofolate reductase-like, catalytic domain	5	268	264	4
Q88E30	interpro	IPR022026	Methylene-tetrahydrofolate reductase-like, C-terminal domain	378	461	84	9
Q88E30	interpro	IPR029041	FAD-linked oxidoreductase-like	1	287	287	4
Q88E30	pfam	PF02219	Methylenetetrahydrofolate reductase	5	238	234	4
Q88E30	pfam	PF12225	Methylene-tetrahydrofolate reductase C terminal	378	461	84	9
Q88E30	panther	PTHR45754	Methylenetetrahydrofolate reductase	4	294	291	4
Q88E30	ssf	SSF51730	FAD-linked oxidoreductase	1	287	287	4
Q88D51	cdd	cd00537	MTHFR	21	291	271	4
Q88D51	cathgene3d	G3DSA:3.20.20.220		11	294	284	4
Q88D51	interpro	IPR003171	Methylenetetrahydrofolate reductase-like, catalytic domain	14	291	278	4
Q88D51	interpro	IPR004620	5,10-methylenetetrahydrofolate reductase	21	292	272	4
Q88D51	interpro	IPR029041	FAD-linked oxidoreductase-like	13	293	281	4
Q88D51	pfam	PF02219	Methylenetetrahydrofolate reductase	14	291	278	4
Q88D51	panther	PTHR45754	Methylenetetrahydrofolate reductase	12	293	282	4
Q88D51	ssf	SSF51730	FAD-linked oxidoreductase	13	293	281	4
Q88D51	ncbifam	TIGR00676	methylenetetrahydrofolate reductase [NAD(P)H]	21	292	272	4
