species	gene	go_id	line	ontology_status	raw_label	canonical_label	current_assessment	recommended_assessment	recommended_error_type	change_required	recommendation_basis	path
ARATH	COP1	GO:0060928	101	MISMATCH	positive regulation of flavonoid biosynthetic process	atrioventricular node cell development	CNN	NPI	TAXON_CONSTRAINT_VIOLATION	true	CANONICAL_TAXON_VIOLATION	genes/ARATH/COP1/COP1-sft-predictions.yaml
ARATH	ETR1	GO:0009731	77	MISMATCH	detection of ethylene	detection of sucrose stimulus	CNN	NPI	NAMING_INCONSISTENCY	true	CANONICAL_ID_DENOTES_DIFFERENT_FUNCTION	genes/ARATH/ETR1/ETR1-sft-predictions.yaml
ARATH	ETR1	GO:0010105	264	MISMATCH	negative regulation of ethylene-activated	negative regulation of ethylene-activated signaling pathway	CNN	CNN		false	CANONICAL_TERM_SUPPORTED_AS_NOT_NOVEL	genes/ARATH/ETR1/ETR1-sft-predictions.yaml
BACSU	aprE	GO:0005615	80	MISMATCH	extracellular space	obsolete extracellular space	LSP	CNN		true	ONTOLOGY_STATUS_ONLY_RETAINS_RUBRIC_ASSESSMENT	genes/BACSU/aprE/aprE-sft-predictions.yaml
BACSU	fliY	GO:0071977	31	MISMATCH	regulation of bacterial-type flagellum-dependent swimming motility	bacterial-type flagellum-dependent swimming motility	CNN	COR		true	CANONICAL_TERM_SUPPORTED_AND_ABSENT_FROM_GOA	genes/BACSU/fliY/fliY-sft-predictions.yaml
BACSU	fliY	GO:0009374	133	MISMATCH	flagellar switch complex	biotin binding	COR	NPI	NAMING_INCONSISTENCY	true	CANONICAL_ID_DENOTES_DIFFERENT_FUNCTION	genes/BACSU/fliY/fliY-sft-predictions.yaml
BACSU	ftsZ	GO:0032153	73	MISMATCH	Z ring	cell division site	CNN	CNN		false	CANONICAL_TERM_SUPPORTED_AS_NOT_NOVEL	genes/BACSU/ftsZ/ftsZ-sft-predictions.yaml
BACSU	sigF	GO:0043620	64	MISMATCH	regulation of DNA-templated transcription in response to stress	obsolete regulation of DNA-templated transcription in response to stress	UNC	UNC		false	CANONICAL_TERM_NOT_RESOLVED_BY_CURRENT_EVIDENCE	genes/BACSU/sigF/sigF-sft-predictions.yaml
BACSU	sigK	GO:0009295	80	MISMATCH	bacterial-type RNA polymerase holoenzyme complex	nucleoid	CNN	UNC		true	CANONICAL_TERM_NOT_RESOLVED_BY_CURRENT_EVIDENCE	genes/BACSU/sigK/sigK-sft-predictions.yaml
BACSU	sigK	GO:0031381	97	MISMATCH	bacterial-type RNA polymerase holoenzyme complex	viral RNA-directed RNA polymerase complex	CNN	NPI	TAXON_CONSTRAINT_VIOLATION	true	CANONICAL_TAXON_VIOLATION	genes/BACSU/sigK/sigK-sft-predictions.yaml
