species,display_label,n_genes,curation_context
SCHPO,S. pombe,23,model organism / specialist curation resource
human,H. sapiens,19,model organism / specialist curation resource
worm,C. elegans,15,model organism / specialist curation resource
BACSU,B. subtilis,13,non-MOD or less-specialized species
ECOLI,E. coli,13,model organism / specialist curation resource
rat,R. norvegicus,12,model organism / specialist curation resource
mouse,M. musculus,11,model organism / specialist curation resource
yeast,S. cerevisiae,11,model organism / specialist curation resource
DROME,D. melanogaster,8,model organism / specialist curation resource
PSEPK,P. putida,8,non-MOD or less-specialized species
ARATH,A. thaliana,3,model organism / specialist curation resource
9CAUD,9CAUD phage,1,non-MOD or less-specialized species
AGKCO,A. contortrix,1,non-MOD or less-specialized species
ANOGA,A. gambiae,1,non-MOD or less-specialized species
