species,gene,correctness,completeness,rationale
SCHPO,pmp20,1,1,"The summary reverses the curated conclusion by calling pmp20 an active thioredoxin-regenerated peroxidase, whereas it lacks resolving-cysteine-dependent peroxidase activity and instead has weak holdase activity."
SCHPO,Shu1,1,1,"The summary misidentifies a GPI-anchored cell-surface heme receptor that imports heme during iron starvation as a cytoplasmic HECT ubiquitin ligase."
SCHPO,tam10,1,1,"The summary invents an essential cytoplasmic growth scaffold and specific network roles, while the review establishes no molecular function or localization and reports no standard-condition deletion phenotype."
worm,pgl-1,2,2,"It recognizes an RNA-associated scaffold, but incorrectly places PGL-1 in nuclear transcriptional assemblies rather than cytoplasmic P granules and omits its guanyl-specific endoribonuclease and germline roles."
yeast,RAS2,2,2,"It identifies a Ras-family GTPase switch but wrongly assigns vacuolar vesicle traffic as its role, missing the established cAMP-PKA and Cdc42/MAPK morphogenetic signaling functions."
SCHPO,SPCC16C4.02c,3,3,"It correctly infers an ARM/neurochondrin-like adaptor, but the actin-remodeling, endocytic, and cytoplasmic claims are unsupported and the curated Sfi1, Num1, and Ecl1 interaction contexts are absent."
ANOGA,PGRPLB,2,2,"It recognizes peptidoglycan-related negative immune regulation, but replaces catalytic membrane-associated DAP-peptidoglycan amidase activity and IMD/REL2 suppression with cytoplasmic sequestration and Toll signaling."
ECOLI,Skp,2,2,"It captures an ATP-independent oligomeric holdase concept, but mislocalizes Skp to the cytoplasm and substitutes general heat-stress proteostasis for its periplasmic outer-membrane-protein carrier role."
yeast,HSP60,3,4,"The ATP-driven group I chaperonin mechanism and double-ring folding cage are accurate, but the summary repeatedly mislocalizes HSP60 to the cytosol and omits its mitochondrial import and biogenesis context and HSP10 partnership."
human,CYCS,3,3,"The electron-shuttle and covalent-heme roles are recognized, but mammalian CYCS receives electrons from complex III rather than cytochrome b6f, resides in the intermembrane space rather than matrix, and also has an omitted apoptosome role."
PSEPK,pedH,4,3,"The broad PQQ-dependent alcohol dehydrogenase activity is correct, but the summary wrongly places PedH in cytoplasmic networks and omits its defining lanthanide dependence, periplasmic location, 2-phenylethanol pathway, and REE-switch role."
worm,drp-1,3,2,"The dynamin-family GTPase and assembly-coupled membrane-remodeling mechanism are accurate, but generic vesicle trafficking replaces the established mitochondrial outer-membrane fission function and its apoptotic context is omitted."
worm,pmk-1,5,3,"The summary makes only supported generic MAP-kinase claims, but omits PMK-1's p38 identity, TIR-1-NSY-1-SEK-1 cascade, named substrates, and central innate-immunity and oxidative-stress roles."
human,HTT,4,3,"The motor-adaptor transport role and helical scaffold architecture are mostly accurate, although the bridge domain is not specifically C-terminal, while selective autophagy, ciliogenesis, and spindle-orientation functions are omitted."
DROME,Buffy,4,2,"The Bcl-2-family control of mitochondrial apoptosis is broadly correct, but a cycling soluble pool is unsupported and the summary omits Buffy's primary anti-apoptotic direction, ER anchoring, Debcl-Drp1 axis, and autophagy role."
PSEPK,catA,4,5,"The catechol-to-cis,cis-muconate intradiol cleavage and aromatic-catabolism role are nearly complete, but the claimed heme component and transient pathway assemblies are unsupported because CatA uses non-heme Fe(III)."
mouse,Myc,5,4,"All stated nuclear bHLH-leucine-zipper, E-box-binding, and RNA polymerase II transcriptional claims are supported, with completeness limited mainly by omission of the obligate Myc-Max complex and some major output programs."
BACSU,sigF,5,3,"The sigma-70-family RNA polymerase recruitment, promoter recognition, and sporulation transcription claims are accurate, but the defining forespore specificity and SpoIIAB/SpoIIAA partner-switch control are missing."
rat,Egfr,5,4,"The summary accurately covers ligand binding, single-pass receptor activation, kinase autophosphorylation, docking sites, and surface and endosomal signaling, while omitting some canonical downstream pathways and trafficking detail."
mouse,Akt1,5,4,"The PH-domain AGC kinase, phosphoinositide-dependent membrane recruitment, substrate phosphorylation, growth, and survival roles are accurate, with metabolism, insulin and growth-factor context, migration, and mTOR feedback omitted."
