row	go_id	evidence	token	kind	accession	entry_name	gene	organism	length	reviewed	own_terms_for_donated_go	has_own_experimental	note
1	GO:0015629	IBA	CGD:CAL0000191211	protein	A0A1D8PFR4	A0A1D8PFR4_CANAL	ACT1	Candida albicans (strain SC5314 / ATCC MYA-2876)	376	False	GO:0015629/IBA;GO:0030864/IDA	True	NO_REVIEWED_ENTRY: unreviewed (TrEMBL) fallback
1	GO:0015629	IBA	FB:FBgn0011743	protein	P45891	ACTY_DROME	Arp53D	Drosophila melanogaster	376	True	GO:0015629/IBA;GO:0015629/IDA	True	
1	GO:0015629	IBA	MGI:MGI:87906	protein	P63260	ACTG_MOUSE	Actg1	Mus musculus	375	True	GO:0005884/IBA;GO:0015629/IBA;GO:0098871/ISO;GO:0098871/ISO;GO:0099143/ISO;GO:0099143/ISO;GO:0005884/IEA;GO:0005884/ISO;GO:0015629/IDA;GO:0015629/IDA;GO:0031941/IDA	True	
1	GO:0015629	IBA	MGI:MGI:87909	protein	P62737	ACTA_MOUSE	Acta2	Mus musculus	377	True	GO:0015629/IBA;GO:0001725/ISO;GO:0001725/IEA;GO:0015629/IEA;GO:0015629/IDA;GO:0015629/ISO;GO:0030175/ISS	True	
1	GO:0015629	IBA	PANTHER:PTN002631484	panther_node									PANTHER internal tree node, not a protein
1	GO:0015629	IBA	PomBase:SPBC32H8.12c	protein	P10989	ACT_SCHPO	act1	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	375	True	GO:0005884/TAS;GO:0015629/IBA;GO:0030479/IDA;GO:0120104/IDA;GO:0120105/IDA;GO:0120106/IDA	True	
1	GO:0015629	IBA	RGD:1304556	protein	P63259	ACTG_RAT	Actg1	Rattus norvegicus	375	True	GO:0005884/IBA;GO:0015629/IBA;GO:0098871/IDA;GO:0098871/IDA;GO:0099143/IDA;GO:0099143/IDA;GO:0005884/ISO;GO:0015629/ISO;GO:0031941/ISO	True	
1	GO:0015629	IBA	RGD:621676	protein	P62738	ACTA_RAT	Acta2	Rattus norvegicus	377	True	GO:0015629/IBA;GO:0001725/IDA;GO:0015629/ISO;GO:0015629/IDA;GO:0030175/ISS	True	
1	GO:0015629	IBA	RGD:628837	protein	P60711	ACTB_RAT	Actb	Rattus norvegicus	375	True	GO:0005884/IBA;GO:0015629/IBA;GO:0098871/ISO;GO:0001725/IDA;GO:0002102/IDA;GO:0015629/ISO;GO:0005869/ISO	True	
1	GO:0015629	IBA	SGD:S000001855	protein	P60010	ACT_YEAST	ACT1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	375	True	GO:0015629/IBA;GO:0000142/IDA;GO:0000142/IDA;GO:0005884/IDA;GO:0030479/IDA;GO:0030479/IDA;GO:0030479/IDA;GO:0032432/IDA;GO:0032432/IDA;GO:0032432/IDA	True	
1	GO:0015629	IBA	UniProtKB:P08023	protein	P08023	ACTA_CHICK	ACTA2	Gallus gallus	377	True	GO:0015629/IBA;GO:0030175/IDA	True	
