organism	gene	uniprot	length	n_pdb	methods	best_resolution_A	max_coverage_frac	exp_mf	exp_bp	exp_cc	exp_total	any_experimental
BPT4	E	P00720	164	768	EM;NMR;Neutron;Other;X-ray	0.84	1.000	3	0	0	3	1
human	CDK2	P24941	298	498	EM;X-ray	0.98	1.000	192	11	17	220	1
human	KRAS	P01116	189	402	EM;NMR;X-ray	1.01	1.000	11	2	10	23	1
human	INS	P01308	110	366	EM;NMR;X-ray	0.92	1.000	28	54	2	84	1
human	EGFR	P00533	1210	334	EM;NMR;X-ray	1.07	1.000	630	43	41	714	1
human	TP53	P04637	393	284	EM;NMR;X-ray	1.01	1.000	653	114	60	827	1
human	CALM1	P0DP23	149	270	EM;NMR;Other;X-ray	1.24	1.000	45	21	8	74	1
human	HRAS	P01112	189	234	NMR;Neutron;X-ray	1.00	1.000	218	25	9	252	1
human	APP	P05067	770	222	EM;NMR;Other;X-ray	0.85	1.000	532	100	45	677	1
human	DDB1	Q16531	1140	181	EM;X-ray	1.70	1.000	123	25	39	187	1
human	ELOB	Q15370	118	177	EM;NMR;X-ray	1.32	1.000	33	3	18	54	1
human	ELOC	Q15369	112	173	EM;NMR;X-ray	1.32	1.000	53	4	16	73	1
human	MAPK1	P28482	360	157	EM;X-ray	1.12	1.000	111	17	7	135	1
human	SOD1	P00441	154	151	EM;NMR;X-ray	0.98	1.000	112	12	29	153	1
human	CASP3	P42574	277	135	EM;X-ray	1.06	1.000	61	29	7	97	1
human	RACK1	P63244	317	134	EM;X-ray	1.67	1.000	78	22	21	121	1
human	ADRB2	P07550	413	133	EM;NMR;X-ray	1.90	1.000	71	12	14	97	1
human	RPS3	P23396	243	133	EM;NMR;X-ray	1.67	1.000	75	20	33	128	1
human	FKBP5	Q13451	457	132	EM;X-ray	0.85	1.000	59	2	0	61	1
human	BRAF	P15056	766	127	EM;NMR;X-ray	1.50	1.000	168	10	4	182	1
human	FTH1	P02794	183	124	EM;Other;X-ray	1.06	1.000	32	2	2	36	1
human	PSMA1	P25786	263	118	EM;X-ray	1.80	1.000	236	4	13	253	1
human	VCP	P55072	806	118	EM;X-ray	1.55	1.000	229	54	22	305	1
BPT4	wac	P10104	487	117	EM;NMR;X-ray	0.97	1.000	0	0	0	0	0
human	BCL2L1	Q07817	233	112	NMR;Other;X-ray	1.30	0.910	97	14	4	115	1
human	RPL18A	Q02543	176	107	EM	1.67	1.000	13	1	4	18	1
human	KEAP1	Q14145	624	105	EM;X-ray	1.32	1.000	137	11	8	156	1
human	PSMB5	P28074	263	105	EM;X-ray	1.80	1.000	38	5	11	54	1
human	DHODH	Q02127	395	96	NMR;X-ray	1.23	1.000	3	0	1	4	1
yeast	CYC1	P00044	109	92	NMR;X-ray	1.05	0.991	7	2	1	10	1
ECOLI	GroEL	P0A6F5	548	89	EM;X-ray	1.50	1.000	73	5	2	80	1
human	ABL1	P00519	1130	84	NMR;X-ray	1.03	0.433	129	31	11	171	1
human	PARK7	Q99497	189	82	X-ray	1.05	1.000	94	66	33	193	1
rat	Mapk1	P63086	358	77	X-ray	1.34	1.000	15	32	17	64	1
human	HSPA1A	P0DMV8	641	75	EM;NMR;X-ray	1.34	1.000	73	36	21	130	1
human	HAP1	P27695	318	66	EM;NMR;X-ray	1.25	1.000	61	10	12	83	1
human	YWHAZ	P63104	245	65	EM;X-ray	1.50	1.000	605	17	7	629	1
human	FN1	P02751	2477	64	EM;NMR;X-ray	1.20	0.185	90	25	11	126	1
ECOLI	DnaK	P0A6Y8	638	62	NMR;X-ray	1.40	0.962	57	9	4	70	1
human	GBA1	P04062	536	58	EM;X-ray	0.98	1.000	20	25	3	48	1
human	GTF2F2	P13984	249	58	EM;NMR;X-ray	1.70	1.000	16	4	4	24	1
human	CFTR	P13569	1480	57	EM;NMR;X-ray	1.70	1.000	301	14	23	338	1
human	ACTB	P60709	375	56	EM;X-ray	1.69	1.000	120	12	24	156	1
human	FGFR2	P21802	821	56	NMR;X-ray	1.80	0.498	23	31	9	63	1
human	PKM	P14618	531	56	EM;X-ray	1.35	1.000	24	2	7	33	1
human	VEGFA	P15692	395	56	NMR;X-ray	1.32	0.539	40	95	6	141	1
human	CRBN	Q96SW2	442	55	EM;X-ray	1.10	1.000	13	3	3	19	1
human	ANG	P03950	147	54	EM;NMR;X-ray	1.04	1.000	44	32	19	95	1
human	JAK1	P23458	1154	51	X-ray	1.33	0.474	30	24	5	59	1
PSEAE	ftsI	G3XD46	579	50	EM;X-ray	1.19	1.000	0	0	0	0	0
human	AGO2	Q9UKV8	859	50	EM;X-ray	1.59	1.000	136	27	31	194	1
human	SIRT2	Q8IXJ6	389	49	X-ray	1.42	0.915	50	16	22	88	1
HYPJE	cbh1	P62694	513	48	NMR;X-ray	1.05	0.846	0	0	0	0	0
yeast	HSP82	P02829	709	48	NMR;X-ray	1.50	0.955	177	11	3	191	1
human	BCL2	P10415	239	46	NMR;X-ray	1.25	0.866	127	44	17	188	1
human	CSNK1D	P48730	415	46	X-ray	1.40	1.000	52	13	10	75	1
human	TARDBP	Q13148	414	44	EM;NMR;X-ray	0.75	1.000	241	11	5	257	1
human	AKT1	P31749	480	42	X-ray	0.98	0.927	213	84	14	311	1
human	ARNT	P27540	789	42	EM;NMR;X-ray	1.17	0.483	41	9	10	60	1
human	TNKS	O95271	1327	42	X-ray	1.20	0.359	57	22	5	84	1
human	LRRK2	Q5S007	2527	41	EM;X-ray	1.33	1.000	337	66	32	435	1
human	SLC3A2	P08195	630	40	EM;X-ray	1.80	1.000	26	35	12	73	1
human	HSPA8	P11142	646	38	X-ray	1.63	0.593	156	14	10	180	1
human	PPP2CA	P67775	309	38	EM;X-ray	1.80	1.000	143	12	19	174	1
human	TXN	P10599	105	37	NMR;X-ray	0.97	1.000	55	9	5	69	1
human	PPP2R1A	P30153	589	36	EM;X-ray	2.30	1.000	149	6	19	174	1
human	BRCA1	P38398	1863	31	EM;NMR;X-ray	1.75	0.115	125	41	30	196	1
human	GLA	P06280	429	31	X-ray	1.90	0.928	29	3	5	37	1
mouse	Ndufb1	P0DN34	57	31	EM	2.39	1.000	0	0	2	2	1
human	ARF1	P84077	181	30	EM;NMR;X-ray	1.75	1.000	17	4	5	26	1
human	BIRC5	O15392	142	30	EM;NMR;X-ray	1.40	1.000	59	9	19	87	1
yeast	SUI2	P20459	304	30	EM;X-ray	2.45	1.000	36	2	6	44	1
human	CD247	P20963	164	29	EM;NMR;X-ray	1.90	1.000	34	9	13	56	1
human	IL4	P05112	153	29	NMR;X-ray	1.65	0.843	6	26	1	33	1
human	KIF5B	P33176	963	29	EM;NMR;X-ray	1.80	1.000	27	7	5	39	1
human	NOTCH1	P46531	2555	29	EM;NMR;X-ray	1.50	0.144	50	40	3	93	1
human	CUL3	Q13618	768	28	EM;NMR;X-ray	2.30	1.000	223	47	33	303	1
yeast	PNO1	Q99216	274	28	EM	2.70	1.000	2	6	3	11	1
human	MAP3K5	Q99683	1374	27	EM;X-ray	2.10	0.647	85	16	6	107	1
human	NRAS	P01111	189	27	NMR;X-ray	1.20	0.910	29	2	6	37	1
human	UFC1	Q9Y3C8	167	27	NMR;X-ray	1.11	1.000	19	14	0	33	1
human	WT1	P19544	449	27	NMR;X-ray	1.45	0.272	31	42	11	84	1
human	BAG1	Q99933	345	26	NMR;X-ray	1.63	0.328	26	1	4	31	1
human	CALM3	P0DP25	149	26	EM;NMR;X-ray	1.95	1.000	29	12	7	48	1
human	HTT	P42858	3142	26	EM;NMR;X-ray	2.50	1.000	1061	15	30	1106	1
human	NF1	P21359	2839	26	EM;X-ray	2.10	1.000	12	9	4	25	1
human	PIK3C3	Q8NEB9	887	26	EM;X-ray	1.26	1.000	65	14	4	83	1
yeast	RCO1	Q04779	684	25	EM;X-ray	1.62	1.000	34	5	3	42	1
yeast	RPD3	P32561	433	25	EM	2.60	1.000	70	56	8	134	1
human	MAD2L2	Q9UI95	211	24	EM;X-ray	1.43	1.000	65	18	7	90	1
human	MYC	P01106	454	24	EM;NMR;X-ray	1.35	0.198	149	42	18	209	1
human	ANAPC2	Q9UJX6	822	23	EM;NMR;X-ray	1.80	1.000	7	5	3	15	1
human	DNMT1	P26358	1616	23	EM;NMR;X-ray	1.79	0.783	31	8	0	39	1
human	CAMK2A	Q9UQM7	478	22	EM;X-ray	1.85	0.992	105	15	3	123	1
human	CTLA4	P16410	223	22	NMR;X-ray	1.10	0.565	21	10	6	37	1
human	EIF2B4	Q9UI10	523	22	EM	2.27	1.000	27	7	5	39	1
human	EIF3E	P60228	445	22	EM	2.65	1.000	70	3	10	83	1
yeast	ORC1	P54784	914	22	EM;X-ray	2.20	1.000	37	8	7	52	1
DESVH	Q72AS3	Q72AS3	510	21	X-ray	0.95	0.978	3	0	0	3	1
human	ADRM1	Q16186	407	21	NMR;X-ray	1.42	1.000	36	2	6	44	1
human	BECN1	Q14457	450	21	EM;NMR;X-ray	1.14	1.000	184	26	7	217	1
human	CDH1	P12830	882	21	EM;X-ray	1.60	0.617	90	14	32	136	1
human	CRYAB	P02511	175	21	EM;NMR;Other;X-ray	1.37	1.000	61	8	10	79	1
human	GPX4	P36969	197	21	X-ray	1.01	0.863	10	4	2	16	1
human	HDAC6	Q9UBN7	1215	21	X-ray	1.05	0.294	64	30	16	110	1
human	TFRC	P02786	760	21	EM;X-ray	1.85	1.000	58	21	20	99	1
human	TSG101	Q99816	390	21	NMR;X-ray	1.40	0.372	131	15	22	168	1
BPT4	bgt	P04547	351	20	X-ray	1.65	1.000	1	0	0	1	1
human	AP1B1	Q10567	949	20	EM;X-ray	2.34	1.000	7	0	1	8	1
human	AXIN1	O15169	862	20	X-ray	1.57	0.171	132	6	15	153	1
human	GAPDH	P04406	335	20	EM;X-ray	1.52	1.000	47	12	12	71	1
human	LYRM4	Q9HD34	91	20	EM;X-ray	1.57	1.000	11	2	6	19	1
human	NFE2L2	Q16236	605	20	NMR;X-ray	1.50	0.180	99	24	11	134	1
human	NFS1	Q9Y697	457	20	EM;X-ray	1.57	0.882	25	6	14	45	1
yeast	ASF1	P32447	279	20	EM;NMR;Other;X-ray	1.50	1.000	51	12	5	68	1
yeast	CCT2	P39076	527	20	EM;X-ray	2.99	1.000	7	2	2	11	1
yeast	CCT3	P39077	534	20	EM;X-ray	2.99	1.000	3	2	2	7	1
yeast	CCT4	P39078	528	20	EM;X-ray	2.99	1.000	24	2	2	28	1
yeast	CCT6	P39079	546	20	EM;X-ray	2.99	1.000	4	2	1	7	1
