goa_id	accession	uniprot_id	symbol	protein_name	secreted	mitochondrial	transmembrane	signal_peptide	locations
UniProtKB:P07204	P07204	TRBM_HUMAN	THBD	Thrombomodulin	False	False	True	True	Membrane
UniProtKB:P40305-1	P40305	IFI27_HUMAN	IFI27	Interferon alpha-inducible protein 27, mitochondrial	False	True	True	False	Mitochondrion membrane; Nucleus inner membrane; Endoplasmic reticulum membrane
UniProtKB:Q05329	Q05329	DCE2_HUMAN	GAD2	Glutamate decarboxylase 2	False	False	False	False	Cytoplasm, cytosol; Cytoplasmic vesicle; Presynaptic cell membrane; Golgi apparatus membrane
UniProtKB:Q17RD7	Q17RD7	SYT16_HUMAN	SYT16	Synaptotagmin-16	False	False	False	False	
UniProtKB:Q5SQN1	Q5SQN1	SNP47_HUMAN	SNAP47	Synaptosomal-associated protein 47	False	False	False	False	Endomembrane system; Cytoplasm, perinuclear region
UniProtKB:Q5TGZ0	Q5TGZ0	MIC10_HUMAN	MICOS10	MICOS complex subunit MIC10	False	True	True	False	Mitochondrion inner membrane
UniProtKB:Q5XKP0	Q5XKP0	MIC13_HUMAN	MICOS13	MICOS complex subunit MIC13	False	True	True	False	Mitochondrion inner membrane
UniProtKB:Q6P1Q0	Q6P1Q0	LTMD1_HUMAN	LETMD1	LETM1 domain-containing protein 1	False	True	True	False	Mitochondrion outer membrane; Nucleus; Mitochondrion inner membrane
UniProtKB:Q6ZUI0	Q6ZUI0	TPRG1_HUMAN	TPRG1	Tumor protein p63-regulated gene 1 protein	False	False	False	False	Cytoplasm
UniProtKB:Q8WWC4	Q8WWC4	MAIP1_HUMAN	MAIP1	m-AAA protease-interacting protein 1, mitochondrial	False	True	False	False	Mitochondrion matrix
UniProtKB:Q8WXG1	Q8WXG1	RSAD2_HUMAN	RSAD2	S-adenosylmethionine-dependent nucleotide dehydratase RSAD2	False	True	False	False	Endoplasmic reticulum membrane; Golgi apparatus; Endoplasmic reticulum; Lipid droplet; Mitochondrion; Mitochondrion inner membrane; Mitochondrion outer membrane
UniProtKB:Q92843	Q92843	B2CL2_HUMAN	BCL2L2	Bcl-2-like protein 2	False	True	False	False	Mitochondrion membrane
UniProtKB:Q96BZ9	Q96BZ9	TBC20_HUMAN	TBC1D20	TBC1 domain family member 20	False	False	True	False	Membrane
UniProtKB:Q96QA5	Q96QA5	GSDMA_HUMAN	GSDMA	Gasdermin-A	False	False	True	False	Cytoplasm, perinuclear region; Cytoplasm, cytosol; Cell membrane
UniProtKB:Q9BQE5	Q9BQE5	APOL2_HUMAN	APOL2	Apolipoprotein L2	False	False	False	False	Cytoplasm
UniProtKB:Q9H237-2	Q9H237	PORCN_HUMAN	PORCN	Protein-serine O-palmitoleoyltransferase porcupine	False	False	True	False	Endoplasmic reticulum membrane
UniProtKB:Q9HC62	Q9HC62	SENP2_HUMAN	SENP2	Sentrin-specific protease 2	False	False	False	False	Nucleus, nuclear pore complex; Nucleus membrane; Cytoplasm
UniProtKB:Q9NPL8	Q9NPL8	TIDC1_HUMAN	TIMMDC1	Complex I assembly factor TIMMDC1, mitochondrial	False	True	True	False	Mitochondrion membrane
UniProtKB:Q9NR28	Q9NR28	DBLOH_HUMAN	DIABLO	Diablo IAP-binding mitochondrial protein	False	True	False	False	Mitochondrion; Cytoplasm, cytosol
UniProtKB:Q9NUH8	Q9NUH8	TM14B_HUMAN	TMEM14B	Transmembrane protein 14B	False	False	True	False	Membrane
UniProtKB:Q9UHD9	Q9UHD9	UBQL2_HUMAN	UBQLN2	Ubiquilin-2	False	False	False	False	Cytoplasm; Nucleus; Membrane; Cytoplasmic vesicle, autophagosome
UniProtKB:Q9UMS0	Q9UMS0	NFU1_HUMAN	NFU1	NFU1 iron-sulfur cluster scaffold homolog, mitochondrial	False	True	False	False	Mitochondrion; Cytoplasm, cytosol
UniProtKB:Q9UMX0	Q9UMX0	UBQL1_HUMAN	UBQLN1	Ubiquilin-1	False	False	False	False	Cytoplasm; Nucleus; Endoplasmic reticulum; Cytoplasmic vesicle, autophagosome; Cell membrane
