accession	length	taxid	organism	name	in_eutheria
A0A091DTJ9	153	885580	Fukomys damarensis	Apolipoprotein C-IV	True
A0A096P2H6	127	9555	Papio anubis	Apolipoprotein C-IV	True
A0A0D9S1R4	127	60711	Chlorocebus sabaeus	Apolipoprotein C-IV	True
A0A1A6FWF1	124	56216	Neotoma lepida	Apolipoprotein C-IV	True
A0A1S3ACJ2	133	9365	Erinaceus europaeus	Apolipoprotein C-IV	True
A0A1S3GGW9	122	10020	Dipodomys ordii	Apolipoprotein C-IV	True
A0A1U7R5I0	124	10036	Mesocricetus auratus	Apolipoprotein C-IV	True
A0A1U7TAQ3	125	1868482	Carlito syrichta	Apolipoprotein C-IV	True
A0A286ZPG0	126	9823	Sus scrofa	Apolipoprotein C-IV	True
A0A2K5DEF9	127	37293	Aotus nancymaae	Apolipoprotein C-IV	True
A0A2K5I2P1	127	336983	Colobus angolensis palliatus	Apolipoprotein C-IV	True
A0A2K5L973	104	9531	Cercocebus atys	Apolipoprotein C-IV	True
A0A2K5Q3R7	125	2715852	Cebus imitator	Apolipoprotein C-IV	True
A0A2K5VPK0	127	9541	Macaca fascicularis	Apolipoprotein C-IV	True
A0A2K5XWH2	127	9568	Mandrillus leucophaeus	Apolipoprotein C-IV	True
A0A2K6CM81	127	9545	Macaca nemestrina	Apolipoprotein C-IV	True
A0A2K6FMR6	127	379532	Propithecus coquereli	Apolipoprotein C-IV	True
A0A2K6M7G9	127	61621	Rhinopithecus bieti	Apolipoprotein C-IV	True
A0A2K6PFU0	127	61622	Rhinopithecus roxellana	Apolipoprotein C-IV	True
A0A2K6SHB9	100	39432	Saimiri boliviensis boliviensis	Apolipoprotein C-IV	True
A0A2R9CMV6	127	9597	Pan paniscus	Apolipoprotein C-IV	True
A0A2U3VZQ5	123	9708	Odobenus rosmarus divergens	Apolipoprotein C-IV	True
A0A2U3Y4E5	123	9713	Leptonychotes weddellii	Apolipoprotein C-IV	True
A0A2Y9E970	128	127582	Trichechus manatus latirostris	Apolipoprotein C-IV	True
A0A2Y9GDB5	123	29088	Neomonachus schauinslandi	Apolipoprotein C-IV	True
A0A2Y9L0Q8	121	391180	Enhydra lutris kenyoni	Apolipoprotein C-IV	True
A0A2Y9P5Q4	127	9749	Delphinapterus leucas	Apolipoprotein C-IV	True
A0A340XHK6	127	118797	Lipotes vexillifer	Apolipoprotein C-IV	True
A0A341DAH7	127	1706337	Neophocaena asiaeorientalis asiaeorientalis	Apolipoprotein C-IV	True
A0A383YZE8	127	9767	Balaenoptera acutorostrata	Apolipoprotein C-IV	True
A0A384BJB8	123	29073	Ursus maritimus	Apolipoprotein C-IV	True
