Citation,EvidenceType,Stance,ClaimTested,KeyFinding,Context,ConfidenceLimitations
PMID:12771188,direct assay (IDA)+mutant,qualifies/competing,statC mediates stress response,STATc activated by osmotic/heat/oxidative stress; STATc-null NOT abnormally stress-sensitive; drives gapA/rtoA,D. discoideum developing cells,High; supports 'response to stress' not 'defense response'
PMID:17517120,expression (IEP)+mutant,qualifies,statC is key osmostress TF,~20% of hyperosmotic-shock genes are STATc-dependent,D. discoideum,High; abiotic osmotic stress not proliferation/defense
PMID:11336701,mutant phenotype (IMP),qualifies,statC developmental role,Regulates speed of early development & timing of terminal differentiation; graded ecmA prestalk repressor,D. discoideum development,High; differentiation/timing NOT proliferation
PMID:12506009,localization/mechanism,qualifies,DIF-1 controls statC nuclear accumulation,DIF inhibits CRM1 nuclear export -> prestalk differentiation,D. discoideum,High; prestalk/stalk differentiation
PMID:22365144,direct assay,qualifies,stress/DIF activate statC via PTP3,F-actin remodelling -> PTP3 Ser-phosphorylation -> STATc activation,D. discoideum,High; stress-adaptation mechanism
PMID:26927887,mutant phenotype,competing,Which genes execute Dictyostelium defense,Sentinel-cell extracellular traps kill bacteria via TirA + NADPH oxidase/ROS; NOT statC,D. discoideum slug,High; true GO:0006952 effectors are TirA/Nox
PMID:17673666,mutant phenotype,competing,Innate immune-like defense machinery,Sentinel cells + TirA provide detoxification/immune-like function,D. discoideum,High; defense mapped to TirA not statC
GO_REF:0000033 (IBA),phylogenetic (IBA),refutes-as-direct,Basis of GO:0042127 & GO:0006952 on statC,Both terms propagated from animal STATs (STAT1/2 -> defense; STAT3/5 -> proliferation); no DICDI experimental support,PANTHER PTN000927860,Medium; classic ortholog carry-over / over-annotation
UniProt Q54BD4 (InterPro/Pfam),structural/evolutionary (computational),qualifies,statC domain architecture & orthology,Canonical STAT: coiled-coil + p53-like DNA-binding + SH2 (aa802-931); PANTHER PTHR11801; only TF module conserved; activated by PTP3 switch not JAK,D. discoideum (dstC 931aa),Medium-High; supports MF DNA-binding TF only not proliferation/defense
UniProt mapping (dstA/B/C),structural/evolutionary (computational),qualifies,Paralog basis of IBA proliferation call,GO:0042127 with-from DDB_G0268638 = dstB (paralog Q70GP4) + animal STAT1/STAT5A; Dictyostelid-specific STAT expansion (dstA O00910/dstB Q70GP4/dstC Q54BD4),D. discoideum,Medium; proliferation call rests on paralog+animal nodes not statC
PMID:14701681,mutant phenotype (IMP),competing/refutes-as-direct,Which Dictyostelium STAT actually regulates proliferation,statB (dstB) null cells gradually lost from population in co-culture = subtle growth role (the ONLY experimental GO:0042127 in a Dictyostelium STAT); statC has no such phenotype,D. discoideum growth/early dev,High; proliferation is a statB function propagated to statC by IBA
QuickGO dstA/dstB/dstC scan,review/database,refutes-as-direct,Any experimental defense-response in Dictyostelium STATs,GO:0006952 is IBA-only in ALL three Dictyostelium STATs (dstA/dstB/dstC); zero experimental support,D. discoideum,High; defense response is pure animal-STAT propagation
