go_id	token	accession	gene	organism	reviewed	n_annotations	evidence_codes	terms_held	has_own_experimental
GO:0016192	AGI_LocusCode:AT1G01960	Q9LPC5	BIG3	Arabidopsis thaliana	Swiss-Prot	2	IBA;IMP	GO:0016192	yes
GO:0016192	AGI_LocusCode:AT1G13980	Q42510	GN	Arabidopsis thaliana	Swiss-Prot	4	IBA;IEA;IMP	GO:0016192;GO:0032509	yes
GO:0016192	AGI_LocusCode:AT3G43300	F4IXW2	BIG5	Arabidopsis thaliana	Swiss-Prot	3	IBA;IMP	GO:0016192	yes
GO:0016192	AGI_LocusCode:AT3G60860	Q9LZX8	BIG2	Arabidopsis thaliana	Swiss-Prot	2	IBA;IMP	GO:0016192;GO:0043001	yes
GO:0016192	AGI_LocusCode:AT5G39500	Q9FLY5	GNL1	Arabidopsis thaliana	Swiss-Prot	3	IBA;IEA;IMP	GO:0006890;GO:0016192	yes
GO:0016192	FB:FBgn0028538	Q9VJW1	Sec71	Drosophila melanogaster	TrEMBL	2	IBA;IGI	GO:0016192;GO:0043001	yes
GO:0016192	PomBase:SPBC211.03c	Q9P7R8		Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Swiss-Prot	2	IBA;IMP	GO:0006890;GO:0043001	yes
GO:0016192	RGD:631430	Q7TSU1	Arfgef2	Rattus norvegicus	Swiss-Prot	5	IBA;IEA;IMP;ISO;ISS	GO:0006887;GO:0006893	yes
GO:0016192	SGD:S000000748	P39993	GEA2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	7	IBA;IEA;IGI;IMP	GO:0006888;GO:0006890;GO:0006891	yes
GO:0016192	SGD:S000002577	P11075	SEC7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	3	IBA;IMP	GO:0006888;GO:0006891	yes
GO:0016192	SGD:S000003792	P47102	GEA1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	8	IBA;IEA;IGI;IMP	GO:0006888;GO:0006890;GO:0006891	yes
GO:0016192	SGD:S000005241	P48563	MON2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	3	IBA;IMP	GO:0006895;GO:0042147	yes
GO:0016192	SGD:S000006299	Q06836	SYT1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	4	IBA;IGI;IMP	GO:0006887;GO:0016192	yes
GO:0016192	UniProtKB:O43739	O43739	CYTH3	Homo sapiens	Swiss-Prot	2	IBA;IMP	GO:0016192;GO:0048193	yes
GO:0016192	UniProtKB:Q92538	Q92538	GBF1	Homo sapiens	Swiss-Prot	9	IBA;IMP;TAS	GO:0006888;GO:0006890;GO:0006892;GO:0006895;GO:0042147;GO:0048205	yes
GO:0016192	UniProtKB:Q9Y6D5	Q9Y6D5	ARFGEF2	Homo sapiens	Swiss-Prot	4	IBA;IEA;IMP;TAS	GO:0006887;GO:0006893	yes
GO:0016192	WB:WBGene00007703	G5EGS5	gbf-1	Caenorhabditis elegans	Swiss-Prot	2	IBA;IMP	GO:0006890;GO:0016197	yes
GO:0016192	dictyBase:DDB_G0272486	Q86KG9		Dictyostelium discoideum	TrEMBL	1	IBA	GO:0016192	no
GO:0005085	AGI_LocusCode:AT1G13980	Q42510	GN	Arabidopsis thaliana	Swiss-Prot	3	IBA;IDA;IEA	GO:0005085	yes
GO:0005085	FB:FBgn0028538	Q9VJW1	Sec71	Drosophila melanogaster	TrEMBL	4	IBA;IDA;IEA;IPI	GO:0005085	yes
GO:0005085	FB:FBgn0264560	A1Z8W8	garz	Drosophila melanogaster	TrEMBL	4	IBA;IEA;IGI	GO:0005085	yes
GO:0005085	MGI:MGI:1334257	Q9QX11	Cyth1	Mus musculus	Swiss-Prot	4	IBA;IDA;IEA;ISO	GO:0005085	yes
GO:0005085	MGI:MGI:1918215	Q2PFD7	Psd3	Mus musculus	Swiss-Prot	3	IBA;IDA;IEA	GO:0005085	yes
GO:0005085	PomBase:SPAC11E3.11c	O13690		Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Swiss-Prot	3	IBA;IEA;IMP	GO:0005085	yes
