token	kind	accession	entry_name	gene	protein	organism	reviewed	length	has_sec7_interpro	panther	n_hits	resolved_by
AGI_LocusCode:AT1G01960	mod-id	Q9LPC5	BIG3_ARATH	BIG3	Brefeldin A-inhibited guanine nucleotide-exchange protein 3	Arabidopsis thaliana	Swiss-Prot	1750	yes	PTHR10663;PTHR10663:SF375	1	xref:araport-AT1G01960
AGI_LocusCode:AT1G13980	mod-id	Q42510	GNOM_ARATH	GN	ARF guanine-nucleotide exchange factor GNOM	Arabidopsis thaliana	Swiss-Prot	1451	yes	PTHR10663:SF388;PTHR10663	1	xref:araport-AT1G13980
AGI_LocusCode:AT3G43300	mod-id	F4IXW2	BIG5_ARATH	BIG5	Brefeldin A-inhibited guanine nucleotide-exchange protein 5	Arabidopsis thaliana	Swiss-Prot	1739	yes	PTHR10663:SF312;PTHR10663	1	xref:araport-AT3G43300
AGI_LocusCode:AT3G60860	mod-id	Q9LZX8	BIG2_ARATH	BIG2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Arabidopsis thaliana	Swiss-Prot	1793	yes	PTHR10663:SF379;PTHR10663	1	xref:araport-AT3G60860
AGI_LocusCode:AT5G39500	mod-id	Q9FLY5	GNL1_ARATH	GNL1	ARF guanine-nucleotide exchange factor GNL1	Arabidopsis thaliana	Swiss-Prot	1443	yes	PTHR10663:SF353;PTHR10663	1	xref:araport-AT5G39500
FB:FBgn0028538	mod-id	Q9VJW1	Q9VJW1_DROME	Sec71	Secretory 71	Drosophila melanogaster	TrEMBL	1653	yes	PTHR10663;PTHR10663:SF375	1	xref:flybase-FBgn0028538
FB:FBgn0264560	mod-id	A1Z8W8	A1Z8W8_DROME	garz	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	Drosophila melanogaster	TrEMBL	1983	yes	PTHR10663:SF388;PTHR10663	4	xref:flybase-FBgn0264560
InterPro:IPR000904	interpro											
MGI:MGI:1334257	mod-id	Q9QX11	CYH1_MOUSE	Cyth1	Cytohesin-1	Mus musculus	Swiss-Prot	398	yes	PTHR10663:SF340;PTHR10663	5	xref:mgi-1334257
MGI:MGI:1918215	mod-id	Q2PFD7	PSD3_MOUSE	Psd3	PH and SEC7 domain-containing protein 3	Mus musculus	Swiss-Prot	1037	yes	PTHR10663;PTHR10663:SF337	5	xref:mgi-1918215
PANTHER:PTN008950430	panther-node				PAINT ancestral node							
PomBase:SPAC11E3.11c	mod-id	O13690	YDYB_SCHPO		PH and SEC7 domain-containing protein C11E3.11c	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Swiss-Prot	942	yes	PTHR10663;PTHR10663:SF373	1	xref:pombase-SPAC11E3.11c
PomBase:SPBC211.03c	mod-id	Q9P7R8	YHV3_SCHPO		Uncharacterized protein C211.03	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Swiss-Prot	1462	yes	PTHR10663:SF388;PTHR10663	1	xref:pombase-SPBC211.03c
RGD:631430	mod-id	Q7TSU1	BIG2_RAT	Arfgef2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Rattus norvegicus	Swiss-Prot	1791	yes	PTHR10663:SF124;PTHR10663	2	xref:rgd-631430
SGD:S000000748	mod-id	P39993	GEA2_YEAST	GEA2	ARF guanine-nucleotide exchange factor 2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	1459	yes	PTHR10663:SF388;PTHR10663	1	xref:sgd-S000000748
SGD:S000002577	mod-id	P11075	SEC7_YEAST	SEC7	ADP-ribosylation factor guanine nucleotide-exchange factor SEC7	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	2009	yes	PTHR10663;PTHR10663:SF375	1	xref:sgd-S000002577
SGD:S000003792	mod-id	P47102	GEA1_YEAST	GEA1	ARF guanine-nucleotide exchange factor 1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	1408	yes	PTHR10663:SF388;PTHR10663	1	xref:sgd-S000003792
SGD:S000005241	mod-id	P48563	MON2_YEAST	MON2	Protein MON2	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	1636	no		1	xref:sgd-S000005241
SGD:S000006299	mod-id	Q06836	SYT1_YEAST	SYT1	Arf guanine nucleotide exchange factor SYT1	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Swiss-Prot	1226	yes	PTHR10663:SF405;PTHR10663	1	xref:sgd-S000006299
UniProtKB-SubCell:SL-0086	uniprotkb-subcell											
UniProtKB-SubCell:SL-0244	uniprotkb-subcell											
UniProtKB-SubCell:SL-0245	uniprotkb-subcell											
UniProtKB:A5PKW4	protein	A5PKW4	PSD1_HUMAN	PSD	PH and SEC7 domain-containing protein 1	Homo sapiens	Swiss-Prot	1024	yes	PTHR10663;PTHR10663:SF334	1	direct accession A5PKW4
UniProtKB:O43739	protein	O43739	CYH3_HUMAN	CYTH3	Cytohesin-3	Homo sapiens	Swiss-Prot	400	yes	PTHR10663:SF320;PTHR10663	1	direct accession O43739
UniProtKB:Q15438	protein	Q15438	CYH1_HUMAN	CYTH1	Cytohesin-1	Homo sapiens	Swiss-Prot	398	yes	PTHR10663:SF340;PTHR10663	1	direct accession Q15438
UniProtKB:Q5JU85	protein	Q5JU85	IQEC2_HUMAN	IQSEC2	IQ motif and SEC7 domain-containing protein 2	Homo sapiens	Swiss-Prot	1488	yes	PTHR10663;PTHR10663:SF314	1	direct accession Q5JU85
UniProtKB:Q92538	protein	Q92538	GBF1_HUMAN	GBF1	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	Homo sapiens	Swiss-Prot	1860	yes	PTHR10663:SF388;PTHR10663	1	direct accession Q92538
UniProtKB:Q9UIA0	protein	Q9UIA0	CYH4_HUMAN	CYTH4	Cytohesin-4	Homo sapiens	Swiss-Prot	394	yes	PTHR10663:SF323;PTHR10663	1	direct accession Q9UIA0
UniProtKB:Q9Y6D5	protein	Q9Y6D5	BIG2_HUMAN	ARFGEF2	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Homo sapiens	Swiss-Prot	1785	yes	PTHR10663:SF124;PTHR10663	1	direct accession Q9Y6D5
UniProtKB:Q9Y6D6	protein	Q9Y6D6	BIG1_HUMAN	ARFGEF1	Brefeldin A-inhibited guanine nucleotide-exchange protein 1	Homo sapiens	Swiss-Prot	1849	yes	PTHR10663:SF137;PTHR10663	1	direct accession Q9Y6D6
WB:WBGene00007703	mod-id	G5EGS5	GBF1_CAEEL	gbf-1	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1 homolog	Caenorhabditis elegans	Swiss-Prot	1975	yes	PTHR10663:SF388;PTHR10663	1	"FALLBACK free-text ""WBGene00007703"""
dictyBase:DDB_G0272486	mod-id	Q86KG9	Q86KG9_DICDI		Pleckstrin domain-containing protein	Dictyostelium discoideum	TrEMBL	931	yes	PTHR10663:SF399;PTHR10663	1	xref:dictybase-DDB_G0272486
