component	interpro	taxon	n_members	members
Septal cell-wall amidases (AmiC family)	IPR050695	103690	5	A0ACD7RQR5;A0ACD7RYV5;A0ACD7RZG8;A0ACD7S1M0;A0ACD7S2F2
Septal cell-wall amidases (AmiC family)	IPR050695	63737	4	B2IUS9;B2IYA6;B2J2S3;B2J2S4
Septal cell-wall amidases (AmiC family)	IPR050695	240292	4	Q3M6J0;Q3MAV0;Q3MD47;Q3MD48
Septal cell-wall amidases (AmiC family)	IPR050695	56107	3	K9WYW5;K9WZL4;K9X2S2
Septal cell-wall amidases (AmiC family)	IPR050695	211165	3	A0A3S0ZNT3;A0A3S1ABH7;A0A433MZK5
Septal cell-wall amidases (AmiC family)	IPR050695	741277	6	G6FMK2;G6FQD4;G6FW03;G6FW05;G6FXC2;G6FYF7
Septal cell-wall amidases (AmiC family)	IPR050695	1111708	3	P73105;P73581;P73736
Septal cell-wall amidases (AmiC family)	IPR050695	1140	3	Q31KM9;Q31LA5;Q31QC3
SepN plug	(none)	103690	NA	no family model (homology only)
SepN plug	(none)	63737	NA	no family model (homology only)
SepN plug	(none)	240292	NA	no family model (homology only)
SepN plug	(none)	56107	NA	no family model (homology only)
SepN plug	(none)	211165	NA	no family model (homology only)
SepN plug	(none)	741277	NA	no family model (homology only)
SepN plug	(none)	1111708	NA	no family model (homology only)
SepN plug	(none)	1140	NA	no family model (homology only)
FraD membrane/periplasmic anchor	IPR020360	103690	1	P46079
FraD membrane/periplasmic anchor	IPR020360	63737	1	B2IXC8
FraD membrane/periplasmic anchor	IPR020360	240292	1	Q3MGQ1
FraD membrane/periplasmic anchor	IPR020360	56107	1	K9WUY7
FraD membrane/periplasmic anchor	IPR020360	211165	1	A0A433MW52
FraD membrane/periplasmic anchor	IPR020360	741277	1	G6FUM3
FraD membrane/periplasmic anchor	IPR020360	1111708	0	
FraD membrane/periplasmic anchor	IPR020360	1140	0	
SepJ (FraG) septal protein	(none)	103690	NA	no family model (homology only)
SepJ (FraG) septal protein	(none)	63737	NA	no family model (homology only)
SepJ (FraG) septal protein	(none)	240292	NA	no family model (homology only)
SepJ (FraG) septal protein	(none)	56107	NA	no family model (homology only)
SepJ (FraG) septal protein	(none)	211165	NA	no family model (homology only)
SepJ (FraG) septal protein	(none)	741277	NA	no family model (homology only)
SepJ (FraG) septal protein	(none)	1111708	NA	no family model (homology only)
SepJ (FraG) septal protein	(none)	1140	NA	no family model (homology only)
FraC septal integral-membrane protein	IPR054663	103690	1	P46078
FraC septal integral-membrane protein	IPR054663	63737	1	B2IXC9
FraC septal integral-membrane protein	IPR054663	240292	1	Q3MGQ2
FraC septal integral-membrane protein	IPR054663	56107	1	K9WTD1
FraC septal integral-membrane protein	IPR054663	211165	1	A0A3S0ZK90
FraC septal integral-membrane protein	IPR054663	741277	1	G6FUM4
FraC septal integral-membrane protein	IPR054663	1111708	0	
FraC septal integral-membrane protein	IPR054663	1140	0	
FraE (fraCDE operon)	IPR032688	103690	2	A0ACD7RSN5;A0ACD7S2T1
FraE (fraCDE operon)	IPR032688	63737	3	B2IVF4;B2IXC7;B2J866
FraE (fraCDE operon)	IPR032688	240292	2	Q3M5A6;Q3MGQ0
FraE (fraCDE operon)	IPR032688	56107	1	K9WTV4
FraE (fraCDE operon)	IPR032688	211165	3	A0A3S0XFY1;A0A3S1APA6;A0A433NNY0
FraE (fraCDE operon)	IPR032688	741277	3	G6FRF0;G6FUM2;G6FZZ5
FraE (fraCDE operon)	IPR032688	1111708	1	P74719
FraE (fraCDE operon)	IPR032688	1140	1	Q31S70
