curie,label,retrieved_at
ARO:0001001,antibiotic target alteration,2026-06-12T16:33:18.492201
ARO:0001002,antibiotic target replacement,2026-06-12T16:33:18.497595
ARO:0001003,antibiotic target protection,2026-06-12T16:33:18.494873
ARO:0001004,antibiotic inactivation,2026-06-12T16:33:18.469251
ARO:0010000,antibiotic efflux,2026-06-12T16:33:18.489325
ARO:3000001,beta-lactamase,2026-06-12T16:33:18.503435
ARO:3000114,aminoglycoside phosphotransferase (APH),2026-06-12T16:33:18.604972
ARO:3000121,aminoglycoside acetyltransferase (AAC),2026-06-12T16:33:18.675798
ARO:3000122,chloramphenicol acetyltransferase (CAT),2026-06-12T16:33:18.523257
ARO:3000133,fosfomycin thiol transferase,2026-06-12T16:33:18.968154
ARO:3000218,aminoglycoside nucleotidyltransferase (ANT),2026-06-12T16:33:18.743250
ARO:3000244,reduced permeability to antibiotic,2026-06-12T16:33:18.500575
ARO:3000316,mphA,2026-06-12T16:33:18.216559
ARO:3000318,mphB,2026-06-12T16:33:18.463261
ARO:3000333,macrolide phosphotransferase (MPH),2026-06-12T16:33:18.466234
ARO:3000560,Erm 23S ribosomal RNA methyltransferase,2026-06-12T16:33:18.812627
ARO:3001218,trimethoprim resistant dihydrofolate reductase dfr,2026-06-12T16:33:18.880268
ARO:3003415,sulfonamide resistant dihydropteroate synthase folP,2026-06-12T16:33:18.899888
ARO:3004112,phosphoethanolamine transferase conferring colistin resistance,2026-06-12T18:06:33.797384
ARO:3004271,16S rRNA methyltransferase (G1405),2026-06-12T18:06:33.868696
