direction	rank	target	evalue	bits	aligned_length	percent_identity
D8J0W9_to_PSEPK	1	Q88I03	1.879E-80	270	371	40.400
D8J0W9_to_PSEPK	2	Q88FY2	1.461E-25	108	343	28.400
D8J0W9_to_PSEPK	3	P0A155	2.506E-05	44	73	36.900
Q88I03_to_Hsero	1	D8J0W9	1.615E-83	279	369	40.600
Q88I03_to_Hsero	2	D8IP29	2.311E-19	89	318	26.500
Q88I03_to_Hsero	3	D8J0K7	9.899E-19	87	348	26.000
Q88I03_to_Hsero	4	D8IXN2	7.615E-15	74	316	28.400
Q88I03_to_Hsero	5	D8ISK0	1.123E-08	55	309	26.100
Q88I03_to_Hsero	6	D8IYA2	2.355E-06	47	331	24.700
Q88I03_to_Hsero	7	D8ITN0	4.843E-04	40	162	30.500
