organism	gene	positive_term	positive_name	pos_evidence	negated_term	negated_name	neg_evidence	parent_support
ARATH	SCR	GO:0005515	protein binding	IPI	GO:0042803	protein homodimerization activity	IPI	supported
ARATH	TOC1	GO:0003677	DNA binding	IDA	GO:0000976	transcription cis-regulatory region binding	IDA	supported
DANRE	coq8a	GO:0016301	kinase activity	ISS	GO:0004672	protein kinase activity	ISS	supported
SCHPO	pmp20	GO:0004601	peroxidase activity	IEA	GO:0004602	glutathione peroxidase activity	IDA	UNSUPPORTED
SCHPO	pmp20	GO:0016209	antioxidant activity	IEA	GO:0004602	glutathione peroxidase activity	IDA	UNSUPPORTED
SCHPO	pmp20	GO:0016491	oxidoreductase activity	IEA	GO:0004602	glutathione peroxidase activity	IDA	UNSUPPORTED
STAAU	ant	GO:0016779	nucleotidyltransferase activity	IEA	GO:0009012	aminoglycoside 3''-adenylyltransferase activity	IDA	UNSUPPORTED
human	ABL1	GO:0003677	DNA binding	IEA	GO:0097100	supercoiled DNA binding	IDA	supported
human	BRAF	GO:0005515	protein binding	IPI	GO:0031267	small GTPase binding	IPI	supported
human	CDK5	GO:0005515	protein binding	IPI	GO:0008017	microtubule binding	TAS	supported
human	CPT1C	GO:0003824	catalytic activity	IEA	GO:0004095	carnitine O-palmitoyltransferase activity	ISS	supported
human	CPT1C	GO:0016740	transferase activity	IEA	GO:0004095	carnitine O-palmitoyltransferase activity	ISS	UNSUPPORTED
human	CPT1C	GO:0016746	acyltransferase activity	IEA	GO:0004095	carnitine O-palmitoyltransferase activity	ISS	UNSUPPORTED
human	CYB5R4	GO:0016491	oxidoreductase activity	IEA	GO:0016174	NAD(P)H oxidase H2O2-forming activity	IDA	supported
human	DAB2IP	GO:0005515	protein binding	IPI	GO:0035662	Toll-like receptor 4 binding	IDA	supported
human	DPYSL5	GO:0016787	hydrolase activity	IEA	GO:0004157	dihydropyrimidinase activity	IBA	UNSUPPORTED
human	DPYSL5	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	IEA	GO:0004157	dihydropyrimidinase activity	IBA	UNSUPPORTED
human	ENDOU	GO:0016787	hydrolase activity	IEA	GO:0008236	serine-type peptidase activity	IDA	UNSUPPORTED
human	HDAC6	GO:0016787	hydrolase activity	IEA	GO:0047611	acetylspermidine deacetylase activity	IDA	supported
human	HDAC6	GO:0019213	deacetylase activity	IBA	GO:0047611	acetylspermidine deacetylase activity	IDA	supported
human	LRPPRC	GO:0005515	protein binding	IPI	GO:0051015	actin filament binding	IDA	supported
human	MAP1S	GO:0003779	actin binding	IBA	GO:0051015	actin filament binding	IDA	UNSUPPORTED
human	MAP1S	GO:0005515	protein binding	IPI	GO:0051015	actin filament binding	IDA	supported
human	MVB12B	GO:0005515	protein binding	IPI	GO:0043130	ubiquitin binding	IDA	supported
human	PEX12	GO:0004842	ubiquitin-protein transferase activity	IBA	GO:0061630	ubiquitin protein ligase activity	IDA	UNSUPPORTED
human	PLD4	GO:0003824	catalytic activity	IEA	GO:0004630	phospholipase D activity	ISS	supported
human	PLD4	GO:0016787	hydrolase activity	IEA	GO:0004630	phospholipase D activity	ISS	supported
human	SIRT1	GO:0016740	transferase activity	IEA	GO:0003950	NAD+ poly-ADP-ribosyltransferase activity	TAS	supported
human	SIRT1	GO:0016740	transferase activity	IEA	GO:1990404	NAD+-protein mono-ADP-ribosyltransferase activity	TAS	supported
human	SIRT2	GO:0016740	transferase activity	IEA	GO:0003950	NAD+ poly-ADP-ribosyltransferase activity	TAS	supported
human	SIRT2	GO:0016740	transferase activity	IEA	GO:1990404	NAD+-protein mono-ADP-ribosyltransferase activity	TAS	supported
mouse	Pld4	GO:0003824	catalytic activity	IEA	GO:0004630	phospholipase D activity	IDA	supported
mouse	Pld4	GO:0016787	hydrolase activity	IEA	GO:0004630	phospholipase D activity	IDA	supported
