organism	gene	caution_pmid	n_pos_annotations	caution_text	positive_terms
BPT4	rI	17693511	1	It was first thought (PubMed:17693511) that the antiholin possesses a SAR domain, but it undergoes normal processing of its N- terminal signal sequence. .	GO:0020002(C,IDA)
BPT4	rI	34456892	1	It was first thought (PubMed:17693511) that the antiholin possesses a SAR domain, but it undergoes normal processing of its N- terminal signal sequence. .	GO:0044229(C,EXP)
BPT4	uvsW	17092935	1	Originally thought to also encode the following gene uvsW1 (PubMed:17092935). .	GO:0016887(M,EXP)
DANRE	pcif1	30467178	3	The role of N(6),2'-O-dimethyladenosine cap (m6A(m)) on transcripts is unclear and subject to discussion. According to a report, m6A(m) promotes the translation of capped mRNAs (PubMed:30467178). Howe	GO:0006397(B,IDA); GO:0016422(M,IDA); GO:1904047(M,IDA)
ECOLI	ftsI	7030331	1	Was originally thought to be a bifunctional enzyme with transglycosylase and transpeptidase activities. .	GO:0008955(M,IDA)
ECOLI	rbsD	15060078	2	Was originally thought (PubMed:3011793) to be a high affinity ribose transport protein, but further analysis (PubMed:15060078) shows that it is a D-ribose pyranase. .	GO:0062193(M,IDA); GO:0019303(B,IMP)
human	AGK	28712724	4	According to a report, the N-terminal hydrophobic region forms a transmembrane region that crosses the mitochondrion inner membrane (PubMed:28712726). According to another report, the N-terminal hydro	GO:0005743(C,IDA); GO:0005758(C,IDA); GO:0042721(C,IDA); GO:0045039(B,IDA)
human	AGK	28712726	4	According to a report, the N-terminal hydrophobic region forms a transmembrane region that crosses the mitochondrion inner membrane (PubMed:28712726). According to another report, the N-terminal hydro	GO:0005743(C,IDA); GO:0005758(C,IDA); GO:0042721(C,IDA); GO:0045039(B,IDA)
human	AIFM2	11980907	5	Conflicting data exist on the pro-apoptotic function of the protein. It was initially claimed that overexpression of FSP1 induces caspase-independent apoptosis, but new evidence disputes this function	GO:0043065(B,IDA); GO:0008637(B,IDA); GO:0005739(C,IDA); GO:0005741(C,IDA); GO:0005829(C,IDA)
human	AIFM2	12135761	1	Conflicting data exist on the pro-apoptotic function of the protein. It was initially claimed that overexpression of FSP1 induces caspase-independent apoptosis, but new evidence disputes this function	GO:0005737(C,IDA)
human	AIFM2	15958387	3	Conflicting data exist on the pro-apoptotic function of the protein. It was initially claimed that overexpression of FSP1 induces caspase-independent apoptosis, but new evidence disputes this function	GO:0003677(M,IDA); GO:0004174(M,IDA); GO:0050660(M,IDA)
human	AIFM2	31634899	6	Conflicting data exist on the pro-apoptotic function of the protein. It was initially claimed that overexpression of FSP1 induces caspase-independent apoptosis, but new evidence disputes this function	GO:0016655(M,IDA); GO:0016655(M,IDA); GO:0110076(B,IDA); GO:0016655(M,IDA); GO:0006743(B,IDA); GO:0110076(B,IMP)
human	AIFM2	31634900	5	Conflicting data exist on the pro-apoptotic function of the protein. It was initially claimed that overexpression of FSP1 induces caspase-independent apoptosis, but new evidence disputes this function	GO:0005811(C,IDA); GO:0005886(C,IDA); GO:0006743(B,IDA); GO:0016655(M,IDA); GO:0110076(B,IMP)
human	ARIH1	15236971	3	The RING-type 2 zinc finger was initially reported to only bind 1 zinc ion instead of 2 compared to classical RING-types (PubMed:15236971). But it was later shown that it is not the case and binds 2 z	GO:0004842(M,IDA); GO:0008270(M,IDA); GO:0016567(B,IDA)
human	ARIH1	23707686	5	The RING-type 2 zinc finger was initially reported to only bind 1 zinc ion instead of 2 compared to classical RING-types (PubMed:15236971). But it was later shown that it is not the case and binds 2 z	GO:0005515(M,IPI); GO:0004842(M,IDA); GO:0008270(M,IDA); GO:0016567(B,IDA); GO:0031624(M,IPI)
human	ASAH2	10781606	4	Was proposed to be mitochondrial, based on experiments with an N-terminal GFP-tag (PubMed:10781606). The in vivo localization to the mitochondrion could not be confirmed (PubMed:15845354). However, it	GO:0005739(C,IDA); GO:0006670(B,IMP); GO:0017040(M,IMP); GO:0046514(B,IMP)
human	ATF2	10821277	4	Appears to have histone acetyltransferase (HAT) activity, specifically towards histones H2B and H4 in vitro (PubMed:10821277). However, it is not clear if this activity is genuine or caused by contami	GO:0045815(B,IDA); GO:0010485(M,IDA); GO:0044013(M,IDA); GO:1902562(C,IDA)
human	ATP13A1	24392018	1	Was initially thought to mediate manganese transport (PubMed:24392018). However, it was later shown to specifically bind moderately hydrophobic transmembrane with short hydrophilic lumenal domains tha	GO:0005789(C,EXP)
human	ATP13A1	32973005	2	Was initially thought to mediate manganese transport (PubMed:24392018). However, it was later shown to specifically bind moderately hydrophobic transmembrane with short hydrophilic lumenal domains tha	GO:0140567(M,IDA); GO:0140569(B,IDA)
human	BOLA3	22746225	2	Was initially reported to be secreted via a non-classical export pathway (PubMed:18548201). It was however later shown that it localizes to mitochondria, in agreement with other members of the family 	GO:0005739(C,NAS); GO:0005739(C,IDA)
human	C1QBP	9305894	1	The subcellular location has been matter of debate. After being reported to be exclusively localized to mitochondria, demonstrations of promiscuous associations and locations were considered as artifa	GO:0005759(C,IDA)
human	CHMP1A	8863740	2	Was originally (PubMed:8863740) thought to be a metalloprotease (PRSM1). This was based on a wrong translation of the ORF which gave rise to a putative protein of 318 AA containing a pattern reminisce	GO:0008237(M,TAS); GO:0008270(M,TAS)
human	CPT1C	30135643	2	In contrast to its paralogs, CPT1A and CPT1B, does not have, or at very low levels, carnitine O-palmitoyltransferase activity (EC:2.3.1.21) in vivo, being unable to catalyze the transfer of the acyl g	GO:0005783(C,IDA); GO:0008474(M,IDA)
human	CSNK1D	20637175	2	Was shown to phosphorylate and activate DCK in vitro but probably not in vivo. .	GO:0106310(M,EXP); GO:0004674(M,IDA)
