scope	accession	gene	organism	caution_pmid	n_pos	positive_mf_terms
local	A0A0R4IKJ1	pcif1	Danio rerio (Zebrafish) (Bra	30467178	2	GO:0016422 mRNA (2'-O-methyladenosi(IDA); GO:1904047 S-adenosyl-L-methionine (IDA)
local	O75165	DNAJC13	Homo sapiens (Human)	24643499	3	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
local	P04637	TP53	Homo sapiens (Human)	17170702	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
local	P04637	TP53	Homo sapiens (Human)	17317671	1	GO:0005515 protein binding(IPI)
local	P04637	TP53	Homo sapiens (Human)	19011621	2	GO:0005515 protein binding(IPI); GO:0042802 identical protein bindin(IPI)
local	P04637	TP53	Homo sapiens (Human)	20959462	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
local	P04637	TP53	Homo sapiens (Human)	21597459	1	GO:0005515 protein binding(IPI)
local	P04637	TP53	Homo sapiens (Human)	22726440	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
local	P04982	rbsD	Escherichia coli (strain K12	15060078	1	GO:0062193 D-ribose pyranase activi(IDA)
local	P09936	UCHL1	Homo sapiens (Human)	12408865	1	GO:0004843 cysteine-type deubiquiti(EXP)
local	P09936	UCHL1	Homo sapiens (Human)	23359680	1	GO:0004843 cysteine-type deubiquiti(EXP)
local	P09936	UCHL1	Homo sapiens (Human)	9774100	1	GO:0004843 cysteine-type deubiquiti(EXP)
local	P0AD68	ftsI	Escherichia coli (strain K12	7030331	2	GO:0008955 peptidoglycan glycosyltr(IDA); GO:0009002 serine-type D-Ala-D-Ala (EXP)
local	P0DXF1	uvsW	Enterobacteria phage T4 (Bac	17092935	1	GO:0016887 ATP hydrolysis activity(EXP)
local	P15336	ATF2	Homo sapiens (Human)	10821277	2	GO:0010485 histone H4 acetyltransfe(IDA); GO:0044013 histone H2B acetyltransf(IDA)
local	P21128	ENDOU	Homo sapiens (Human)	2350438	1	GO:0008236 serine-type peptidase ac(IDA)
local	P22392	NME2	Homo sapiens (Human)	11121025	1	GO:0003677 DNA binding(IDA)
local	P32657	CHD1	Saccharomyces cerevisiae (st	15647753	1	GO:0140002 histone H3K4me3 reader a(IDA)
local	P41214	EIF2D	Homo sapiens (Human)	20566627	1	GO:0003743 translation initiation f(IDA)
local	P48730	CSNK1D	Homo sapiens (Human)	20637175	2	GO:0004674 protein serine/threonine(IDA); GO:0106310 protein serine kinase ac(EXP)
local	P54811	cdc-48.1	Caenorhabditis elegans	18854144	1	GO:0016887 ATP hydrolysis activity(IDA)
local	P55072	VCP	Homo sapiens (Human)	22120668	1	GO:0005515 protein binding(IPI)
local	P55084	HADHB	Homo sapiens (Human)	1550553	3	GO:0003857 (3S)-3-hydroxyacyl-CoA d(TAS); GO:0004300 enoyl-CoA hydratase acti(TAS); GO:0050633 acetyl-CoA C-myristoyltr(EXP)
local	P55084	HADHB	Homo sapiens (Human)	8163672	2	GO:0003988 acetyl-CoA C-acyltransfe(EXP); GO:0050633 acetyl-CoA C-myristoyltr(EXP)
local	Q08649	ESA1	Saccharomyces cerevisiae (st	12368900	1	GO:0004402 histone acetyltransferas(EXP)
local	Q08649	ESA1	Saccharomyces cerevisiae (st	17223684	1	GO:0004402 histone acetyltransferas(EXP)
local	Q6NVU6	UFSP1	Homo sapiens (Human)	35525273	2	GO:0008234 cysteine-type peptidase (IDA); GO:0071567 deUFMylase activity(IDA)
local	Q6NVU6	UFSP1	Homo sapiens (Human)	35926457	2	GO:0008234 cysteine-type peptidase (IDA); GO:0071567 deUFMylase activity(IDA)
local	Q8IVS8	GLYCTK	Homo sapiens (Human)	16753811	1	GO:0008887 glycerate kinase activit(IDA)
local	Q8TCG5	CPT1C	Homo sapiens (Human)	30135643	1	GO:0008474 palmitoyl-(protein) hydr(IDA)
local	Q92968	PEX13	Homo sapiens (Human)	8858165	2	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
local	Q96RQ9	IL4I1	Homo sapiens (Human)	32818467	2	GO:0001716 L-amino-acid oxidase act(IDA); GO:0106329 L-phenylalaine oxidase a(EXP)
local	Q96RQ9	IL4I1	Homo sapiens (Human)	32866000	1	GO:0001716 L-amino-acid oxidase act(IDA)
local	Q99497	PARK7	Homo sapiens (Human)	25416785	2	GO:0036524 protein deglycase activi(IDA); GO:0036524 protein deglycase activi(IDA)
local	Q99497	PARK7	Homo sapiens (Human)	28596309	1	GO:0036524 protein deglycase activi(IDA)
local	Q99KV1	Dnajb11	Mus musculus (Mouse)	11584023	3	GO:0005515 protein binding(IPI); GO:0044183 protein folding chaperon(IDA); GO:0140309 unfolded protein holdase(IDA)
local	Q9BRQ8	AIFM2	Homo sapiens (Human)	15958387	3	GO:0003677 DNA binding(IDA); GO:0004174 electron-transferring-fl(IDA); GO:0050660 flavin adenine dinucleot(IDA)
local	Q9BRQ8	AIFM2	Homo sapiens (Human)	31634899	1	GO:0016655 oxidoreductase activity,(IDA)
local	Q9BRQ8	AIFM2	Homo sapiens (Human)	31634900	1	GO:0016655 oxidoreductase activity,(IDA)
local	Q9BV94	EDEM2	Homo sapiens (Human)	25092655	1	GO:0004571 mannosyl-oligosaccharide(IMP)
local	Q9H1K1	ISCU	Homo sapiens (Human)	16527810	2	GO:0005515 protein binding(IPI); GO:0060090 molecular adaptor activi(IDA)
local	Q9H1K1	ISCU	Homo sapiens (Human)	23940031	3	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
local	Q9H1K1	ISCU	Homo sapiens (Human)	34824239	1	GO:0042803 protein homodimerization(IDA)
local	Q9H845	ACAD9	Homo sapiens (Human)	16020546	2	GO:0004466 long-chain fatty acyl-Co(IDA); GO:0070991 medium-chain fatty acyl-(IDA)
local	Q9HD20	ATP13A1	Homo sapiens (Human)	32973005	1	GO:0140567 membrane protein disloca(IDA)
local	Q9HD42	CHMP1A	Homo sapiens (Human)	8863740	2	GO:0008237 metallopeptidase activit(TAS); GO:0008270 zinc ion binding(TAS)
local	Q9NR71	ASAH2	Homo sapiens (Human)	10781606	1	GO:0017040 N-acylsphingosine amidoh(IMP)
local	Q9UBN7	HDAC6	Homo sapiens (Human)	10220385	1	GO:0004407 histone deacetylase acti(IDA)
local	Q9UBN7	HDAC6	Homo sapiens (Human)	12024216	1	GO:0042903 tubulin deacetylase acti(EXP)
local	Q9UBN7	HDAC6	Homo sapiens (Human)	18606987	1	GO:0036479 peroxidase inhibitor act(IMP)
local	Q9UBN7	HDAC6	Homo sapiens (Human)	20308065	2	GO:0005515 protein binding(IPI); GO:0042903 tubulin deacetylase acti(IDA)
local	Q9UBN7	HDAC6	Homo sapiens (Human)	24882211	2	GO:0033558 protein lysine deacetyla(IDA); GO:0061630 ubiquitin protein ligase(IDA)
local	Q9UBN7	HDAC6	Homo sapiens (Human)	30538141	1	GO:0033558 protein lysine deacetyla(EXP)
local	Q9UBN7	HDAC6	Homo sapiens (Human)	31857589	1	GO:0033558 protein lysine deacetyla(IDA)
local	Q9UPY5	SLC7A11	Homo sapiens (Human)	15151999	1	GO:0015327 cystine:glutamate antipo(IDA)
local	Q9Y4X5	ARIH1	Homo sapiens (Human)	15236971	3	GO:0004842 ubiquitin-protein transf(IDA); GO:0008270 zinc ion binding(IDA); GO:0061630 ubiquitin protein ligase(EXP)
local	Q9Y4X5	ARIH1	Homo sapiens (Human)	23707686	4	GO:0004842 ubiquitin-protein transf(IDA); GO:0005515 protein binding(IPI); GO:0008270 zinc ion binding(IDA); GO:0031624 ubiquitin conjugating en(IPI)
net_new	A0A088MF62	MOMT4	Solanum lycopersicum (Tomato	25128240	1	GO:0033799 myricetin 3'-O-methyltra(IDA)
net_new	A0A0H3MBJ2	pkn1	Chlamydia trachomatis serova	14500499	1	GO:0106310 protein serine kinase ac(EXP)
net_new	A0A0N9NCU6	yopJ	Yersinia pseudotuberculosis	16728640	2	GO:0016413 O-acetyltransferase acti(IDA); GO:0090729 toxin activity(IDA)
net_new	A0A0U1RRE5	NBDY	Homo sapiens (Human)	27918561	3	GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI); GO:0005515 protein binding(IPI)
net_new	A0A0W0FPC8	Chi	Moniliophthora roreri (Frost	30220500	2	GO:0004568 chitinase activity(IDA); GO:0008061 chitin binding(IDA)
net_new	A0A178U9Y5	TPS20	Arabidopsis thaliana (Mouse-	27933080	1	GO:0010333 terpene synthase activit(IDA)
net_new	A0A1S4HE51	SPCLIP1	Anopheles gambiae (African m	24039584	1	GO:0005515 protein binding(IPI)
net_new	A0A291LSD6	TPS21	Zea mays (Maize)	28931629	1	GO:0010333 terpene synthase activit(IDA)
net_new	A0A3B3IS91	POLGARF	Homo sapiens (Human)	32958672	1	GO:0005515 protein binding(IPI)
net_new	A0A494BA31	Slc4a9	Mus musculus (Mouse)	23610411	1	GO:0008510 sodium:bicarbonate sympo(IMP)
net_new	A0A509AQ20	UIS2	Plasmodium berghei (strain A	26735921	1	GO:0004722 protein serine/threonine(IDA)
net_new	A0A663DJA2	ORF10	Severe acute respiratory syn	33827988	1	GO:0005515 protein binding(IPI)
net_new	A0A7J6K629	?	Toxoplasma gondii	38865262	1	GO:0005515 protein binding(IPI)
net_new	A0A7J6KE60	?	Toxoplasma gondii	38865262	1	GO:0005515 protein binding(IPI)
net_new	A0A8M2	lsm14a-a	Xenopus laevis (African claw	17074753	2	GO:0003723 RNA binding(IDA); GO:0017151 DEAD/H-box RNA helicase (IPI)
net_new	A0R756	lerI	Mycolicibacterium smegmatis 	26560079	1	GO:0016857 racemase and epimerase a(IDA)
net_new	A0R758	lerK	Mycolicibacterium smegmatis 	26560079	2	GO:0019200 carbohydrate kinase acti(IDA); GO:0030246 carbohydrate binding(IDA)
net_new	A1A6H3	RBSK	Arabidopsis thaliana (Mouse-	27601466	1	GO:0004747 ribokinase activity(IDA)
net_new	A2A259	Pkd2l1	Mus musculus (Mouse)	16891422	7	GO:0005261 monoatomic cation channe(IDA); GO:0008324 monoatomic cation transm(IDA); GO:0033040 sour taste receptor acti(IDA); GO:0005515 protein binding(IPI); GO:0042802 identical protein bindin(IPI); GO:0044325 transmembrane transporte(IPI)
net_new	A2ALV5	Shoc1	Mus musculus (Mouse)	29742103	1	GO:0005515 protein binding(IPI)
net_new	A2AUU0	Mettl8	Mus musculus (Mouse)	15992539	1	GO:0004402 histone acetyltransferas(IDA)
net_new	A2VCW5	Slc38a5	Rattus norvegicus (Rat)	11698233	7	GO:0015171 amino acid transmembrane(IDA); GO:0015175 neutral L-amino acid tra(IDA); GO:0015187 glycine transmembrane tr(IDA); GO:0140830 L-glutamine, sodium:prot(EXP); GO:0140831 L-asparagine, sodium:pro(EXP); GO:0140832 L-histidine, sodium:prot(EXP)
net_new	A2VCW5	Slc38a5	Rattus norvegicus (Rat)	22821889	3	GO:0140830 L-glutamine, sodium:prot(IDA); GO:0140831 L-asparagine, sodium:pro(EXP); GO:0140893 neutral amino acid, sodi(IDA)
net_new	A4Q9E5	Ttll3	Mus musculus (Mouse)	33414192	1	GO:0070736 protein-glycine ligase a(IMP)
net_new	A4Q9F0	Ttll7	Mus musculus (Mouse)	17499049	3	GO:0070740 tubulin-glutamic acid li(IDA); GO:0106437 protein-glutamic acid li(EXP); GO:0106438 protein-glutamic acid li(EXP)
net_new	A4Q9F0	Ttll7	Mus musculus (Mouse)	19152315	3	GO:0070740 tubulin-glutamic acid li(IDA); GO:0106437 protein-glutamic acid li(EXP); GO:0106438 protein-glutamic acid li(EXP)
net_new	A4Q9F1	Ttll8	Mus musculus (Mouse)	33414192	1	GO:0070736 protein-glycine ligase a(IMP)
net_new	A5HEG9	GRF10	Zea mays (Maize)	24854713	1	GO:0005515 protein binding(IPI)
net_new	A5JYX8	nra-2	Caenorhabditis elegans	19609303	1	GO:0005515 protein binding(IPI)
net_new	A6NED2	RCCD1	Homo sapiens (Human)	24981860	1	GO:0005515 protein binding(IPI)
net_new	A7MAQ2	dioA3	Dioscorea japonica (Japanese	25747844	2	GO:0004089 carbonate dehydratase ac(IDA); GO:0031418 L-ascorbic acid binding(IDA)
net_new	A7T1N0	TRPM2	Nematostella vectensis (Star	27333281	2	GO:0047631 ADP-ribose diphosphatase(IMP); GO:0099604 ligand-gated calcium cha(IDA)
net_new	A8HN58	IFT27	Chlamydomonas reinhardtii (C	21505417	1	GO:0005515 protein binding(IPI)
net_new	A8JQX3	cu	Drosophila melanogaster (Fru	31147539	2	GO:0019178 NADP phosphatase activit(IDA); GO:0102757 NADPH phosphatase activi(IDA)
