GO_ID,Aspect,Term,Current_Evidence,Seed_SubClaim,Recommended_Action,Rationale
GO:0017136,MF,"histone deacetylase activity, NAD-dependent",IDA:SGD,NAD-dependent deacetylation,RETAIN,Direct experimental support; primary MF
GO:0032041,MF,"histone H3K14 deacetylase activity, NAD-dependent",IBA,H3K14 site-specificity,REMOVE_OR_GENERALIZE,IBA paralog transfer from Sir2; no native primary evidence; generalize to GO:0017136
GO:0046969,MF,"histone H3K9 deacetylase activity, NAD-dependent",IBA,H3K9 site-specificity,REMOVE_OR_GENERALIZE,IBA paralog transfer; no native primary evidence
GO:0046970,MF,"histone H4K16 deacetylase activity, NAD-dependent",IBA,(paralog Sir2 site),REMOVE_OR_GENERALIZE,IBA paralog transfer; H4K16 is a Sir2 mark
GO:0003714,MF,transcription corepressor activity,IBA,corepressor,RETAIN,Well-supported by Sum1-Rfm1-Hst1 mechanism
GO:0000781,CC,"chromosome, telomeric region",IEA,Telomere localization,REMOVE_OR_NONCORE,IEA only; native Hst1 binds Sum1 promoters not telomeres
GO:0031509,BP,subtelomeric heterochromatin formation,IBA,Subtelomeric heterochromatin,REMOVE_OR_NONCORE,IBA paralog transfer; hst1D no regional-silencing phenotype (PMID:8810037)
GO:0030466,BP,silent mating-type cassette heterochromatin formation,IMP:SGD,HM-locus silencing,RETAIN_WITH_QUALIFIER,Valid only in engineered SUM1-1 gain-of-function context (PMID:11316790/11313477)
GO:0006974,BP,DNA damage response,IBA,DNA damage response,NONCORE,IBA; genotoxin phenotype dominated by Hst3/Hst4 (H3K56ac)
GO:0045950,BP,negative regulation of mitotic recombination,IMP:SGD,Negative reg. recombination,VERIFY_THEN_NONCORE,Founding hst1D study saw no rDNA-recombination phenotype (PMID:8810037); verify source locus/context
GO:0045835,BP,negative regulation of meiotic nuclear division,IDA,Meiotic gene repression,RETAIN,Direct; consistent with middle-sporulation-gene repression
GO:0000118,CC,histone deacetylase complex (Sum1-Rfm1-Hst1),IPI,complex membership,RETAIN,Interaction-supported native complex
GO:0005634,CC,nucleus,IDA,localization,RETAIN,Direct
