citation,evidence_type,stance,claim_tested,key_finding,context,confidence_limitations
PMID:41529195,localization / mutant,refutes_nuclear;supports_perinuclear,PRG-1 subcellular localization,"Native PRG-1 localizes to perinuclear germ granules; piRNA-unloaded PRG-1 is destabilized (ubiquitin-proteasome/EEL-1) and mislocalized",C. elegans germline,High for perinuclear localization; not a nuclear-vs-cytoplasm quantitation
PMID:33658512,mutant phenotype / localization,supports_perinuclear,PRG-1/Piwi structure-function locus,"Piwi mutant sterility correlates with altered PERINUCLEAR germ granules, independent of transposon derepression",C. elegans germline,High; focuses on granule integrity not intranuclear pool
PMID:18501605,localization (IDA),supports_perinuclear,PRG-1 CC term,"Experimental basis for GO:0043186 P granule (IDA) annotation of PRG-1",C. elegans germline,High; foundational P-granule localization
PMID:18571452,localization+phenotype (IDA/IMP/IPI),supports_perinuclear;supports_21U,"PRG-1 P granule, 21U-RNA binding & metabolism","Basis for P granule (IDA), 21U-RNA binding (IPI), 21U-RNA metabolic process & gametogenesis (IMP)",C. elegans germline,High; foundational Piwi/21U paper (Das et al.)
PMID:26919432,direct assay / mutant,qualifies_processing,PRG-1 role in piRNA maturation,"parn-1 mutants accumulate untrimmed pre-piRNAs that remain PRG-1-associated but poorly recruit downstream factors; PARN-1 sets 21U length",C. elegans germline,High; PRG-1 scaffolds precursor, PARN-1 catalyzes trimming
PMID:34469728,direct assay / mutant,qualifies_processing,piRNA 3' maturation enzymes,"PARN-1 trims and HENN-1 2'-O-methylates piRNA 3' ends; double loss depletes piRNAs and desilences targets",C. elegans germline,High; PRG-1 non-catalytic in trimming/methylation
PMID:38244197,direct assay / review-support,qualifies_processing,Conservation & purpose of trimming,"PARN-1 (and orthologs) mediate piRNA 3' trimming in worms/insects/mammals; trimming protects piRNAs",C. elegans model,High; assigns catalysis to PARN-1
PMID:31147388,complex / mutant,competing_biogenesis,5' piRNA precursor processing,"PETISCO complex required for 21U-RNA biogenesis & embryonic viability (5'-end processing, upstream of PRG-1 loading)",C. elegans germline,High; shows a PRG-1-independent processing arm
PMID:34413138,structural,competing_biogenesis,PETISCO assembly,"Structural basis of PETISCO complex assembly in piRNA biogenesis",C. elegans,Medium-High; upstream 5' processing machinery
PMID:41414669,mutant / structure-function,supports_processing_scope,PRG-1 N-terminal RG motifs,"RG motifs needed for downstream WAGO siRNA production & fertility but NOT for PRG-1 expression, localization, or piRNA biogenesis/loading",C. elegans germline,High; separates loading from downstream silencing
PMID:37154856,IP-seq / direct assay,supports_binding,PRG-1 small-RNA partner,"Among 20 Argonautes, only PRG-1 binds piRNAs (21U-RNAs)",C. elegans germline,High; specificity of PRG-1 for piRNAs
GO_REF:0000033(IBA),computational/phylogenetic,over-annotation_source,Nucleus & piRNA processing terms,"GO:0005634 nucleus and GO:0034587 piRNA processing for PRG-1 are IBA/IEA only (no worm experimental support)",PIWI-clade phylogeny,Weak for direct localization; likely clade carry-over
UniProtKB:P90786,database/computational,refutes_nuclear,"PRG-1 curated subcellular location & domain architecture","UniProt lists Cytoplasm ONLY (no Nucleus keyword/location); domains PAZ(220-331)+Piwi(499-810), N-term disordered(1-24); 824 aa; Hydrolase keyword","UniProtKB record (2026-09)",Location evidence is ECO:0000256 (automatic); independent of GO set
