GO,name,aspect,evidence,eco,reference,assigned_by
GO:0005634,nucleus,cellular_component,IBA,ECO:0000318,GO_REF:0000033,GO_Central
GO:0005737,cytoplasm,cellular_component,IEA,ECO:0000501,GO_REF:0000120,UniProt
GO:0043186,P granule,cellular_component,IBA,ECO:0000318,GO_REF:0000033,GO_Central
GO:0043186,P granule,cellular_component,IDA,ECO:0000314,PMID:18501605,WB
GO:0043186,P granule,cellular_component,IDA,ECO:0000314,PMID:18571452,WB
GO:0034587,piRNA processing,biological_process,IBA,ECO:0000318,GO_REF:0000033,GO_Central
GO:0034587,piRNA processing,biological_process,IEA,ECO:0000256,GO_REF:0000117,UniProt
GO:0034585,21U-RNA metabolic process,biological_process,IMP,ECO:0000315,PMID:18571452,WB
GO:0031047,regulatory ncRNA-mediated gene silencing,biological_process,IBA,ECO:0000318,GO_REF:0000033,GO_Central
GO:0010526,transposable element silencing,biological_process,IEA,ECO:0000256,GO_REF:0000117,UniProt
GO:0031507,heterochromatin formation,biological_process,IEA,ECO:0000256,GO_REF:0000117,UniProt
GO:0140991,piRNA-mediated gene silencing by mRNA destabilization,biological_process,IEA,ECO:0000256,GO_REF:0000117,UniProt
GO:0007276,gamete generation,biological_process,IMP,ECO:0000315,PMID:18571452,WB
GO:0007283,spermatogenesis,biological_process,IMP,ECO:0000315,PMID:9851978,WB
GO:0042078,germ-line stem cell division,biological_process,IMP,ECO:0000315,PMID:18571452,WB
GO:0034583,21U-RNA binding,molecular_function,IPI,ECO:0000353,PMID:18571452,WB
GO:0034584,piRNA binding,molecular_function,IBA,ECO:0000318,GO_REF:0000033,GO_Central
GO:0004521,RNA endonuclease activity,molecular_function,IBA,ECO:0000318,GO_REF:0000033,GO_Central
GO:0003723,RNA binding,molecular_function,IEA,ECO:0000256,GO_REF:0000002,InterPro
