rank	protein	percent_identity_to_focal
1	MCH3_ESBP6_YEAST	30.1
2	SLC16A12_MCT12_HUMAN	22.7
3	SLC16A10_MCT10_TAT1_HUMAN	21.5
4	SLC16A2_MCT8_HUMAN	20.5
5	MCH4_YEAST	20.2
6	MCH5_YEAST	19.6
7	SLC16A11_MCT11_HUMAN	19.5
8	SLC16A8_MCT3_HUMAN	19.3
9	SLC16A3_MCT4_HUMAN	19.0
10	SLC16A13_MCT13_HUMAN	19.0
11	SLC16A9_MCT9_HUMAN	18.2
12	SLC16A6_MCT7_HUMAN	18.0
13	SLC16A14_MCT14_HUMAN	17.6
14	SLC16A4_MCT5_HUMAN	17.3
15	SLC16A1_MCT1_HUMAN	17.0
16	SLC16A7_MCT2_HUMAN	16.9
17	SLC16A5_MCT6_HUMAN	16.5
18	JEN1_YEAST	15.1
19	MCH1_YEAST	12.1
