protein	MCH2_YEAST	MCH1_YEAST	MCH3_ESBP6_YEAST	MCH4_YEAST	MCH5_YEAST	JEN1_YEAST	SLC16A1_MCT1_HUMAN	SLC16A7_MCT2_HUMAN	SLC16A3_MCT4_HUMAN	SLC16A4_MCT5_HUMAN	SLC16A5_MCT6_HUMAN	SLC16A6_MCT7_HUMAN	SLC16A8_MCT3_HUMAN	SLC16A2_MCT8_HUMAN	SLC16A9_MCT9_HUMAN	SLC16A10_MCT10_TAT1_HUMAN	SLC16A11_MCT11_HUMAN	SLC16A12_MCT12_HUMAN	SLC16A13_MCT13_HUMAN	SLC16A14_MCT14_HUMAN
MCH2_YEAST	100.0	12.1	30.1	20.2	19.6	15.1	17.0	16.9	19.0	17.3	16.5	18.0	19.3	20.5	18.2	21.5	19.5	22.7	19.0	17.6
MCH1_YEAST	12.1	100.0	15.6	14.4	15.2	11.5	15.2	16.0	16.2	17.9	15.2	15.8	14.8	15.8	15.3	14.9	14.9	16.7	16.3	15.0
MCH3_ESBP6_YEAST	30.1	15.6	100.0	21.6	24.3	15.5	21.4	18.2	20.2	18.8	17.2	20.8	20.0	18.3	19.6	18.8	21.0	21.0	19.4	21.1
MCH4_YEAST	20.2	14.4	21.6	100.0	44.4	14.5	19.5	18.7	21.6	15.9	18.5	19.3	17.4	19.0	17.3	19.9	20.5	19.6	18.0	22.0
MCH5_YEAST	19.6	15.2	24.3	44.4	100.0	16.9	19.3	18.9	19.8	16.4	17.6	19.2	17.9	17.9	20.0	18.2	20.0	20.0	18.1	21.6
JEN1_YEAST	15.1	11.5	15.5	14.5	16.9	100.0	14.8	15.6	12.5	12.8	11.7	13.3	13.5	12.9	13.5	13.0	16.3	14.3	13.6	12.9
SLC16A1_MCT1_HUMAN	17.0	15.2	21.4	19.5	19.3	14.8	100.0	61.2	46.7	23.6	29.0	28.2	40.4	24.4	24.6	25.2	29.2	30.5	31.6	25.9
SLC16A7_MCT2_HUMAN	16.9	16.0	18.2	18.7	18.9	15.6	61.2	100.0	48.0	26.6	31.9	33.2	43.7	24.1	27.1	25.2	34.2	31.5	34.2	29.4
SLC16A3_MCT4_HUMAN	19.0	16.2	20.2	21.6	19.8	12.5	46.7	48.0	100.0	25.7	38.4	31.4	60.2	27.4	29.6	27.3	34.7	35.1	32.3	28.7
SLC16A4_MCT5_HUMAN	17.3	17.9	18.8	15.9	16.4	12.8	23.6	26.6	25.7	100.0	25.9	27.6	24.9	22.9	27.1	25.3	28.2	32.9	30.9	26.8
SLC16A5_MCT6_HUMAN	16.5	15.2	17.2	18.5	17.6	11.7	29.0	31.9	38.4	25.9	100.0	29.1	38.9	25.1	25.0	23.5	31.5	29.2	28.8	25.7
SLC16A6_MCT7_HUMAN	18.0	15.8	20.8	19.3	19.2	13.3	28.2	33.2	31.4	27.6	29.1	100.0	29.5	21.1	26.4	21.0	26.3	27.9	35.1	23.9
SLC16A8_MCT3_HUMAN	19.3	14.8	20.0	17.4	17.9	13.5	40.4	43.7	60.2	24.9	38.9	29.5	100.0	27.5	29.1	27.6	37.4	34.8	36.2	26.8
SLC16A2_MCT8_HUMAN	20.5	15.8	18.3	19.0	17.9	12.9	24.4	24.1	27.4	22.9	25.1	21.1	27.5	100.0	27.2	52.7	27.1	23.8	25.2	24.2
SLC16A9_MCT9_HUMAN	18.2	15.3	19.6	17.3	20.0	13.5	24.6	27.1	29.6	27.1	25.0	26.4	29.1	27.2	100.0	28.5	28.3	27.5	30.1	33.0
SLC16A10_MCT10_TAT1_HUMAN	21.5	14.9	18.8	19.9	18.2	13.0	25.2	25.2	27.3	25.3	23.5	21.0	27.6	52.7	28.5	100.0	28.0	24.6	25.5	27.5
SLC16A11_MCT11_HUMAN	19.5	14.9	21.0	20.5	20.0	16.3	29.2	34.2	34.7	28.2	31.5	26.3	37.4	27.1	28.3	28.0	100.0	32.1	47.9	27.5
SLC16A12_MCT12_HUMAN	22.7	16.7	21.0	19.6	20.0	14.3	30.5	31.5	35.1	32.9	29.2	27.9	34.8	23.8	27.5	24.6	32.1	100.0	33.5	31.1
SLC16A13_MCT13_HUMAN	19.0	16.3	19.4	18.0	18.1	13.6	31.6	34.2	32.3	30.9	28.8	35.1	36.2	25.2	30.1	25.5	47.9	33.5	100.0	28.1
SLC16A14_MCT14_HUMAN	17.6	15.0	21.1	22.0	21.6	12.9	25.9	29.4	28.7	26.8	25.7	23.9	26.8	24.2	33.0	27.5	27.5	31.1	28.1	100.0
