goId,goName,aspect,live_status,rationale,recommended_lead
GO:0042026,protein refolding,BP,live positive IBA (withFrom PTN000452648 + canonical Hsp70 refoldases),No experimental support; Ssz1 is not an ATPase (PMID17901048); substrate binding is transient low-affinity nascent-chain relay only (PMID32198371),REMOVE or apply IRD/NOT at PTN001065099 (confirmed ancestral to Ssz1 in PANTHER v19); currently 0 NOT annotations deployed anywhere
GO:0005634,nucleus,CC,live IBA (withFrom PTN002500132; canonical Hsp70 seeds),Paralog carry-over; no Ssz1-specific nuclear localization evidence,REMOVE or mark non-core
GO:0005886,plasma membrane,CC,ABSENT from live GO_Central,Already removed; survives only in lagging UniProt cross-reference snapshot,NO ACTION (note snapshot lag)
GO:0016887,ATP hydrolysis activity,MF,live IBA + IEA (withFrom PTN000452648),Directly contradicted: Ssz1 is not an ATPase in vitro and ATP binding dispensable in vivo (PMID17901048),Candidate NOT or removal
GO:0005524,ATP binding,MF,IEA (InterPro),Structurally plausible but functionally dispensable in vivo (PMID17901048),Retain with caution (non-core)
GO:0051083,'de novo' cotranslational protein folding,BP,IDA + IMP (PMID11274393),Authentic RAC co-translational role,RETAIN (core BP)
GO:0005737,cytoplasm,CC,IDA (PMID10792726) + IEA + IBA,Only experimentally supported location,RETAIN (core CC)
GO:0031072,heat shock protein binding,MF,IBA + IPI (ZUO1 S000003517),Supported by RAC partnership,Retain (informative MF)
GO:0044183,protein folding chaperone,MF,IBA,Consistent with RAC co-chaperone role,Retain (informative MF; better than bare 'protein binding')
# PROVENANCE: Synthesis of QuickGO/EBI live annotations for P38788 (Iteration 3) + PANTHER PTHR19375 v19 ancestral-path trace (Iteration 1) + primary literature. Recommendations are curator leads requiring verification.
