GO_ID,term,evidence
GO:0005737,C:cytoplasm,HDA:SGD
GO:0005739,C:mitochondrion,HDA:SGD
GO:0042405,C:nuclear inclusion body,IDA:SGD
GO:0034399,C:nuclear periphery,IDA:SGD
GO:0005634,C:nucleus,HDA:SGD
GO:0001671,F:ATPase activator activity,IDA:SGD
GO:0030544,F:Hsp70 protein binding,IEA:InterPro
GO:0051082,F:unfolded protein binding,IMP:SGD
GO:0008270,F:zinc ion binding,IEA:UniProtKB-KW
GO:0034605,P:cellular response to heat,IBA:GO_Central
GO:0042026,P:protein refolding,IBA:GO_Central
GO:0016925,P:protein sumoylation,IGI:SGD
GO:0043335,P:protein unfolding,IMP:SGD
