gene,has_report,has_review,gates_passed,cites_report,n_affinage,n_review,n_goa,n_novel,n_hits,n_review_hits,n_unused,naive_recall,novel_recall,used_fraction
A1BG,True,True,absent,True,6,12,7,5,3,3,3,0.25,0.6,0.5
A2ML1,True,True,absent,True,8,4,2,2,2,2,6,0.5,1.0,0.25
AADACL2,True,True,absent,True,0,6,0,6,0,0,0,0.0,0.0,
AADACL3,True,True,absent,True,0,3,0,3,0,0,0,0.0,0.0,
AADACL4,True,True,absent,True,0,4,0,4,0,0,0,0.0,0.0,
AAGAB,True,True,absent,True,10,14,7,7,7,7,3,0.5,1.0,0.7
AAMDC,True,True,absent,True,2,7,3,4,2,2,0,0.2857,0.5,1.0
AAMP,True,True,absent,True,10,13,7,6,6,6,4,0.4615,1.0,0.6
AAR2,True,True,absent,True,10,6,5,1,1,2,8,0.3333,1.0,0.2
AARD,True,True,absent,True,2,3,1,2,2,2,0,0.6667,1.0,1.0
AASDH,True,True,absent,True,1,1,0,1,1,1,0,1.0,1.0,1.0
ABCB10,True,True,absent,True,22,13,13,0,0,5,17,0.3846,,0.2273
ABHD14A,True,True,absent,True,3,2,0,2,2,2,1,1.0,1.0,0.6667
ABHD18,True,True,absent,True,2,3,1,2,2,2,0,0.6667,1.0,1.0
ABHD8,True,True,absent,True,2,4,3,1,1,2,0,0.5,1.0,1.0
ABI3BP,True,True,absent,True,12,19,5,14,11,11,1,0.5789,0.7857,0.9167
ABR,True,True,absent,True,15,18,4,14,12,14,1,0.7778,0.8571,0.9333
ABRA,True,True,absent,True,12,11,1,10,9,9,3,0.8182,0.9,0.75
ABRACL,True,True,absent,True,8,6,0,6,4,4,4,0.6667,0.6667,0.5
ACAN,True,True,absent,False,14,9,6,3,1,1,13,0.1111,0.3333,0.0714
ACAP1,True,True,absent,True,10,18,5,13,8,8,2,0.4444,0.6154,0.8
ACAP2,True,True,absent,True,7,13,5,8,7,7,0,0.5385,0.875,1.0
ACAP3,True,True,absent,True,5,20,2,18,4,4,1,0.2,0.2222,0.8
ACBD3,True,True,absent,True,34,16,12,4,2,10,24,0.625,0.5,0.2941
ACP7,True,True,absent,True,0,1,0,1,0,0,0,0.0,0.0,
ACRBP,True,True,absent,True,12,9,1,8,7,7,5,0.7778,0.875,0.5833
ACRV1,True,True,absent,True,13,14,2,12,8,9,4,0.6429,0.6667,0.6923
ACTA1,True,True,True,True,11,23,14,9,2,3,8,0.1304,0.2222,0.2727
ACTA2,True,True,True,False,20,32,9,23,8,8,12,0.25,0.3478,0.4
ACTG2,True,True,True,False,13,17,3,14,5,5,8,0.2941,0.3571,0.3846
ACTL10,True,True,True,False,0,2,0,2,0,0,0,0.0,0.0,
ACTL7A,True,True,absent,False,13,17,7,10,6,9,4,0.5294,0.6,0.6923
ACTL7B,True,True,absent,True,5,9,2,7,2,3,2,0.3333,0.2857,0.6
ACTL8,True,True,absent,True,8,13,3,10,8,8,0,0.6154,0.8,1.0
ACTMAP,True,True,True,True,3,4,1,3,2,3,0,0.75,0.6667,1.0
ACTR10,True,True,absent,True,3,16,2,14,3,3,0,0.1875,0.2143,1.0
ACTR1A,True,True,absent,True,2,23,7,16,2,2,0,0.087,0.125,1.0
ACTR1B,True,True,absent,True,4,21,8,13,0,1,3,0.0476,0.0,0.25
ACTR5,True,True,absent,True,2,24,14,10,2,2,0,0.0833,0.2,1.0
ACTR8,True,True,absent,True,0,27,12,15,0,0,0,0.0,0.0,
ACTRT2,True,True,True,True,5,10,1,9,5,5,0,0.5,0.5556,1.0
ACTRT3,True,True,True,True,3,6,1,5,3,3,0,0.5,0.6,1.0
ADAMTSL1,True,True,True,True,10,11,0,11,8,8,2,0.7273,0.7273,0.8
ADAMTSL3,True,True,False,True,5,31,3,28,5,5,0,0.1613,0.1786,1.0
ADAMTSL5,True,True,False,True,7,5,3,2,2,3,4,0.6,1.0,0.4286
ADCK1,True,True,True,True,5,12,3,9,4,5,0,0.4167,0.4444,1.0
ADCK2,True,True,True,True,5,15,4,11,4,5,0,0.3333,0.3636,1.0
ADCK5,True,True,True,False,5,9,3,6,1,1,4,0.1111,0.1667,0.2
ADGB,True,True,True,False,9,12,0,12,9,9,0,0.75,0.75,1.0
ADGRA1,True,True,True,True,11,13,5,8,7,9,2,0.6923,0.875,0.8182
ADGRA2,True,True,True,True,10,23,8,15,6,10,0,0.4348,0.4,1.0
ADGRA3,True,True,True,True,12,20,3,17,9,9,3,0.45,0.5294,0.75
ADIPOQ,True,True,True,True,19,37,27,10,5,8,11,0.2162,0.5,0.4211
ADIRF,True,True,True,True,2,12,4,8,2,2,0,0.1667,0.25,1.0
ADISSP,True,True,False,False,5,7,1,6,4,5,0,0.7143,0.6667,1.0
ADNP,True,True,True,True,28,33,8,25,5,5,23,0.1515,0.2,0.1786
ADNP2,True,True,True,False,6,16,6,10,6,6,0,0.375,0.6,1.0
ADPRH,True,True,False,True,14,18,5,13,9,11,3,0.6111,0.6923,0.7857
ADPRHL1,True,True,True,True,6,10,0,10,6,6,0,0.6,0.6,1.0
ADPRS,True,True,True,False,17,29,20,9,3,10,7,0.3448,0.3333,0.5882
ADTRP,True,True,True,True,12,6,4,2,2,5,7,0.8333,1.0,0.4167
AEBP2,True,True,True,True,22,19,4,15,9,11,11,0.5789,0.6,0.5
AFF1,True,True,True,True,23,20,7,13,9,9,14,0.45,0.6923,0.3913
AFF3,True,True,True,True,15,25,3,22,14,15,0,0.6,0.6364,1.0
AFF4,True,True,True,False,26,40,8,32,19,20,6,0.5,0.5938,0.7692
AGFG1,True,True,True,True,2,20,6,14,1,2,0,0.1,0.0714,1.0
AGFG2,True,True,True,False,4,12,1,11,4,4,0,0.3333,0.3636,1.0
ATXN3,True,True,absent,False,24,23,18,5,3,3,21,0.1304,0.6,0.125
BRCA1,True,True,absent,False,22,112,105,7,4,9,13,0.0804,0.5714,0.4091
BRCA2,True,True,absent,False,27,61,58,3,3,6,21,0.0984,1.0,0.2222
BRIP1,True,True,absent,False,40,27,26,1,1,6,34,0.2222,1.0,0.15
C5orf46,True,True,True,True,3,8,4,4,3,3,0,0.375,0.75,1.0
ERCC4,True,True,absent,False,41,29,28,1,1,7,34,0.2414,1.0,0.1707
FANCA,True,True,absent,False,29,25,23,2,2,6,23,0.24,1.0,0.2069
FANCB,True,True,absent,False,8,11,4,7,2,2,6,0.1818,0.2857,0.25
FANCC,True,True,absent,False,34,16,12,4,3,4,30,0.25,0.75,0.1176
FANCD2,True,True,absent,False,60,22,16,6,6,11,49,0.5,1.0,0.1833
FANCE,True,True,absent,False,10,14,8,6,6,6,4,0.4286,1.0,0.6
FANCF,True,True,absent,False,9,10,7,3,3,4,5,0.4,1.0,0.4444
FANCG,True,True,absent,False,30,26,24,2,2,7,23,0.2692,1.0,0.2333
FANCI,True,True,absent,False,43,12,9,3,3,6,37,0.5,1.0,0.1395
FANCL,True,True,absent,False,22,14,12,2,1,4,18,0.2857,0.5,0.1818
FANCM,True,True,absent,False,41,14,11,3,3,6,35,0.4286,1.0,0.1463
MAD2L2,True,True,absent,False,47,28,26,2,2,12,35,0.4286,1.0,0.2553
PALB2,True,True,absent,False,35,26,25,1,1,6,29,0.2308,1.0,0.1714
RAD51,True,True,absent,False,45,100,98,2,1,4,41,0.04,0.5,0.0889
RAD51C,True,True,absent,False,42,30,25,5,5,13,29,0.4333,1.0,0.3095
RFWD3,True,True,absent,False,17,14,12,2,2,10,7,0.7143,1.0,0.5882
SLX4,True,True,absent,False,57,18,13,5,5,10,47,0.5556,1.0,0.1754
UBE2T,True,True,absent,False,37,9,8,1,1,6,31,0.6667,1.0,0.1622
XRCC2,True,True,absent,False,29,29,24,5,5,9,20,0.3103,1.0,0.3103
