interpro_id	n_reviewed	n_suspect	suspect_fraction	cached	action_breakdown	example_genes	go_term_labels
IPR000719	112	50	0.45	yes	ACCEPT:62, KEEP_AS_NON_CORE:18, MARK_AS_OVER_ANNOTATED:9, MODIFY:20, REMOVE:3	ARATH/BAK1; ARATH/BIK1; ARATH/BRI1; ARATH/CERK1; ARATH/CIPK24; ARATH/CLV1; ARATH/EFR; ARATH/FER	ATP binding; protein kinase activity
IPR008271	55	34	0.62	no	ACCEPT:21, KEEP_AS_NON_CORE:7, MARK_AS_OVER_ANNOTATED:9, MODIFY:17, REMOVE:1	ARATH/BAK1; ARATH/BIK1; ARATH/BRI1; ARATH/CERK1; ARATH/CIPK24; ARATH/CLV1; ARATH/FER; ARATH/FLS2	protein kinase activity
IPR001128	44	26	0.59	no	ACCEPT:18, KEEP_AS_NON_CORE:14, MODIFY:8, REMOVE:4	DANRE/cyp26a1; DANRE/cyp26b1; DANRE/cyp51; PENEN/patI; SACEN/eryCII; SACEN/eryF; SACEN/eryK; THLAR/CYP71B1	heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
IPR036396	44	26	0.59	no	ACCEPT:18, KEEP_AS_NON_CORE:14, MODIFY:8, REMOVE:4	DANRE/cyp26a1; DANRE/cyp26b1; DANRE/cyp51; PENEN/patI; SACEN/eryCII; SACEN/eryF; SACEN/eryK; THLAR/CYP71B1	heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
IPR001424	20	16	0.80	no	ACCEPT:4, KEEP_AS_NON_CORE:11, MARK_AS_OVER_ANNOTATED:5	DROME/Ccs; RAMVA/RvY_00650; RAMVA/RvY_00651; RAMVA/RvY_03754; RAMVA/RvY_03757; RAMVA/RvY_09480; RAMVA/RvY_10893; RAMVA/RvY_13070	metal ion binding; superoxide metabolic process
IPR036423	20	16	0.80	no	ACCEPT:4, KEEP_AS_NON_CORE:11, MARK_AS_OVER_ANNOTATED:5	DROME/Ccs; RAMVA/RvY_00650; RAMVA/RvY_00651; RAMVA/RvY_03754; RAMVA/RvY_03757; RAMVA/RvY_09480; RAMVA/RvY_10893; RAMVA/RvY_13070	metal ion binding; superoxide metabolic process
IPR001046	27	15	0.56	no	ACCEPT:12, MARK_AS_OVER_ANNOTATED:4, MODIFY:9, REMOVE:2	ARATH/EIN2; POPTR/EIN2.1; POPTR/EIN2.2; POPTR/NRAMP1; POPTR/NRAMP2; POPTR/NRAMP3.1; POPTR/NRAMP3.2; POPTR/NRAMP6.1	membrane; metal ion transmembrane transporter activity; metal ion transport
IPR002401	24	14	0.58	no	ACCEPT:10, KEEP_AS_NON_CORE:10, MODIFY:4	DANRE/cyp26a1; PENEN/patI; THLAR/CYP71B1; mouse/Cyp1a1; rat/Cyp2a1; rat/Cyp2d10; rat/Cyp4b1	heme binding; iron ion binding; monooxygenase activity; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
IPR012724	24	13	0.54	no	ACCEPT:11, MARK_AS_OVER_ANNOTATED:2, MODIFY:6, REMOVE:5	ECOLI/DnaJ; PSEPK/dnaJ; human/DNAJA2; human/DNAJA4; mouse/Dnaja3; yeast/MDJ1; yeast/YDJ1	ATP binding; protein folding; response to heat; unfolded protein binding
IPR007627	21	13	0.62	no	ACCEPT:8, KEEP_AS_NON_CORE:2, MARK_AS_OVER_ANNOTATED:2, MODIFY:8, REMOVE:1	BACSU/sigE; BACSU/sigF; BACSU/sigG; BACSU/sigK; DESVH/Q726C4; DESVH/Q72B50; DESVH/Q72BQ0; METEA/mluI	DNA-binding transcription factor activity; DNA-templated transcription initiation; regulation of DNA-templated transcription
IPR013325	21	13	0.62	no	ACCEPT:8, KEEP_AS_NON_CORE:2, MARK_AS_OVER_ANNOTATED:2, MODIFY:8, REMOVE:1	BACSU/sigE; BACSU/sigF; BACSU/sigG; BACSU/sigK; DESVH/Q726C4; DESVH/Q72B50; DESVH/Q72BQ0; METEA/mluI	DNA-binding transcription factor activity; DNA-templated transcription initiation; regulation of DNA-templated transcription
IPR014284	21	13	0.62	no	ACCEPT:8, KEEP_AS_NON_CORE:2, MARK_AS_OVER_ANNOTATED:2, MODIFY:8, REMOVE:1	BACSU/sigE; BACSU/sigF; BACSU/sigG; BACSU/sigK; DESVH/Q726C4; DESVH/Q72B50; DESVH/Q72BQ0; METEA/mluI	DNA-binding transcription factor activity; DNA-templated transcription initiation; regulation of DNA-templated transcription
IPR017972	20	13	0.65	no	ACCEPT:7, KEEP_AS_NON_CORE:7, MODIFY:6	DANRE/cyp26a1; DANRE/cyp26b1; DANRE/cyp51; SACEN/eryF; SACEN/eryK; THLAR/CYP71B1; mouse/Cyp1a1; rat/Cyp2a1	iron ion binding; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen
IPR001245	17	13	0.76	no	ACCEPT:4, KEEP_AS_NON_CORE:1, MARK_AS_OVER_ANNOTATED:3, MODIFY:6, REMOVE:3	ARATH/BAK1; ARATH/BIK1; ARATH/CERK1; ARATH/CLV1; ARATH/FER; MEDTR/NFP; human/EGFR; human/FGFR2	protein kinase activity
IPR002078	15	13	0.87	no	ACCEPT:2, KEEP_AS_NON_CORE:3, MARK_AS_OVER_ANNOTATED:1, MODIFY:8, REMOVE:1	AZOVI/nifA; CUPNH/norR1; CUPNH/norR2; PSEPK/cbrB; PSEPK/clpB; PSEPK/fleQ; PSEPK/ntrC; PSEPK/xylR	ATP binding; regulation of DNA-templated transcription
IPR007197	14	13	0.93	no	ACCEPT:1, KEEP_AS_NON_CORE:2, MARK_AS_OVER_ANNOTATED:3, MODIFY:8	BACSU/lipA; METEA/pqqE; POPTR/LIP1; POPTR/LIP1P-1; POPTR/LIP1P-2; PSEPK/pqqE; SACEN/eryCV; STAWA/cfr	catalytic activity; iron-sulfur cluster binding
