organism	gene	interpro_ids	go_term_id	go_term_label	action	is_suspect	proposed_replacement_terms	reason
9ARCH	ureC1	IPR011059	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	KEEP_AS_NON_CORE	yes		This parent C-N hydrolase term is technically consistent with urease chemistry, but GO:0009039 is the supported specific activity.
9ARCH	ureC2	IPR011059	GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds	KEEP_AS_NON_CORE	yes		The carbon-nitrogen hydrolase parent is compatible with the reaction, but the gene product is better represented by urease activity.
9CAUD	darB	IPR011639	GO:0006304	DNA modification	MODIFY	yes	GO:0099018 symbiont-mediated evasion of host restriction-modification system	Too general - DNA modification occurs, but the biological function is specifically antirestriction, not just general DNA modification
9CAUD	g022	IPR001098	GO:0003677	DNA binding	REMOVE	yes		Correctly identified as overly general. DNA binding is inherent in DNA polymerase activity and adds no additional functional information. The specific molecular function GO:0003887 is more informative.
9CAUD	g022	IPR002298	GO:0006261	DNA-templated DNA replication	KEEP_AS_NON_CORE	yes		Correctly identified as non-core. This term accurately describes the mechanism (DNA-templated) but lacks the viral specificity that is the key characteristic of this polymerase. Both general and specific terms are valuable in GO annotation.
9CAUD	g022		GO:0008296	3'-5'-DNA exonuclease activity	NEW	no		This is a key missing annotation. As a family A DNA polymerase, g022 is highly likely to possess 3'-5' exonuclease activity for proofreading function. This is a conserved feature of family A polymerases that improves replication fidelity by removing incorrectly incorporated nucleotides. The deep research confirms this is typical for family A enzymes.
9POAL	NCGR_LOCUS10166	IPR016161	GO:0016491	oxidoreductase activity	MARK_AS_OVER_ANNOTATED	yes		This is a very general parent term that adds no specificity beyond what GO:0004399 (histidinol dehydrogenase activity) already provides. More importantly, it is applied to a probable gene prediction artifact. The annotation is technically correct for the HDH domain but redundant and misleading in this context.
9POAL	NCGR_LOCUS10166	IPR012131	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	MARK_AS_OVER_ANNOTATED	yes		While technically correct for the HDH domain, this is an intermediate-specificity term that is redundant with the more specific GO:0004399 (histidinol dehydrogenase activity). Applied to a probable gene prediction artifact where annotations from two separate gene products are conflated.
9POAL	NCGR_LOCUS10166	IPR001692	GO:0046872	metal ion binding	MARK_AS_OVER_ANNOTATED	yes		This is a very general term. For the HDH domain, the more informative annotation would be zinc ion binding (GO:0008270) specifically as a catalytic cofactor. For the ARV1 domain, zinc binding relates to the structural zinc-binding motif in the AHD domain. The term is too vague and applied to a probable gene prediction artifact combining two unrelated proteins.
9POAL	NCGR_LOCUS10166	IPR012131	GO:0051287	NAD binding	MARK_AS_OVER_ANNOTATED	yes		While technically correct for the HDH domain, this annotation is applied to a probable gene prediction artifact. NAD binding is part of the histidinol dehydrogenase activity (GO:0004399) and somewhat redundant. The real HDH gene in this organism is NCGR_LOCUS4558.
9POAL	NCGR_LOCUS1270	IPR000146	GO:0016791	phosphatase activity	MARK_AS_OVER_ANNOTATED	yes		Redundant with the more specific GO:0042132. The InterPro match (IPR000146, FBPase_class-1) supports the specific FBPase activity, not just generic phosphatase activity. Retaining the general term alongside the specific one adds no information.
9POAL	NCGR_LOCUS1270	IPR020548	GO:0042578	phosphoric ester hydrolase activity	MARK_AS_OVER_ANNOTATED	yes		Redundant with GO:0042132. The active site match (IPR020548) is specifically the FBPase active site, warranting the specific term, not this general parent.
9POAL	NCGR_LOCUS1270	IPR000146,IPR020548	GO:0005975	carbohydrate metabolic process	MARK_AS_OVER_ANNOTATED	yes		Too general. The Calvin cycle annotation (GO:0019253) provides the specific biological context. This broad term adds no useful information beyond what the specific term conveys.
9POAL	NCGR_LOCUS1765	IPR003890	GO:0003723	RNA binding	KEEP_AS_NON_CORE	yes		RNA binding is accurate but very general. The more specific RNA cap binding (GO:0000339) and mRNA binding (GO:0003729) annotations already capture the relevant molecular functions more precisely.
9POAL	NCGR_LOCUS1765	IPR027159	GO:0006406	mRNA export from nucleus	ACCEPT	no		CBC plays a direct role in mRNA nuclear export. The cap and the CBC have multiple functions in mRNA biogenesis including nuclear export.
9POAL	NCGR_LOCUS1765	IPR015172,IPR015174	GO:0016070	RNA metabolic process	KEEP_AS_NON_CORE	yes		The term is accurate but uninformative. The specific processes annotated (NMD, mRNA export, RNA splicing) provide more precise functional description.
9POAL	NCGR_LOCUS1765		GO:0035196	miRNA processing	NEW	no		miRNA biogenesis is a major documented function of CBC in plants but is not captured by the existing GOA annotations. The Arabidopsis ortholog ABH1/CBP80 has been experimentally shown to be required for efficient miRNA processing.
9POAL	NCGR_LOCUS27674	IPR000850	GO:0005524	ATP binding	ACCEPT	no		ATP binding is a core requirement for UMP-CMP kinase activity. The protein contains a P-loop NTPase domain with conserved ATP binding residues identified by HAMAP and InterPro. All characterized UMP-CMP kinases require ATP as the phosphate donor [PMID:9576794].
9POAL	NCGR_LOCUS27674	IPR006266	GO:0016776	phosphotransferase activity, phosphate group as acceptor	ACCEPT	no		This is a valid parent term of the more specific UMP/CMP/dCMP kinase activities also annotated to this protein. While broader than the specific kinase activities (GO:0033862, GO:0036430, GO:0036431), it correctly captures the biochemical mechanism. The InterPro match to IPR006266 (UMP-CMP kinase family) is appropriate for the N-terminal domain.
9POAL	NCGR_LOCUS27674	IPR036298	GO:0016872	intramolecular lyase activity	REMOVE	yes		This is a doubly erroneous annotation: the intramolecular lyase activity derives from the CHI superfamily InterPro match, but the CHI-fold domain in this protein is likely a FAP subfamily member that is non-catalytic. Furthermore, the CHI-fold domain (positions 555-650) belongs to a separate gene that was incorrectly fused with the UMP-CMP kinase in this chimeric gene model. A UMP-CMP kinase has no intramolecular lyase activity.
9POAL	NCGR_LOCUS27674	IPR000850	GO:0019205	nucleobase-containing compound kinase activity	ACCEPT	no		This is a valid broader term for UMP-CMP kinase activity. The protein's N-terminal domain belongs to the adenylate kinase family UMP-CMP kinase subfamily, which phosphorylates nucleobase-containing compounds (UMP, CMP, dCMP). While less specific than GO:0033862/GO:0036430/GO:0036431, it is not incorrect.
9POAL	NCGR_LOCUS27674	IPR006266	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	MODIFY	yes	GO:0006221 pyrimidine nucleotide biosynthetic process	UMP-CMP kinases act on pyrimidine nucleotides, not nucleobases. GO:0006207 is technically not the correct process for a nucleoside monophosphate kinase. GO:0006221 (pyrimidine nucleotide biosynthetic process) is more appropriate and already annotated.
9POAL	NCGR_LOCUS29329	IPR005106	GO:0016491	oxidoreductase activity	MARK_AS_OVER_ANNOTATED	yes		This is a true but overly general annotation. The more specific GO:0004412 (homoserine dehydrogenase activity) already captures this function precisely. Annotating both the parent and child term is redundant.
9POAL	NCGR_LOCUS29329	IPR005106	GO:0050661	NADP binding	ACCEPT	no		NADP binding is supported by the NAD(P)-binding Rossmann-fold domain and is functionally relevant to the homoserine dehydrogenase activity. The enzyme uses NADP+ as an alternative cofactor to NAD+.
9POAL	NCGR_LOCUS29329	IPR001342,IPR019811	GO:0006520	amino acid metabolic process	MARK_AS_OVER_ANNOTATED	yes		Redundant with the more specific biological process annotations. The protein is specifically involved in aspartate family amino acid biosynthesis (GO:0009067), threonine biosynthesis (GO:0009088), and homoserine biosynthesis (GO:0009090), all of which are children of this term.
9POAL	NCGR_LOCUS29329	IPR001341,IPR018042	GO:0008652	amino acid biosynthetic process	MARK_AS_OVER_ANNOTATED	yes		Redundant with GO:0009067 (aspartate family amino acid biosynthetic process), which is a more specific child term that better captures the function.
9POAL	NCGR_LOCUS67308	IPR001209,IPR018271	GO:0003735	structural constituent of ribosome	KEEP_AS_NON_CORE	yes		Correct for the RPS14 alternative splice product but not for the SDH2 product that this entry primarily represents. The InterPro match to ribosomal uS14 (IPR001209) is real and reflects the RPS14 coding region within the chimeric gene model.
9POAL	NCGR_LOCUS67308	IPR025192	GO:0009055	electron transfer activity	ACCEPT	no		This correctly captures the subunit-specific molecular function of SDH2. The iron-sulfur clusters serve as an electron relay chain within Complex II.
9POAL	NCGR_LOCUS67308	IPR004489	GO:0016491	oxidoreductase activity	KEEP_AS_NON_CORE	yes		While technically correct as a parent of electron transfer activity, this is too general to be informative. The more specific GO:0009055 is already annotated and is preferable.
9POAL	NCGR_LOCUS67308	IPR001041,IPR009051,IPR025192,IPR036010	GO:0051536	iron-sulfur cluster binding	ACCEPT	no		Core cofactor binding function of SDH2. The iron-sulfur clusters are essential for electron transfer within the respiratory chain complex.
9POAL	NCGR_LOCUS67308	IPR006058	GO:0051537	2 iron, 2 sulfur cluster binding	ACCEPT	no		SDH2 binds one [2Fe-2S] cluster as confirmed by UniProt cofactor annotation and the 2Fe-2S ferredoxin domain. This is a core cofactor binding function.
