GO_ID,Term,Aspect,Evidence_provenance,Category,Curator_lead
GO:0004806,triacylglycerol lipase activity,MF,IDA PMID:8656075; EXP PMID:10769148,Core catalytic,RETAIN (core MF)
GO:0016298,lipase activity,MF,IDA PMID:15181189/8203536,Core (parent),RETAIN
GO:0005576,extracellular region,CC,IDA PMID:17010228/8967484,Core localization,RETAIN (core CC)
GO:0019433,triglyceride catabolic process,BP,IBA (incl. PLRP2 P54317),Correct-direction process,RETAIN
GO:0008970,glycerophospholipid phospholipase A1 activity,MF,IBA PTN000906454 <- LPL/LIPC/LIPG,Paralog carry-over,REMOVE/NON-CORE (refuted PMID:8656075/9805004)
GO:0004465,lipoprotein lipase activity,MF,IBA PTN000906454 <- LPL(P06858)/LPL(P11151),Paralog carry-over,REMOVE (wrong gene = Lpl)
GO:0034375,high-density lipoprotein particle remodeling,BP,IBA PTN000906454 <- LIPC/LIPG,Paralog carry-over,REMOVE (HL/EL/LCAT function)
GO:0006633,fatty acid biosynthetic process,BP,IBA PTN000906454 <- LPL/LIPC,Paralog + direction error,REMOVE (hydrolysis=catabolism)
GO:0061365,positive regulation of triglyceride lipase activity,BP,ISO:RGD <- mouse ISO <- human IDA PMID:9631512,Mis-map of self interfacial activation,REMOVE/RE-MAP to GO:0004806
GO:0047376,all-trans-retinyl-palmitate hydrolase,MF,ISS/IEA/ISO,Secondary (retinyl ester),NON-CORE keep w/ caveat
GO:0050253,retinyl-palmitate esterase activity,MF,ISO MGI,Secondary,NON-CORE
GO:0030299,intestinal cholesterol absorption,BP,ISO MGI,Physiological,KEEP w/ caveat
GO:0042632,cholesterol homeostasis,BP,IBA,Downstream/physio,NON-CORE
