Reaction,Compound,CompoundLabel,Role,Origin,coverage_status,equation
R00200,C00074,Phosphoenolpyruvate,product,metabolomics,measured_complete,C00002 + C00022 <=> C00008 + C00074
R00200,C00022,Pyruvate,substrate,metabolomics,measured_complete,C00002 + C00022 <=> C00008 + C00074
R00342,C00036,Oxaloacetate,product,kegg_topology,measured_partial,C00149 + C00003 <=> C00036 + C00004 + C00080
R00342,C00149,(S)-Malate,substrate,metabolomics,measured_partial,C00149 + C00003 <=> C00036 + C00004 + C00080
R00355,C00025,L-Glutamate,product,kegg_topology,measured_partial,C00049 + C00026 <=> C00036 + C00025
R00355,C00036,Oxaloacetate,product,kegg_topology,measured_partial,C00049 + C00026 <=> C00036 + C00025
R00355,C00026,2-Oxoglutarate,substrate,metabolomics,measured_partial,C00049 + C00026 <=> C00036 + C00025
R00355,C00049,L-Aspartate,substrate,metabolomics,measured_partial,C00049 + C00026 <=> C00036 + C00025
R00771,C00085,D-Fructose 6-phosphate,product,metabolomics,measured_complete,C00092 <=> C00085
R00771,C00092,D-Glucose 6-phosphate,substrate,metabolomics,measured_complete,C00092 <=> C00085
R00813,C00090,Catechol,product,kegg_topology,kegg_topology_only,C06321 + C00003 <=> C00090 + C00004 + C00011 + C00080
R00813,C06321,"(1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate",substrate,kegg_topology,kegg_topology_only,C06321 + C00003 <=> C00090 + C00004 + C00011 + C00080
R00817,C02480,"cis,cis-Muconate",product,kegg_topology,kegg_topology_only,C00090 + C00007 <=> C02480
R00817,C00090,Catechol,substrate,kegg_topology,kegg_topology_only,C00090 + C00007 <=> C02480
R00835,C01236,"D-Glucono-1,5-lactone 6-phosphate",product,kegg_topology,measured_partial,C00092 + C00006 <=> C01236 + C00005 + C00080
R00835,C00092,D-Glucose 6-phosphate,substrate,metabolomics,measured_partial,C00092 + C00006 <=> C01236 + C00005 + C00080
R01082,C00122,Fumarate,product,metabolomics,measured_complete,C00149 <=> C00122 + C00001
R01082,C00149,(S)-Malate,substrate,metabolomics,measured_complete,C00149 <=> C00122 + C00001
R01325,C00417,cis-Aconitate,product,kegg_topology,measured_partial,C00158 <=> C00417 + C00001
R01325,C00158,Citrate,substrate,metabolomics,measured_partial,C00158 <=> C00417 + C00001
R01519,C00257,D-Gluconate,product,metabolomics,measured_partial,C00198 + C00001 <=> C00257
R01519,C00198,"D-Glucono-1,5-lactone",substrate,kegg_topology,measured_partial,C00198 + C00001 <=> C00257
R01737,C00345,6-Phospho-D-gluconate,product,metabolomics,measured_complete,C00002 + C00257 <=> C00008 + C00345
R01737,C00257,D-Gluconate,substrate,metabolomics,measured_complete,C00002 + C00257 <=> C00008 + C00345
R02035,C00345,6-Phospho-D-gluconate,product,metabolomics,measured_partial,C01236 + C00001 <=> C00345
R02035,C01236,"D-Glucono-1,5-lactone 6-phosphate",substrate,kegg_topology,measured_partial,C01236 + C00001 <=> C00345
R02036,C04442,2-Dehydro-3-deoxy-6-phospho-D-gluconate,product,kegg_topology,measured_partial,C00345 <=> C04442 + C00001
R02036,C00345,6-Phospho-D-gluconate,substrate,metabolomics,measured_partial,C00345 <=> C04442 + C00001
R02164,C00122,Fumarate,product,metabolomics,measured_complete,C15602 + C00042 <=> C15603 + C00122
R02164,C00042,Succinate,substrate,metabolomics,measured_complete,C15602 + C00042 <=> C15603 + C00122
R02991,C00846,3-Oxoadipate,product,kegg_topology,kegg_topology_only,C03586 + C00001 <=> C00846
R02991,C03586,"2-Oxo-2,3-dihydrofuran-5-acetate",substrate,kegg_topology,kegg_topology_only,C03586 + C00001 <=> C00846
R05605,C00022,Pyruvate,product,metabolomics,measured_partial,C04442 <=> C00118 + C00022
R05605,C00118,D-Glyceraldehyde 3-phosphate,product,kegg_topology,measured_partial,C04442 <=> C00118 + C00022
R05605,C04442,2-Dehydro-3-deoxy-6-phospho-D-gluconate,substrate,kegg_topology,measured_partial,C04442 <=> C00118 + C00022
R05621,C06321,"(1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate",product,kegg_topology,sample_context_only,C00180 + C00004 + C00080 + C00007 <=> C06321 + C00003
R05621,C00180,Benzoate,substrate,sample_metadata,sample_context_only,C00180 + C00004 + C00080 + C00007 <=> C06321 + C00003
R06620,C00198,"D-Glucono-1,5-lactone",product,kegg_topology,sample_context_only,C00031 + C00399 <=> C00198 + C00390
R06620,C00031,D-Glucose,substrate,sample_metadata,sample_context_only,C00031 + C00399 <=> C00198 + C00390
R06989,C14610,"(S)-5-Oxo-2,5-dihydrofuran-2-acetate",product,kegg_topology,kegg_topology_only,C02480 <=> C14610
R06989,C02480,"cis,cis-Muconate",substrate,kegg_topology,kegg_topology_only,C02480 <=> C14610
R06990,C03586,"2-Oxo-2,3-dihydrofuran-5-acetate",product,kegg_topology,kegg_topology_only,C14610 <=> C03586
R06990,C14610,"(S)-5-Oxo-2,5-dihydrofuran-2-acetate",substrate,kegg_topology,kegg_topology_only,C14610 <=> C03586
