Reaction,label,kegg_name,definition,equation,enzyme,aigr_genes,coverage_status,coverage_detail,source_file
R06620,PQQ-dependent glucose dehydrogenase context,D-glucose:ubiquinone oxidoreductase,"D-Glucose + Ubiquinone <=> D-Glucono-1,5-lactone + Ubiquinol",C00031 + C00399 <=> C00198 + C00390,1.1.5.2,gcd,sample_context_only,measured=-; sample_context=C00031; unmeasured=C00198,source_data/kegg_reactions/gcd_candidates.txt
R01519,gluconolactone hydrolysis to gluconate,"D-glucono-1,5-lactone lactonohydrolase","D-Glucono-1,5-lactone + H2O <=> D-Gluconic acid",C00198 + C00001 <=> C00257,3.1.1.17,,measured_partial,measured=C00257; sample_context=-; unmeasured=C00198,source_data/kegg_reactions/gluconate_neighborhood.txt
R01737,gluconate kinase to 6-phosphogluconate,ATP:D-gluconate 6-phosphotransferase,ATP + D-Gluconic acid <=> ADP + 6-Phospho-D-gluconate,C00002 + C00257 <=> C00008 + C00345,2.7.1.12,,measured_complete,"measured=C00257,C00345; sample_context=-; unmeasured=-",source_data/kegg_reactions/gluconate_neighborhood.txt
R00835,glucose-6-phosphate dehydrogenase,D-glucose-6-phosphate:NADP+ 1-oxidoreductase,"D-Glucose 6-phosphate + NADP+ <=> D-Glucono-1,5-lactone 6-phosphate + NADPH + H+",C00092 + C00006 <=> C01236 + C00005 + C00080,1.1.1.49        1.1.1.363,zwf,measured_partial,measured=C00092; sample_context=-; unmeasured=C01236,source_data/kegg_reactions/zwf_candidates.txt
R02035,6-phosphogluconolactone hydrolysis,"6-phospho-D-glucono-1,5-lactone lactonohydrolase","D-Glucono-1,5-lactone 6-phosphate + H2O <=> 6-Phospho-D-gluconate",C01236 + C00001 <=> C00345,3.1.1.31,,measured_partial,measured=C00345; sample_context=-; unmeasured=C01236,source_data/kegg_reactions/6pg_neighborhood.txt
R02036,phosphogluconate dehydratase,6-phospho-D-gluconate hydro-lyase (2-dehydro-3-deoxy-6-phospho-D-gluconate-forming),6-Phospho-D-gluconate <=> 2-Dehydro-3-deoxy-6-phospho-D-gluconate + H2O,C00345 <=> C04442 + C00001,4.2.1.12,edd,measured_partial,measured=C00345; sample_context=-; unmeasured=C04442,source_data/kegg_reactions/6pg_neighborhood.txt
R05605,KDPG aldolase,2-dehydro-3-deoxy-6-phospho-D-gluconate D-glyceraldehyde-3-phosphate-lyase (pyruvate-forming),2-Dehydro-3-deoxy-6-phospho-D-gluconate <=> D-Glyceraldehyde 3-phosphate + Pyruvate,C04442 <=> C00118 + C00022,4.1.2.14        4.1.2.55,eda,measured_partial,"measured=C00022; sample_context=-; unmeasured=C00118,C04442",source_data/kegg_reactions/eda_R05605.txt
R00771,glucose-6-phosphate isomerase,D-glucose-6-phosphate aldose-ketose-isomerase,D-Glucose 6-phosphate <=> D-Fructose 6-phosphate,C00092 <=> C00085,5.3.1.9,,measured_complete,"measured=C00085,C00092; sample_context=-; unmeasured=-",source_data/kegg_reactions/central_selected_1.txt
R00200,pyruvate kinase / PEP-pyruvate interconversion,ATP:pyruvate 2-O-phosphotransferase,ATP + Pyruvate <=> ADP + Phosphoenolpyruvate,C00002 + C00022 <=> C00008 + C00074,2.7.1.40,,measured_complete,"measured=C00022,C00074; sample_context=-; unmeasured=-",source_data/kegg_reactions/central_selected_1.txt
R01325,citrate aconitase step,citrate hydro-lyase (cis-aconitate-forming),Citrate <=> cis-Aconitate + H2O,C00158 <=> C00417 + C00001,4.2.1.3,,measured_partial,measured=C00158; sample_context=-; unmeasured=C00417,source_data/kegg_reactions/central_selected_1.txt
R00342,malate dehydrogenase,(S)-malate:NAD+ oxidoreductase,(S)-Malate + NAD+ <=> Oxaloacetate + NADH + H+,C00149 + C00003 <=> C00036 + C00004 + C00080,1.1.1.37        1.1.1.299,,measured_partial,measured=C00149; sample_context=-; unmeasured=C00036,source_data/kegg_reactions/central_selected_1.txt
R00355,aspartate aminotransferase / oxaloacetate surrogate context,L-aspartate:2-oxoglutarate aminotransferase,L-Aspartate + 2-Oxoglutarate <=> Oxaloacetate + L-Glutamate,C00049 + C00026 <=> C00036 + C00025,2.6.1.1,,measured_partial,"measured=C00026,C00049; sample_context=-; unmeasured=C00025,C00036",source_data/kegg_reactions/central_selected_1.txt
R01082,fumarase,(S)-malate hydro-lyase (fumarate-forming),(S)-Malate <=> Fumarate + H2O,C00149 <=> C00122 + C00001,4.2.1.2,,measured_complete,"measured=C00122,C00149; sample_context=-; unmeasured=-",source_data/kegg_reactions/central_selected_1.txt
R02164,succinate dehydrogenase,succinate:quinone oxidoreductase,Quinone + Succinate <=> Hydroquinone + Fumarate,C15602 + C00042 <=> C15603 + C00122,1.3.5.1,,measured_complete,"measured=C00042,C00122; sample_context=-; unmeasured=-",source_data/kegg_reactions/central_selected_1.txt
R05621,"benzoate 1,2-dioxygenation",,"Benzoate + NADH + H+ + Oxygen <=> (1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate + NAD+",C00180 + C00004 + C00080 + C00007 <=> C06321 + C00003,1.14.12.10,"benA, benB, benC",sample_context_only,measured=-; sample_context=C00180; unmeasured=C06321,source_data/kegg_reactions/aromatic_selected_1.txt
R00813,dihydrodiol dehydrogenation to catechol,"(1R,6S)-1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate:NAD+ oxidoreductase (decarboxylating)","(1R,6S)-1,6-Dihydroxycyclohexa-2,4-diene-1-carboxylate + NAD+ <=> Catechol + NADH + CO2 + H+",C06321 + C00003 <=> C00090 + C00004 + C00011 + C00080,1.3.1.25,benD,kegg_topology_only,"measured=-; sample_context=-; unmeasured=C00090,C06321",source_data/kegg_reactions/aromatic_selected_1.txt
R00817,"catechol 1,2-dioxygenation","catechol:oxygen 1,2-oxidoreductase(decyclizing)","Catechol + Oxygen <=> cis,cis-Muconate",C00090 + C00007 <=> C02480,1.13.11.1,catA,kegg_topology_only,"measured=-; sample_context=-; unmeasured=C00090,C02480",source_data/kegg_reactions/aromatic_selected_1.txt
R06989,muconate cycloisomerization,"2,5-dihydro-5-oxofuran-2-acetate lyase (decyclizing)","cis,cis-Muconate <=> (S)-5-Oxo-2,5-dihydrofuran-2-acetate",C02480 <=> C14610,5.5.1.1,catB,kegg_topology_only,"measured=-; sample_context=-; unmeasured=C02480,C14610",source_data/kegg_reactions/aromatic_selected_1.txt
R06990,muconolactone isomerization,"(S)-5-oxo-2,5-dihydrofuran-2-acetate delta3-delat2-isomerase","(S)-5-Oxo-2,5-dihydrofuran-2-acetate <=> 2-Oxo-2,3-dihydrofuran-5-acetate",C14610 <=> C03586,5.3.3.4,catC,kegg_topology_only,"measured=-; sample_context=-; unmeasured=C03586,C14610",source_data/kegg_reactions/aromatic_selected_1.txt
R02991,3-oxoadipate enol-lactone hydrolysis,4-carboxymethylbut-3-en-4-olide enol-lactonohydrolase,"2-Oxo-2,3-dihydrofuran-5-acetate + H2O <=> 3-Oxoadipate",C03586 + C00001 <=> C00846,3.1.1.24,pcaD,kegg_topology_only,"measured=-; sample_context=-; unmeasured=C00846,C03586",source_data/kegg_reactions/aromatic_selected_1.txt
