metabolite_identification,database_identifier,chemical_formula,KEGG_C_number,kegg_lookup_status,FeInt_T1_n,FeInt_T1_mean,FeInt_T1_sd,FeLim_T1_n,FeLim_T1_mean,FeLim_T1_sd,FeLim_T2_n,FeLim_T2_mean,FeLim_T2_sd,FeLim_T3_n,FeLim_T3_mean,FeLim_T3_sd,FeLim_T1_vs_FeInt_T1_log2
Gluconate,CHEBI:24265,C6H11O7,C00257,verified_in_cached_kegg_find,4,295005.455075,199272.95332836756,4,164675.57815000002,26430.60492999657,4,185786.144525,49584.46436437059,4,66698.7715,11577.4927328502,-0.8411150170187869
Glucose 6-phosphate,CHEBI:4170,C6H13O9P,C00092,verified_in_cached_kegg_find,4,85671.182625,37778.97142677531,4,518061.59377499996,35320.04906205418,4,1632491.90625,157807.04421950108,4,42720.115,55125.22550505188,2.5962417250745853
Fructose 6-phosphate,CHEBI:78697,C6H13O9P,C00085,verified_in_cached_kegg_find,4,36775.5586,20327.095624314486,4,133152.33595,5990.450906476713,4,308034.50002499996,98194.1995822843,4,41507.18455,8374.907461389344,1.856258578120838
6-phosphogluconic acid,CHEBI:48928,C6H13O10P,C00345,verified_in_cached_kegg_find,4,268550.33595,143246.94912350064,4,679103.3672,254122.49444219586,4,263436.65625,53550.09597997789,4,15034.851325,5112.804817095435,1.3384386593869444
Dihydroxyacetone phosphate,CHEBI:16108,C3H7O6P,C00111,verified_in_cached_kegg_find,4,27776.6582,19314.376073557123,4,93982.56837499999,18618.657599914284,4,214547.292975,81321.96328141387,3,2466.77,275.3964332250691,1.7585201549197205
3-phosphoglyceric acid,CHEBI:17050,C3H7O7P,C00197,verified_in_cached_kegg_find,4,272697.886725,155960.8737209994,4,75658.59325,70422.65607614437,4,346593.507825,97840.96879427021,4,71901.794925,22631.347885485513,-1.84972766296422
Phosphoenolpyruvate,CHEBI:18021,C3H4O6P,C00074,verified_in_cached_kegg_find,4,1169847.84375,579725.9527930581,4,313037.62405,307788.9637967302,4,1809958.625,232580.56819391908,4,141924.007825,31229.84079138231,-1.9019129274163449
Pyruvate,CHEBI:15361,C3H3O3,C00022,verified_in_cached_kegg_find,4,499855.1797,229426.0259992554,4,1536504.6875,475091.2239755524,4,3907170.5,1573841.5174211476,4,389682.08204999997,156170.08225134748,1.6200700918313022
Aspartic acid,CHEBI:17053,C4H7NO4,C00049,verified_in_cached_kegg_find,4,461853.14454999997,227353.10153783602,4,1010720.9845,366169.57997269416,4,769589.390625,158653.57702537402,4,186553.41015,54820.21622110789,1.1298786918011234
Malate,CHEBI:25115,C4H6O5,C00149,verified_in_cached_kegg_find,4,680098.257825,150647.53252749986,4,1068441.53125,300040.8628216265,4,2278609.625,876237.8389255909,4,988090.671875,180332.82105141858,0.6516928597497504
Fumarate,CHEBI:29806,C4H4O4,C00122,verified_in_cached_kegg_find,4,322525.986325,233356.42000112528,4,151085.603525,32773.62989588887,4,210405.8125,15272.319980853015,4,153762.05272500002,35776.64195595869,-1.0940492078257171
Succinate,CHEBI:26806,C4H6O4,C00042,verified_in_cached_kegg_find,4,858101.34375,166792.91211515994,4,3442247.6875,1196807.5812445509,4,3148910.90625,1813619.7256074355,4,521876.99222499994,14656.148812847412,2.0041309619575403
Alpha-ketoglutaric acid,CHEBI:16810,C5H6O5,C00026,verified_in_cached_kegg_find,4,233706.25197499996,83612.3661316688,4,349485.83985,207370.5073773613,4,938704.2890999999,1149952.896366433,4,37537.078624999995,6490.226561773636,0.5805376741933851
Citrate,CHEBI:16947,C6H8O7,C00158,verified_in_cached_kegg_find,4,1706419.9375,2193553.739040606,4,7868445.71875,6481086.192192663,4,58512173.5,24910103.942099284,4,2072636.0,616637.4683446591,2.2051059562671695
