allergen_molecule	allergome_id	source_taxon_id	species_code	gene_symbol	uniprot	uniprot_allergen_name	review_path	review_status	n_core_functions	n_knowledge_gaps	function_gap_flagged	iedb_epitopes	iedb_has_ige
Can f 1	174	9615	CANLF	Canf1	O18873	Can f 1	genes/CANLF/Canf1/Canf1-ai-review.yaml	DRAFT	1	1	yes	83	yes
Can f 2	175	9615	CANLF	Canf2	O18874	Can f 2	genes/CANLF/Canf2/Canf2-ai-review.yaml	DRAFT	1	0	no	9	no
Can f 3	176	9615	CANLF	ALB	P49822	Can f 3	genes/CANLF/ALB/ALB-ai-review.yaml	DRAFT	2	0	no	0	no
Can f 6	9406	9615	CANLF	Canf6	H2B3G5	Can f 6.0101	genes/CANLF/Canf6/Canf6-ai-review.yaml	DRAFT	1	0	no	5	yes
Fel d 1	345	9685	FELCA	CH1	P30438	Fel d 1-A	genes/FELCA/CH1/CH1-ai-review.yaml	DRAFT	2	2	yes	127	yes
Fel d 1	345	9685	FELCA	CH2	P30440	Fel d 1-B	genes/FELCA/CH2/CH2-ai-review.yaml	DRAFT	2	2	yes	127	yes
Fel d 2	346	9685	FELCA	ALB	P49064	Fel d 2	genes/FELCA/ALB/ALB-ai-review.yaml	DRAFT	2	0	no	4	no
Fel d 3	347	9685	FELCA	CSTA	Q8WNR9	Fel d 3	genes/FELCA/CSTA/CSTA-ai-review.yaml	DRAFT	1	0	no	6	no
Fel d 4	1326	9685	FELCA	Feld4	Q5VFH6	Fel d 4	genes/FELCA/Feld4/Feld4-ai-review.yaml	DRAFT	1	0	no	14	yes
Fel d 7	8431	9685	FELCA	Feld7	E5D2Z5		genes/FELCA/Feld7/Feld7-ai-review.yaml	DRAFT	1	1	yes	14	no
Fel d 8	9034	9685	FELCA	Feld8	F6K0R4		genes/FELCA/Feld8/Feld8-ai-review.yaml	DRAFT	1	1	yes	0	no
Hom s 8	1064	9606	human	CSN1S1	P47710		genes/human/CSN1S1/CSN1S1-ai-review.yaml	COMPLETE	1	0	no	0	no
Hom s Glucocerebrosidase	8244	9606	human	GBA1	P04062		genes/human/GBA1/GBA1-ai-review.yaml	COMPLETE	1	0	no	0	no
Hom s Insulin	2121	9606	human	INS	P01308		genes/human/INS/INS-ai-review.yaml	COMPLETE	5	0	no	0	no
Hom s Trx	3543	9606	human	TXN	P10599	Hom s Trx	genes/human/TXN/TXN-ai-review.yaml	COMPLETE	3	0	no	0	no
Hom s alpha-Galactosidase	9621	9606	human	GLA	P06280		genes/human/GLA/GLA-ai-review.yaml	COMPLETE	1	0	no	0	no
Sac c MnSOD	867	559292	yeast	SOD2	P00447		genes/yeast/SOD2/SOD2-ai-review.yaml	COMPLETE	1	0	no	0	no
Sola l PG	6157	4081	SOLLC	PG2	P05117		genes/SOLLC/PG2/PG2-ai-review.yaml	COMPLETE	2	0	no	0	no
Sola t 1	639	4113	SOLTU	PATB1	P15476		genes/SOLTU/PATB1/PATB1-ai-review.yaml	COMPLETE	2	0	no	1	yes
Zea m 8	7663	4577	MAIZE	CHIB	P29023		genes/MAIZE/CHIB/CHIB-ai-review.yaml	COMPLETE	2	0	no	0	no
